Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R
04aa6b77-8074-480c-872e-a1a47afa5314	67	216	0	89	40	176	28	2	50	4	105	42	3	15	5	33	3	5
04b570c2-3224-4e9b-81cc-089b4a7ff07a	421	16	0	0	0	9	13	0	0	3	0	1	23	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	223	9	5	0	30	216	8	0	0	9	53	0	0	0	1	2	10	2
04c09376-8756-41d9-bbca-f464170a8cfb	228	161	61	186	0	40	36	15	32	12	105	49	34	4	11	11	1	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	373	0	0	9	0	60	0	5	0	0	24	0	12	0	2	0	1	3
05070acd-3ec1-44bb-9c32-26d3a483a72a	276	65	117	0	10	53	109	0	13	8	0	13	10	59	0	0	0	15
051cb117-16fd-459e-81e5-002eca2b7eea	414	0	0	9	0	13	0	1	0	0	23	0	0	12	3	0	3	3
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	214	61	72	25	0	144	100	0	0	13	0	19	49	0	0	0	5	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	264	49	373	281	131	53	288	0	0	112	91	5	85	38	45	45	0
05486349-24a4-4931-bf5f-c9fefe369af2	348	29	47	36	0	60	58	2	7	0	6	0	7	3	5	0	3	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	366	15	3	3	1	62	4	4	0	8	43	0	3	0	4	2	3	2
05616329-e7ba-4efd-87b1-d79cd0f7af3d	265	68	17	57	0	112	21	0	4	3	18	0	35	5	3	0	2	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	428	0	0	0	0	0	0	1	0	0	0	0	26	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	308	89	22	32	0	38	35	0	5	15	4	6	32	0	7	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	432	0	0	0	0	1	6	0	0	0	0	0	20	3	0	0	0	2
05da3161-1444-4188-914d-19762de3a443	441	0	0	0	0	0	5	3	0	0	0	0	22	0	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	429	0	1	0	0	1	0	0	0	0	0	0	30	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	375	0	1	5	0	57	13	3	3	1	1	0	21	0	2	0	8	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	383	11	0	0	0	39	5	2	0	0	0	0	25	0	0	0	7	0
062e96d4-c623-11e3-bf01-24c6515278c0	253	65	46	35	13	104	71	19	22	28	14	3	22	0	14	19	8	2
063cfacf-9933-4a2d-8921-0aeb76e12779	412	17	14	5	0	2	14	0	0	0	0	0	25	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	0	349	147	504	0	47	39	0	0	7	75	0	153	0	12	27	13	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	359	32	2	24	0	50	26	0	0	9	0	2	25	0	2	8	4	1
06dad93a-4b67-49b3-8fa5-f2546e22bae7	173	107	91	73	75	119	64	33	31	26	24	33	48	6	7	5	13	39
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	276	69	52	33	18	81	56	0	4	38	14	4	15	0	5	16	4	0
072f4146-c623-11e3-bf01-24c6515278c0	401	5	0	0	5	34	8	0	4	2	0	0	29	0	0	0	1	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	327	21	15	12	0	80	31	0	3	5	0	0	31	1	5	0	0	0
07531318-87e8-4db8-aa61-9b93597d063b	325	55	0	13	2	75	39	3	0	22	0	5	29	0	0	1	0	5
075fc96d-6742-4ef3-9369-482592ad3a2f	201	0	0	122	334	0	302	1354	0	158	94	565	132	354	54	3	39	46
07835447-5d7e-4828-80fd-89b063989c9a	304	67	15	35	30	56	63	15	8	23	0	4	12	34	1	2	2	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	172	100	48	95	99	152	21	24	26	0	22	17	4	53	3	6	6	0
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	405	19	0	27	0	4	48	0	0	0	0	25	29	0	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	173	111	46	0	255	132	0	0	8	28	71	30	2	16	14	25	0
07d20658-3db4-47e7-877b-66536266edfc	191	128	41	48	0	125	108	0	10	29	0	10	0	0	5	3	0	28
07e0e938-f61f-477a-92a2-5b7e74b78943	148	202	0	77	0	119	36	0	0	34	60	49	25	0	10	17	5	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	260	100	59	39	0	56	128	0	0	0	0	65	45	0	0	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	166	131	112	121	448	98	26	36	87	0	0	119	0	35	14	62	2	27
08227616-02a5-46e8-9db1-f2d1d691ab23	0	117	161	0	207	269	7	100	50	37	102	70	27	15	10	7	16	22
