Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
04db8bef-8777-48ac-bc2e-3c9acb103f48	376	0	0	9	0	55	0	4	0	0	27	0	14	2	0	2
05070acd-3ec1-44bb-9c32-26d3a483a72a	297	67	120	0	10	47	128	0	10	25	0	1	9	0	33	1
051cb117-16fd-459e-81e5-002eca2b7eea	415	0	0	11	0	15	0	1	0	0	28	0	0	4	1	6
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	234	74	69	9	0	118	120	1	15	0	0	19	43	0	0	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	276	53	397	266	148	65	311	0	0	151	111	1	50	0	31
05486349-24a4-4931-bf5f-c9fefe369af2	356	32	47	30	0	49	67	2	0	8	2	0	9	6	0	3
0554ffe5-31f7-43f5-8372-2b73c9cf3527	368	16	1	1	0	56	5	2	8	0	51	0	5	5	0	5
05616329-e7ba-4efd-87b1-d79cd0f7af3d	277	80	18	57	0	93	24	0	4	2	16	0	36	3	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	423	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	310	98	21	32	0	25	40	0	17	6	0	2	33	9	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	430	0	1	0	0	2	5	1	0	0	0	0	24	0	1	0
05da3161-1444-4188-914d-19762de3a443	437	0	0	0	0	0	4	4	0	0	0	0	26	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	425	0	3	0	0	0	0	0	0	0	0	0	33	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	382	2	1	1	0	50	14	3	1	2	0	0	24	2	0	8
0624eb1d-3aff-4037-a3c5-fc363a9edd02	385	12	0	0	0	35	4	2	0	0	0	0	28	0	0	6
062e96d4-c623-11e3-bf01-24c6515278c0	264	63	44	28	12	97	80	17	31	30	7	0	22	18	17	8
063cfacf-9933-4a2d-8921-0aeb76e12779	410	17	16	2	0	0	16	0	0	0	0	0	28	0	0	0
0664753b-7566-41e0-8006-7009c6735406	0	361	175	527	0	36	43	0	11	0	52	0	153	12	0	3
068f4f69-d2fe-4f25-912e-ca7d4623efb6	365	37	0	22	0	40	29	0	9	1	0	1	28	2	6	4
06dad93a-4b67-49b3-8fa5-f2546e22bae7	189	113	93	68	83	103	72	32	28	33	2	34	48	7	37	25
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	291	70	50	29	19	69	62	0	43	6	11	4	17	7	6	1
072f4146-c623-11e3-bf01-24c6515278c0	403	4	0	0	5	31	7	0	3	4	0	0	32	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	334	26	13	7	0	68	37	0	5	3	0	0	33	5	0	0
07531318-87e8-4db8-aa61-9b93597d063b	331	59	0	5	1	63	45	4	25	0	0	8	31	0	2	0
075fc96d-6742-4ef3-9369-482592ad3a2f	225	0	0	112	251	0	374	1461	192	0	234	687	79	71	0	72
07835447-5d7e-4828-80fd-89b063989c9a	313	69	10	40	31	57	71	16	25	13	0	0	15	1	0	10
079bcb09-a075-4313-9a3e-dd67734a8c5d	194	112	53	115	102	141	25	28	0	30	32	7	4	2	0	3
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	400	21	0	22	0	0	56	1	0	0	0	25	32	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	194	103	26	0	262	157	0	9	0	17	71	23	19	0	30
07d20658-3db4-47e7-877b-66536266edfc	210	143	29	36	0	99	125	0	32	9	0	9	0	5	29	0
07e0e938-f61f-477a-92a2-5b7e74b78943	158	219	0	76	0	100	39	0	35	0	62	53	26	12	0	2
07f16397-71bb-4594-ad4d-caa7d2baeabd	267	119	53	18	0	30	154	0	0	0	0	72	39	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	181	142	115	121	462	82	32	46	0	78	0	153	0	10	62	0
08227616-02a5-46e8-9db1-f2d1d691ab23	17	135	162	11	224	257	9	100	39	55	84	67	19	12	7	19
0831e45e-c623-11e3-bf01-24c6515278c0	160	149	30	76	0	149	46	0	29	5	27	0	29	24	0	6
089be98d-c3c9-4fb4-aef2-7a8578a91d51	217	108	93	18	8	106	135	0	0	0	0	14	42	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	226	150	76	105	0	75	165	8	10	0	0	0	21	0	0	0
