Signatures	Stability	Total Mutations
SBS80A	0.973	713961
SBS80B	0.643	319230
SBS80C	0.696	302499
SBS80D	0.777	292148
SBS80E	0.746	278690
SBS80F	0.296	278581
SBS80G	0.83	187408
SBS80H	0.945	163385
SBS80I	0.585	146711
SBS80J	0.748	144344
SBS80K	0.352	135881
SBS80L	0.442	130640
SBS80M	-0.202	122083
SBS80N	-0.094	64045
SBS80O	0.782	50043
SBS80P	0.253	49938
SBS80Q	0.208	43629
SBS80R	0.362	41594
