Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
1bd47e40-d708-4ca2-b4b3-eb8d996c916b	480	1.0	30.879	6.433%	6.512	2.002%	0.03152	1.0
1bd74f92-47f6-427e-af6f-299c3a7fe023	471	1.0	27.905	5.925%	6.261	1.912%	0.03318	1.0
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	495	1.0	32.686	6.603%	6.329	1.965%	0.03797	1.0
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	538	1.0	55.732	10.359%	10.768	3.383%	0.05496	1.0
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	1239	0.994	209.904	16.941%	34.911	10.889%	0.05956	0.993
1bea3a72-3b73-4072-a6bb-96a90119d3ac	453	0.998	86.856	19.174%	19.07	7.124%	0.0998	0.998
1c00925b-7328-4db0-b930-04aab2d80719	979	0.994	171.71	17.539%	32.904	10.742%	0.0844	0.993
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	1606	0.989	314.972	19.612%	54.78	14.542%	0.07071	0.986
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	511	1.0	42.89	8.393%	8.219	2.668%	0.04071	1.0
1c188bf5-2c99-4eb4-a774-59c75d53e643	6655	0.994	963.685	14.481%	163.158	10.819%	0.04254	0.992
1c1c6494-c623-11e3-bf01-24c6515278c0	517	1.0	43.344	8.384%	8.025	2.562%	0.05625	1.0
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	1015	0.996	136.19	13.418%	30.385	8.897%	0.08035	0.996
1c300960-e51c-4477-8fdd-026c7e545dc4	456	1.0	30.639	6.719%	8.08	2.508%	0.03046	1.0
1c3df485-8e75-4378-87f6-c6463a520624	830	0.998	106.893	12.879%	16.637	5.548%	0.05105	0.998
1c9fbe26-1447-4335-aaab-06d6bb3e2741	903	0.998	132.388	14.661%	21.221	6.996%	0.05804	0.997
1cb25b72-3726-4f12-9e22-f5c7e4b05681	557	0.999	82.949	14.892%	14.942	4.743%	0.06998	0.999
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	2860	0.984	588.984	20.594%	109.722	18.023%	0.05822	0.978
1d0617e8-2725-4411-b50f-e46ea1d43242	574	1.0	54.801	9.547%	10.142	3.202%	0.05568	1.0
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	485	1.0	37.578	7.748%	8.84	2.79%	0.04145	1.0
1d2d355a-8409-4c8a-9f07-ac62885e228d	2790	0.99	439.639	15.758%	77.852	13.891%	0.04108	0.986
1d325d84-a3a0-4802-9842-76cb21cecb1c	570	0.999	61.444	10.78%	15.83	4.921%	0.08374	0.999
1d4a091d-fe65-49c0-8810-5a95243b108a	826	0.998	121.939	14.763%	20.203	6.861%	0.07065	0.997
1d6c9181-a02f-4c35-85b3-65dc5808f50e	543	0.999	65.734	12.106%	12.713	4.203%	0.06268	0.999
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	801	0.997	116.069	14.491%	23.09	7.543%	0.06841	0.997
1d97ba51-d981-4986-9f71-c2b6cb9961c3	455	1.0	31.031	6.82%	8.796	2.729%	0.03341	1.0
1daefc49-5248-4948-87ce-0ec19a248ef9	958	0.994	175.103	18.278%	35.018	11.308%	0.08092	0.993
