Signatures	Stability	Total Mutations
SBS80A	0.9	632893
SBS80B	0.35	285497
SBS80C	0.323	278895
SBS80D	0.603	261782
SBS80E	0.613	255930
SBS80F	0.687	196428
SBS80G	-0.395	148692
SBS80H	0.558	143502
SBS80I	0.81	136657
SBS80J	0.559	136502
SBS80K	0.928	136158
SBS80L	0.66	122504
SBS80M	0.012	121838
SBS80N	0.232	118781
SBS80O	0.561	103659
SBS80P	-0.008	100543
SBS80Q	0.758	39449
SBS80R	0.931	37406
SBS80S	0.528	33464
SBS80T	0.309	32451
SBS80U	0.47	31659
SBS80V	0.702	30289
SBS80W	0.464	27435
SBS80X	0.538	26452
SBS80Y	0.214	25944
