MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
CNCP[1]	0.00E+00	3.66E-03	2.41E-03	2.52E-03	1.88E-03	9.58E-03	2.27E-03	9.26E-03	1.97E-47	2.89E-04	4.10E-03	6.92E-03	5.05E-03	4.95E-03
CNCP[2]	5.78E-10	1.52E-03	4.53E-03	2.44E-03	1.37E-04	9.09E-04	4.46E-05	2.79E-03	6.83E-04	7.77E-03	3.96E-03	7.17E-03	2.99E-03	4.98E-03
CNCP[3]	2.42E-09	5.41E-04	1.15E-03	4.14E-04	2.03E-08	6.33E-04	5.46E-08	3.90E-04	6.55E-04	1.19E-03	2.40E-03	1.70E-04	2.08E-04	2.96E-04
CNCP[4]	4.25E-09	9.36E-05	4.72E-04	1.59E-04	1.21E-08	2.33E-04	0.00E+00	4.62E-05	4.09E-04	4.35E-04	1.27E-03	5.47E-05	9.45E-05	6.00E-05
CNCP[>4 & <=8]	3.42E-09	1.35E-05	2.10E-04	1.48E-04	4.97E-09	4.56E-05	0.00E+00	1.33E-08	7.28E-04	3.44E-04	1.39E-03	6.86E-09	1.77E-08	8.81E-08
CNCP[>8]	1.48E-09	0.00E+00	0.00E+00	1.07E-08	6.00E-09	6.68E-09	6.01E-09	8.10E-08	7.46E-04	5.33E-09	6.08E-08	8.20E-08	2.24E-09	7.70E-09
OsCN[0]	8.63E-04	2.48E-03	2.79E-03	8.34E-04	4.52E-04	5.32E-03	4.65E-04	2.02E-03	1.23E-03	4.71E-03	1.51E-03	7.69E-03	6.46E-03	2.88E-03
OsCN[1]	2.75E-05	9.63E-04	4.65E-04	1.18E-03	6.95E-04	6.44E-04	2.70E-04	1.26E-03	3.70E-04	1.42E-03	1.50E-03	1.15E-03	9.29E-04	1.02E-03
OsCN[2]	2.77E-10	2.99E-04	1.94E-04	2.28E-04	2.71E-04	2.71E-04	1.84E-04	3.18E-04	1.03E-04	3.64E-04	6.15E-05	4.64E-04	3.45E-04	2.97E-04
OsCN[3]	1.57E-10	2.24E-04	1.46E-04	2.66E-04	5.21E-05	3.11E-04	1.68E-04	3.56E-04	1.23E-05	3.55E-04	2.54E-04	2.46E-04	1.84E-04	2.12E-04
OsCN[4]	8.56E-10	5.58E-05	5.74E-05	4.86E-05	3.31E-05	1.30E-04	5.49E-05	1.35E-04	3.12E-47	7.09E-05	9.18E-06	9.84E-05	8.46E-05	1.08E-04
OsCN[>4 & <=10]	8.07E-10	1.26E-04	5.24E-05	6.03E-05	0.00E+00	4.50E-04	1.01E-04	4.19E-04	0.00E+00	1.56E-04	4.69E-05	1.54E-04	7.56E-05	1.08E-04
OsCN[>10]	1.06E-09	5.71E-06	7.86E-10	0.00E+00	1.84E-10	9.51E-05	3.60E-05	1.11E-04	8.99E-10	8.24E-06	2.97E-10	2.62E-05	0.00E+00	7.43E-06
SS[<=2]	3.99E-09	7.03E-18	4.00E-05	6.20E-06	3.73E-06	3.65E-05	8.34E-07	2.09E-04	3.32E-05	4.72E-05	1.78E-04	5.58E-05	8.25E-05	5.19E-05
SS[>2 & <=3]	4.77E-09	0.00E+00	9.85E-05	1.39E-08	2.17E-43	1.03E-04	4.62E-09	1.50E-03	1.83E-04	5.07E-04	1.42E-03	9.35E-05	1.56E-04	1.39E-04
SS[>3 & <=4]	4.78E-09	2.43E-09	2.70E-04	5.51E-05	1.50E-09	7.33E-04	6.97E-05	6.61E-03	5.71E-04	2.30E-03	5.79E-03	7.21E-04	4.33E-04	1.39E-03
SS[>4 & <=5]	2.20E-11	0.00E+00	5.72E-04	7.63E-04	0.00E+00	3.91E-03	1.34E-03	8.50E-03	2.11E-03	2.49E-03	3.45E-03	3.91E-03	3.31E-03	4.31E-03
SS[>5 & <=6]	1.97E-11	1.78E-04	2.83E-03	3.78E-04	0.00E+00	5.02E-03	1.41E-03	5.64E-03	1.78E-03	4.47E-03	6.04E-04	3.78E-03	4.83E-03	3.74E-03
SS[>6 & <=7]	0.00E+00	2.42E-03	2.25E-03	1.26E-03	3.62E-04	4.06E-03	1.76E-03	1.39E-03	8.70E-04	2.66E-03	3.34E-03	2.84E-03	1.98E-03	1.71E-03
SS[>7 & <=8]	1.28E-04	1.68E-03	5.21E-04	2.27E-03	2.11E-03	1.24E-03	7.78E-04	1.94E-03	1.06E-04	2.36E-03	1.62E-03	1.98E-03	1.68E-03	1.65E-03
SS[>8]	1.19E-04	0.00E+00	2.53E-10	1.42E-04	4.27E-04	5.98E-09	1.40E-47	1.89E-09	7.37E-10	1.25E-10	0.00E+00	4.43E-09	1.14E-08	0.00E+00
