Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
03ad38a6-0902-4aaa-84a3-91ea88fa9883	348	15	23	46	2	1	2	2	4	9	1	28	14	0	16	1	3	0	0	0	0	0	0	0	0	3
03b5268e-881e-49e7-824f-170c3fc8b11b	217	0	28	140	0	52	55	0	18	0	39	4	8	15	0	7	4	7	5	1	1	1	6	18	5	0
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	103	189	0	73	123	263	128	187	53	65	40	84	79	42	85	18	27	15	14	13	77	13	6	8	0
03c88506-d72e-4a44-a34e-a7f0564f1799	199	59	64	149	0	1	39	0	0	53	0	21	10	19	3	12	16	6	5	1	4	1	0	0	4	0
03ced0ce-186a-4349-8d98-572c2bc90382	0	187	135	104	122	231	155	145	146	0	32	32	69	16	61	83	99	19	10	6	28	4	19	4	0	4
03cff38d-7e29-4409-a508-749bddb1b3df	0	82	346	52	146	55	46	1	171	50	0	38	20	95	32	146	21	6	9	24	10	21	26	3	19	0
041e3b42-c623-11e3-bf01-24c6515278c0	144	73	51	180	12	37	40	37	27	40	0	27	22	2	11	2	0	32	3	1	16	0	3	7	0	0
04339769-517c-448d-a7ca-951f83608c60	306	45	26	21	24	0	66	0	0	41	53	31	8	28	0	0	0	0	4	0	0	3	31	0	0	10
0448206f-3ade-4087-b1a9-4fb2d14e1367	30	793	31	14	693	245	0	107	280	233	67	164	270	136	86	195	66	65	24	1	94	164	21	6	11	0
046d7386-95c8-4501-9e55-c85bec272a7a	62	212	160	103	149	6	89	0	0	224	1	39	0	17	34	0	32	11	5	0	13	1	0	16	0	13
047f9e4d-86b5-4943-aef5-68199bf29e8c	158	102	90	113	0	10	61	31	26	47	82	26	53	11	45	41	22	10	3	12	2	17	12	1	10	0
04aa6b77-8074-480c-872e-a1a47afa5314	51	63	176	179	0	48	64	27	39	25	3	15	0	39	0	76	8	21	4	7	17	5	11	4	1	0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	393	0	11	22	0	0	3	0	0	10	0	23	16	3	3	0	0	0	0	0	0	0	0	0	0	2
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	219	0	0	133	0	21	95	0	35	11	0	0	10	0	0	16	5	2	1	4	2	1	0	4	5	4
04c09376-8756-41d9-bbca-f464170a8cfb	148	113	120	150	80	10	0	9	23	33	16	40	17	57	8	110	3	10	6	8	6	0	1	1	0	17
04db8bef-8777-48ac-bc2e-3c9acb103f48	350	1	0	44	0	3	26	0	2	0	0	16	17	1	0	19	0	0	1	5	0	1	3	0	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	240	1	47	88	111	12	31	14	0	82	1	22	16	18	11	0	0	2	0	0	27	11	0	2	12	0
051cb117-16fd-459e-81e5-002eca2b7eea	403	0	0	12	0	0	0	0	0	3	0	5	17	0	0	35	0	0	1	1	1	1	1	1	0	0
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	196	36	44	102	60	0	83	0	0	74	0	37	13	13	15	0	11	0	1	1	2	0	12	2	0	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	378	213	81	25	202	167	17	54	40	186	23	138	34	0	86	21	29	27	32	5	2	19	1	44	36
05486349-24a4-4931-bf5f-c9fefe369af2	300	31	18	87	44	0	20	0	0	46	0	17	20	0	0	13	0	0	3	0	0	0	1	1	1	9
0554ffe5-31f7-43f5-8372-2b73c9cf3527	345	0	10	49	0	2	29	0	22	4	0	12	17	0	0	19	2	2	3	1	1	1	1	1	2	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	222	40	32	140	28	1	33	0	8	16	0	32	4	4	0	21	23	0	3	0	1	1	0	1	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	412	0	0	0	0	0	0	0	0	0	0	25	18	0	0	0	0	0	0	0	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	243	22	51	119	31	0	0	1	6	26	0	33	12	11	13	10	4	1	5	0	0	0	0	0	0	5
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	410	0	0	0	0	0	8	0	0	6	0	21	17	0	0	0	0	0	0	0	1	1	0	0	0	0
05da3161-1444-4188-914d-19762de3a443	424	0	0	0	0	0	0	0	0	5	0	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	409	0	0	0	1	0	7	0	0	0	0	26	17	0	0	0	0	0	0	1	0	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	349	1	0	51	5	0	20	0	1	11	6	21	12	0	0	5	0	0	1	1	0	0	1	5	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	359	0	7	37	0	0	17	0	0	5	0	22	19	0	0	2	0	0	0	1	0	0	0	3	0	0
062e96d4-c623-11e3-bf01-24c6515278c0	209	33	54	120	32	0	49	19	23	57	0	25	47	10	12	16	0	13	8	4	2	2	1	2	0	0
063cfacf-9933-4a2d-8921-0aeb76e12779	388	4	13	14	15	0	0	0	0	11	0	25	13	0	0	2	4	0	0	0	0	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	58	379	331	0	177	0	29	0	0	34	0	108	0	0	23	146	35	18	8	9	2	0	7	9	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	301	20	6	110	13	0	1	0	0	19	0	27	16	5	9	3	0	5	1	3	1	1	0	3	0	0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	83	60	71	212	83	44	27	28	27	51	19	41	54	33	24	34	1	6	4	32	5	22	0	6	0	0
