NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	154.064	13.761	32.248	8.441	0.051	0.994	60000.0
2	149.028	13.453	31.44	8.289	0.05	0.995	130000.0
3	153.34	13.766	32.374	8.514	0.05	0.995	100000.0
4	152.913	13.896	32.647	8.63	0.049	0.995	100000.0
5	144.867	13.194	30.325	8.048	0.05	0.995	90000.0
6	149.791	13.591	31.687	8.375	0.05	0.995	110000.0
7	148.205	13.356	30.523	8.057	0.051	0.995	150000.0
8	149.676	13.607	31.423	8.314	0.049	0.995	140000.0
9	158.711	14.3	33.543	8.799	0.05	0.994	110000.0
10	146.62	13.185	30.771	8.118	0.05	0.995	90000.0
11	151.651	13.536	31.346	8.243	0.051	0.995	80000.0
12	154.398	14.05	32.018	8.47	0.05	0.995	70000.0
13	147.762	13.426	30.575	8.09	0.05	0.995	120000.0
14	144.009	12.988	30.305	7.972	0.05	0.995	130000.0
15	151.098	13.653	31.408	8.263	0.05	0.995	70000.0
16	152.655	13.82	31.709	8.397	0.05	0.995	100000.0
17	152.782	13.986	32.002	8.493	0.049	0.995	150000.0
18	146.434	13.282	31.103	8.229	0.05	0.995	110000.0
19	151.585	13.659	31.603	8.326	0.05	0.995	220000.0
20	158.011	14.259	33.411	8.761	0.051	0.994	100000.0
21	148.512	13.461	31.056	8.218	0.05	0.995	140000.0
22	151.277	13.838	31.754	8.428	0.05	0.995	100000.0
23	149.919	13.455	31.682	8.298	0.048	0.995	140000.0
24	145.953	13.186	30.477	8.06	0.05	0.995	100000.0
25	163.616	14.577	33.661	8.823	0.051	0.994	80000.0
26	151.172	13.59	31.47	8.312	0.05	0.995	90000.0
27	153.358	13.817	31.752	8.351	0.049	0.995	80000.0
28	151.826	13.719	31.923	8.417	0.049	0.995	140000.0
29	144.493	12.959	30.426	8.023	0.051	0.995	130000.0
30	151.05	13.605	31.748	8.374	0.051	0.995	130000.0
31	152.557	13.531	31.251	8.177	0.051	0.995	80000.0
32	151.821	13.665	31.625	8.355	0.05	0.995	120000.0
33	155.447	13.874	32.241	8.438	0.05	0.995	90000.0
34	156.857	14.17	33.117	8.723	0.049	0.994	110000.0
35	147.713	13.282	31.284	8.262	0.049	0.995	120000.0
36	154.025	13.837	32.282	8.471	0.049	0.995	60000.0
37	152.398	13.648	32.352	8.493	0.051	0.994	120000.0
38	145.556	13.013	30.644	8.06	0.05	0.995	140000.0
39	150.866	13.445	31.223	8.161	0.05	0.995	70000.0
40	149.585	13.446	31.427	8.254	0.05	0.995	80000.0
41	153.752	13.98	31.94	8.465	0.049	0.995	120000.0
42	155.11	13.84	32.33	8.489	0.05	0.994	110000.0
43	158.021	14.37	32.959	8.664	0.049	0.994	80000.0
44	152.87	13.498	32.263	8.408	0.051	0.994	80000.0
45	142.058	12.885	29.843	7.92	0.05	0.995	80000.0
46	150.627	13.621	31.265	8.269	0.05	0.995	170000.0
47	147.909	13.322	31.333	8.232	0.048	0.995	100000.0
48	157.802	14.562	33.28	8.852	0.05	0.994	140000.0
49	157.082	14.244	32.744	8.664	0.05	0.994	80000.0
50	158.93	14.366	33.325	8.786	0.05	0.994	110000.0
51	153.62	13.706	31.883	8.38	0.051	0.995	120000.0
52	157.302	14.393	33.103	8.736	0.049	0.995	70000.0
53	155.661	13.87	32.791	8.57	0.05	0.994	80000.0
54	153.02	13.835	32.552	8.564	0.049	0.995	100000.0
55	156.121	13.71	32.941	8.56	0.051	0.994	70000.0
56	148.569	13.311	31.353	8.254	0.049	0.995	160000.0
57	148.36	13.466	31.111	8.226	0.049	0.995	70000.0
58	147.523	13.341	30.947	8.165	0.049	0.995	90000.0
59	150.786	13.682	31.721	8.391	0.05	0.995	60000.0
60	146.576	13.196	30.712	8.128	0.049	0.995	120000.0
61	153.254	13.884	32.019	8.449	0.049	0.995	110000.0
62	149.72	13.671	31.63	8.383	0.049	0.995	160000.0
63	143.796	13.023	29.93	7.939	0.049	0.995	110000.0
64	156.073	14.127	32.975	8.665	0.05	0.994	240000.0
65	155.4	13.735	32.104	8.352	0.05	0.995	120000.0
66	152.865	13.785	31.806	8.347	0.051	0.995	70000.0
67	151.908	13.549	32.522	8.502	0.05	0.994	120000.0
68	163.254	14.704	34.002	8.888	0.05	0.994	200000.0
69	151.127	13.695	31.879	8.385	0.049	0.995	140000.0
70	151.03	13.702	31.649	8.378	0.049	0.995	70000.0
71	153.499	13.806	32.012	8.442	0.05	0.995	60000.0
72	156.949	14.135	33.334	8.716	0.05	0.994	140000.0
73	158.22	14.374	32.624	8.604	0.05	0.995	60000.0
74	146.169	13.143	30.877	8.126	0.049	0.995	80000.0
75	157.168	14.138	32.869	8.594	0.05	0.994	110000.0
76	148.443	13.531	30.849	8.199	0.05	0.995	120000.0
77	153.099	13.644	31.633	8.325	0.051	0.995	140000.0
78	148.489	13.402	31.188	8.227	0.05	0.995	100000.0
79	152.721	13.868	32.52	8.549	0.049	0.995	180000.0
80	150.061	13.49	31.086	8.182	0.05	0.995	80000.0
81	153.317	13.813	32.237	8.474	0.051	0.995	60000.0
82	150.899	13.58	31.394	8.286	0.05	0.995	120000.0
83	149.778	13.422	31.214	8.226	0.049	0.995	60000.0
84	147.567	13.346	31.062	8.214	0.049	0.995	80000.0
85	156.286	14.141	33.143	8.732	0.049	0.994	60000.0
86	158.013	14.342	32.868	8.696	0.05	0.994	130000.0
87	148.273	13.176	30.685	8.064	0.051	0.995	110000.0
88	152.077	13.526	31.653	8.27	0.051	0.995	90000.0
89	147.71	13.181	30.65	8.064	0.051	0.995	110000.0
90	154.803	13.801	32.567	8.534	0.05	0.994	110000.0
91	151.672	13.665	32.468	8.504	0.049	0.995	130000.0
92	144.449	13.04	30.279	8.009	0.049	0.995	80000.0
93	149.983	13.575	31.195	8.245	0.05	0.995	70000.0
94	148.806	13.445	31.981	8.398	0.048	0.995	80000.0
95	146.191	13.191	30.731	8.128	0.049	0.995	110000.0
96	157.599	14.558	33.885	9.02	0.049	0.994	110000.0
97	148.508	13.414	30.72	8.134	0.05	0.995	220000.0
98	151.434	13.652	31.409	8.274	0.05	0.995	180000.0
99	147.957	13.5	31.015	8.243	0.049	0.995	150000.0
100	155.734	14.184	32.019	8.485	0.05	0.995	50000.0
