Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E
08227616-02a5-46e8-9db1-f2d1d691ab23	216	574	255	0	172
0831e45e-c623-11e3-bf01-24c6515278c0	308	80	213	129	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	310	0	209	222	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	320	0	200	316	0
08b5d0e4-4661-460e-a9f7-f2e687414711	368	191	108	0	34
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	456	0	0	7	14
08e1d976-6c39-428e-a4c2-f655b675683e	430	0	53	15	10
08f7812b-0d74-42ba-985b-d0a027e8a80c	458	0	0	16	6
09497b9b-6fca-48cb-af97-161a3e434a51	12	2357	0	99	2655
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	4226	0	0	1979
09537dce-c797-4b60-962a-d4c3cd6ab00a	456	0	0	8	11
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	306	638	34	242	201
097a7d36-905b-72be-e050-11ac0d482c9a	371	0	95	129	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	429	0	45	49	0
09bc8542-4ea1-4599-91b3-d606425b37e2	191	820	188	360	281
09cb8bc5-13ac-44ac-9b7d-6de143373570	347	347	110	26	103
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	237	0	274	422	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	358	0	150	75	0
0a9c9db0-c623-11e3-bf01-24c6515278c0	370	191	81	0	0
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	378	4	120	117	0
0ae2193f-0d68-485a-b8c2-7568cbcce33e	420	28	41	54	3
0b19bee7-5281-4915-9d98-c20eb3e84ecf	230	20	358	379	0
0b29c893-03bf-4131-b192-c14a2788d411	424	155	0	0	0
0b6cd7df-6970-4d60-b7b5-85002a7d8781	461	0	0	14	11
0b811c6a-8f05-44bd-ac33-fb720d189e71	458	0	0	3	12
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	442	0	9	23	1
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	419	0	44	113	0
0bbc7ede-5022-4084-925c-d65baaf7abc2	247	356	255	97	328
0bd3a230-531e-44aa-9999-b8ed8da0176b	344	0	130	150	0
0be08326-c623-11e3-bf01-24c6515278c0	344	22	191	84	0
0bfd1043-5142-3662-e050-11ac0c486501	256	485	208	282	15
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	253	383	231	257	0
0bfd1043-7343-fdd0-e050-11ac0c484cab	132	956	237	0	715
