MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z
BP10MB[0]	0.7469280731678009	0.002949022133716951	0.409811534807086	0.7089281743764877	0.019382801388000036	0.0017996093128446011	0.3503269426897168	0.05047587639442258	0.007468737439408763	0.016278970315860296	0.03289572980254889	0.03968512465254456	0.0232848612278606	0.007055247142664164	0.06511270369995359	0.025617897508518738	0.006695915224148951	0.0043215300368615065	0.07670469454354166	0.013000583010678926	0.027854911526555462	0.01588671077238723	0.013269312815634104	0.07235479387730631	0.06209622397832752	0.02767380750980779
BP10MB[1]	2.233821163599714e-09	0.00010547624435275794	0.004813070556010644	0.02335757295803388	0.046304775188800704	0.0030593603771785637	0.13920021507656202	0.005707601131512277	0.0034725460919526087	0.00215721374580653	0.0009654355303965938	1.2611686178923353e-46	0.0042543694644802	0.00022980094501690474	0.0029131570021854714	0.012987289288930696	0.0005411759290276937	0.000536881825054607	0.0019703081424233397	0.005469713912642523	0.0007320423779430209	0.0010439469048657958	0.0004011494342353217	0.002353503724589927	0.0026804946624906806	0.002125659273833662
BP10MB[2]	0.0	0.0031545525894034654	0.12397145109251141	0.015004012743884233	0.04281127858790569	0.0028613554894267477	0.009445051590446382	0.051697350924368946	0.006710790361306635	8.942661406722841e-06	2.6616177638061346e-06	0.0040264327079057695	0.0018194097781088208	0.0027547123613476288	0.04685307663079584	0.00869080681435208	0.014922953577042932	0.009488368904617463	0.0010048864559394134	0.0006686506140977144	0.00241171648769523	0.004176716527613334	0.0011234210012480627	0.0012291614857719302	0.0009421775981900282	0.0013426234515191027
BP10MB[3]	6.349577414965779e-09	0.001415210791346908	0.0014297175637219839	6.046376910378983e-10	0.03467431702185422	0.0021866865223157104	0.007883572855062084	0.00771746536687715	0.004502065579155215	0.0009700460571619729	0.0004095391765667955	0.00031066434468453254	0.004239281724339339	0.00014233963513106572	0.003224221419254718	0.0032331471183260872	0.0014251531209083623	0.0012984264532889275	5.1391491142567246e-05	0.001116272158033098	0.0025004070561819107	0.0031801322224828256	0.0008636351402389409	0.0008800810724692809	0.003053832086721684	0.0022694442826483017
BP10MB[4]	4.6022289756919575e-09	0.008830846540150787	0.007529687624773942	1.0141580020217588e-10	0.02150126245804131	0.0013282415812022918	2.802596928649634e-47	0.013904683897271753	0.004184286817711467	0.0005096639633612198	1.1202382047486026e-05	0.0005692038889389295	0.0014780246293412346	0.0024691237883433816	0.015943823367961157	0.0015439735955021662	0.007797828603774586	0.00151947976177031	5.605193857299268e-47	0.0008412112119947323	0.004167727784813207	0.0023000292743063254	0.0007235532521008281	0.000354299154773674	5.0477150634762325e-05	0.00013190150999776052
BP10MB[5]	2.4949149390884885e-08	0.003632625786850099	1.401298464324817e-47	0.0	0.010543140266090632	0.0019858804597242853	7.14372273068875e-05	0.003252633923548274	0.0017268101292188475	0.00035477558496732923	0.0012435652407293673	1.0487089099342484e-07	0.002230162265430522	0.00033236701242343123	0.0007251003736882935	0.0002797414234191271	0.0008981562686108191	0.00033474656993348617	0.0013830323376805608	0.00014659000277731594	0.0012361812992645583	0.0007083804887548698	0.00022338006703648717	0.0009126664824184049	0.0020166726623972587	0.0008245694094301825
BP10MB[>5]	2.9627486020089577e-08	0.026499949792050757	0.0	0.0	0.00264130562893115	0.00867951760128335	0.0	0.0013952825318665418	0.004672327239532024	0.0008832138232224906	0.01595723692793399	0.00019260994351725459	0.007196878993227145	0.015016077350950355	0.0006539032464661431	0.0010640451114477402	5.3271157667040826e-05	0.0	0.0005844762359126321	1.2428697664290666e-05	1.1094284126282883e-05	5.5277170136633914e-05	0.0002096396847628057	5.338999768014218e-06	1.7916417505148275e-09	1.2611686178923353e-46
BPArm[0]	0.10926998130977154	0.00010875136946960087	0.014685925487428904	0.04773340186104178	0.001925301068613834	6.198667242244937e-05	0.010951321872416883	0.002507557506378363	0.0004448837482414092	0.0020054253512799447	0.0010731055213588903	0.001606790813333875	0.0020925326172518653	0.00020509269489547678	0.00567450082700816	0.0009929189698490277	0.0019353788150956808	0.0007001956854746277	0.0038195776678912807	0.001802485025304812	0.002459635998880429	0.000983469652110216	0.0010160457060598277	0.005446797741169576	0.002674581451808919	0.004397934699692421
BPArm[1]	0.0006036513490700912	3.51638019036038e-09	0.0002966245012805757	0.012581652644691133	4.6049591354346833e-07	4.844426124694934e-09	0.027988439877011332	0.0	0.0	5.433356214723517e-08	7.765730212234701e-06	5.7458669928678316e-08	1.5091355870300305e-07	1.241627320274219e-06	5.052267502492213e-07	0.00010300444174003331	1.0841527000593487e-08	1.5910939933405644e-06	1.401298464324817e-47	3.7037078190409567e-08	1.2723813597403932e-07	2.297894127423567e-08	9.570521801904874e-07	8.840788154884648e-08	3.6458033036979033e-09	1.7445345184441408e-07
BPArm[2]	0.0003478049526078042	2.7596226573223246e-07	0.016374559256224757	0.039063536616702095	9.635273017920554e-06	0.0	0.0015183732484236145	0.00023343780737292264	2.0783099385557336e-06	8.488760197059796e-05	4.913913748261222e-06	4.703611078753056e-05	1.6801009309563853e-06	0.0001266521039838153	0.0004671924925088078	4.1117300120241396e-06	1.837493890377573e-10	7.641381785106204e-09	4.0172729215441904e-05	1.8216880036222623e-46	1.1162118340735106e-09	7.168383308453485e-07	0.0009063481931988093	2.1865320753423623e-05	4.218637477606535e-05	6.423458284416484e-05
BPArm[3]	3.093806125065157e-08	2.8177128342576906e-06	0.002165513114457127	0.0032583296958267737	0.0005828759976793663	2.7175011928193273e-06	0.015542176903691142	0.00020912061878583196	1.7644479206317954e-05	2.802596928649634e-47	4.309178173791394e-06	2.1063877413283195e-05	7.132222726641046e-05	1.3796089624520392e-05	0.000684698700178652	0.0010741755988867656	9.360111544083339e-06	1.5324516382690945e-05	0.00011280921168690838	0.00036484919440454177	1.667440246279739e-05	2.1001950808567927e-05	0.00010677637199560052	0.0006165322849651034	0.0001692442220263146	0.0001579694073396709
BPArm[4]	1.231906817666939e-08	3.4827232957468366e-06	0.017133113609702662	0.004825175144004712	0.00021278152882587165	1.4970266493037343e-05	0.0031348297028524997	0.0011921581192291342	0.00013505646846169838	0.00010286007185982271	0.00043277400176804467	0.00036848095161090555	1.7971720974223615e-05	0.0002339155599474907	0.0015146012832431665	0.00013454269559588284	9.502809843979776e-06	2.6524259010329844e-06	0.00012112908045764925	0.00014230512686481234	1.5400166012113913e-06	2.3672433744650334e-05	0.0001238755602389574	0.00010640455698575302	0.00012874528244424254	6.532101833727211e-05
BPArm[5]	3.654596355540107e-08	3.358655521878973e-07	0.0028912336884303613	0.0002288778059192964	0.0019429756700992584	1.7379875353071838e-05	0.007147112657266916	0.00046298852944573807	0.00020150223896223452	7.246677251820265e-05	4.552514155534482e-05	7.431235972713778e-05	0.00025488159452194734	3.645283402875066e-05	0.0007390060823677747	0.0014586381237313617	0.0001810367721509465	5.191892047378132e-06	0.00038844712156788194	0.00027923491783440115	9.539107908835831e-05	0.0003012880996834638	2.802596928649634e-47	0.0011519505664897168	0.0003346539770368473	0.0002196034723689877
BPArm[6]	5.056721492646688e-09	0.00013755944989589936	0.010028867256478407	0.0002199885448033001	0.0006769489670114126	0.00010818881129011971	0.0016236015825862183	0.0024088101538654884	0.00018784785341267708	0.00027495866892067764	0.00013394377441727556	0.0003939912107353296	0.00023269738021511444	0.00028884869956527834	0.002910453173564278	0.0003831577115943219	0.00021698201451727072	6.624034276001112e-05	0.00021783301050163573	0.00020918898265974482	0.0008004020982158977	0.0001905110653260067	0.0003437174131753551	0.0004730472679220554	0.0012470668449600453	0.0002648312451719903
BPArm[7]	3.692164815660819e-08	3.642462397692725e-05	0.0020409378775332245	9.251584032199389e-10	0.0027249465761451574	0.00018814714485415607	0.002828921437030658	0.000813819628208421	5.8301348430518375e-05	1.2137191954191273e-05	3.9282247317657945e-05	7.090503337565224e-05	0.0003176033554209923	5.715458421036601e-05	0.000665294278851434	0.001058434251426661	0.0008848165235046324	8.611059905888396e-05	6.354755441861926e-05	0.00021953733890850576	9.880591570436081e-05	0.001689437348031788	6.420213467208669e-06	0.0005793246885117042	0.0019327465572204971	0.00020592481827227615
BPArm[8]	2.5461020065620233e-08	0.00012027626318740659	0.005430869266856462	1.3995756469853405e-05	0.0019478472910401479	8.024131096988185e-05	0.0005124788981703432	0.0021685929031582418	0.0001489105861215023	0.00015782195640007046	9.25080821616575e-06	0.00017949756604089374	0.0001956102341792132	0.00017025141122758213	0.0020879778255766725	0.00018016397718156443	0.0003028017436123659	6.321574084382151e-05	0.000668367064736087	0.0005381743404037432	0.00027357189495091916	9.049230353866733e-05	0.00012593618637765758	0.00019853675439193808	0.0007746878104853749	0.00020980339797446845
BPArm[9]	2.4534566751555077e-08	7.413332713667841e-05	0.00108235474464891	8.999715532809206e-09	0.0023563255002954976	7.672672683838754e-05	0.0011391304983794726	0.001306797167771947	0.0004344287690264537	2.094490169383789e-05	5.830703613627364e-06	0.00010259105107998392	0.00042682581096627816	7.790814886669217e-05	0.0007108676587176888	0.0007102226915253596	0.0007441453464775804	0.00037110892035116197	4.771990604240273e-05	0.00033664226142036567	0.00022017000015921439	0.00022649935549907241	5.8946612407453356e-05	0.00021034641078166772	0.001398205529239931	0.00019687324187543708
BPArm[10]	3.30501740197775e-08	0.00024487820116019687	0.0025210226501803847	0.0	0.001952286410241868	7.134112256608205e-05	0.00037866523940692786	0.0021788128179468912	8.52411609957926e-05	8.851766049879473e-05	1.6115192374854813e-06	0.00012478878375304703	0.0001936325346302681	0.0001704538542253431	0.0019970396774624533	0.00023037263049403123	0.00048084709433595665	6.0959714464843276e-05	6.170463632315728e-05	0.00014144718036874338	0.0003623630444326752	0.00047369899766067645	3.388228789845016e-05	0.0003485615005266496	0.00018868870084432388	9.441397682167008e-05
BPArm[>10 & <=20]	2.2810519447746814e-08	0.0029749692659424907	0.0010657695806003177	0.0	0.016463109599426387	0.0007780589934736781	0.00023200775031135393	0.008526710512509654	0.002296747073931799	0.00013351265020901339	5.0265123791177755e-05	0.00015916170944805692	0.0019042507212702021	0.0014621637008741572	0.005363306849612854	0.0006842086313930128	0.002358785429144962	0.0004898996542033274	0.00020680330870220587	0.00018874401334869617	0.0005752707571438409	0.0020562624645128836	0.00039395346171204436	0.00038119546898123246	0.0003373918628305717	0.0003308723255825896
