MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P
SS[>4 & <=5]	1.30E-11	7.80E-04	0.00E+00	4.49E-03	8.43E-04	7.85E-06	1.44E-03	2.06E-03	3.63E-03	3.17E-03	3.90E-03	8.83E-03	6.16E-03	3.77E-03	4.33E-03	3.99E-03
SS[>5 & <=6]	0.00E+00	7.04E-04	6.64E-04	4.27E-03	3.90E-03	3.33E-04	2.75E-03	2.16E-03	4.80E-03	5.98E-04	2.64E-03	5.27E-03	1.62E-03	4.60E-03	4.53E-03	4.50E-03
SS[>6 & <=7]	0.00E+00	1.62E-03	3.62E-03	4.27E-03	3.53E-03	1.66E-03	2.45E-03	1.08E-03	2.82E-03	4.10E-03	2.92E-03	1.57E-03	3.39E-03	2.63E-03	5.13E-03	4.08E-03
SS[>7 & <=8]	1.98E-04	2.25E-03	2.28E-03	9.46E-04	6.08E-04	2.50E-03	7.38E-04	1.18E-04	2.72E-03	1.62E-03	2.14E-03	9.65E-04	3.91E-03	1.18E-03	1.79E-03	1.43E-03
SS[>8]	1.39E-04	4.32E-04	0.00E+00	2.41E-09	4.69E-10	5.75E-04	0.00E+00	1.94E-10	1.10E-09	0.00E+00	2.88E-09	2.88E-09	2.90E-09	1.25E-10	2.92E-09	1.08E-08
NC50[<=2]	7.16E-06	0.00E+00	3.59E-11	3.59E-08	1.72E-07	8.55E-11	5.58E-10	5.57E-06	2.11E-06	0.00E+00	2.03E-06	1.66E-06	3.40E-06	4.84E-07	1.57E-06	3.04E-06
NC50[3]	6.92E-06	1.19E-05	0.00E+00	7.69E-07	1.05E-06	2.21E-05	5.49E-06	6.45E-06	4.61E-07	0.00E+00	2.33E-06	1.73E-06	2.53E-06	4.49E-06	4.48E-06	2.35E-06
NC50[4]	6.16E-06	4.25E-05	0.00E+00	2.03E-06	6.61E-07	4.62E-05	1.47E-05	3.70E-06	1.26E-06	2.21E-11	7.72E-07	5.00E-06	1.41E-06	2.91E-05	9.81E-06	4.30E-06
NC50[5]	1.90E-06	2.43E-05	2.20E-07	1.14E-06	3.40E-06	2.46E-05	0.00E+00	3.98E-07	6.59E-06	9.37E-07	3.96E-06	1.91E-06	6.32E-06	0.00E+00	4.60E-06	9.39E-08
NC50[6]	6.42E-07	2.53E-05	1.55E-05	9.24E-06	1.96E-06	1.91E-05	0.00E+00	0.00E+00	1.79E-05	1.55E-05	4.97E-05	2.24E-06	1.64E-05	0.00E+00	1.84E-06	8.46E-06
NC50[7]	9.03E-07	9.51E-06	1.36E-05	7.60E-06	1.17E-06	9.40E-06	1.93E-07	0.00E+00	1.92E-05	1.97E-05	3.91E-05	2.91E-06	1.72E-05	0.00E+00	2.76E-06	8.14E-06
