BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
301,8,6,0,1,0,0,37,2,5,0,1,1,0,0,0,0,0,0,0,0,0,9,28,7,2,1,0,15,17,7,0,0,0,0,18,3,2,0,0,1,0,0,0,0,2,5,7,19,14,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,2,0,0,1,0,5,0,0,2,2,0,0,0,0,0,0
307,5,10,0,0,0,0,36,4,5,2,1,0,0,0,0,0,0,0,0,0,1,7,26,9,3,3,0,15,19,5,0,1,0,0,19,7,0,1,0,0,0,0,0,0,7,2,3,23,14,0,1,0,0,0,0,0,4,1,0,2,4,3,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,1,0
312,3,0,0,1,0,0,42,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,22,5,2,0,0,19,7,0,0,0,0,0,22,1,0,0,0,0,0,0,0,1,0,2,0,12,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0
293,12,7,3,1,0,0,33,5,5,0,1,0,0,1,0,0,0,1,0,0,1,19,34,6,1,1,0,10,33,4,2,0,0,0,16,6,1,1,0,0,1,0,0,0,5,9,12,25,11,0,0,1,0,0,0,0,1,2,6,1,0,0,0,0,2,1,1,0,0,1,5,1,0,1,2,2,0,1,1,0
315,2,3,1,1,0,0,43,0,3,1,0,0,1,0,0,0,0,0,0,0,0,10,29,0,0,0,0,19,15,0,0,0,0,0,19,3,1,0,0,1,0,0,0,0,0,6,3,19,11,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0
296,9,12,3,2,0,0,29,4,9,3,1,1,0,0,1,0,0,0,0,0,0,26,39,9,0,0,0,9,48,2,0,0,0,0,11,7,5,2,2,0,0,0,0,2,9,12,9,32,10,0,0,0,1,0,0,0,4,2,2,0,1,6,0,1,1,0,2,1,2,1,1,0,2,0,3,1,2,0,2,0
306,8,4,3,0,0,1,40,0,3,2,2,0,0,0,0,1,0,0,0,0,3,17,25,6,4,0,0,15,26,5,0,0,0,0,19,5,1,2,0,0,0,0,0,1,2,8,7,24,13,0,1,0,0,0,0,0,5,2,0,0,0,1,0,1,3,1,0,1,1,2,1,0,1,9,0,0,0,0,1,0
242,22,35,4,3,4,6,15,2,8,4,2,2,2,1,2,2,2,3,1,0,3,21,56,55,33,40,0,2,123,42,19,0,1,0,38,39,6,2,2,4,0,0,1,12,28,56,41,67,3,0,0,0,0,1,0,0,5,9,8,13,10,13,4,15,1,10,4,1,11,2,3,7,11,1,1,18,3,1,1,0
303,7,10,2,0,0,0,36,1,8,1,1,1,0,0,0,0,0,0,0,0,1,9,30,11,3,3,0,12,26,3,3,1,0,0,17,7,2,1,0,0,0,0,0,0,3,10,3,30,11,0,0,1,0,0,0,0,6,1,1,0,2,2,2,0,0,0,1,2,1,3,0,0,3,0,1,0,0,0,1,0
288,7,18,2,1,0,0,30,0,9,1,3,1,1,0,1,0,0,0,0,0,3,14,40,14,4,1,0,9,43,9,0,1,0,0,15,17,0,1,0,1,0,0,0,0,5,21,6,35,9,0,0,1,0,0,0,0,0,7,3,2,2,0,2,2,1,0,3,3,1,4,1,0,0,0,1,0,0,0,4,0
308,6,6,0,1,1,0,40,4,2,0,0,0,0,0,2,0,0,0,0,0,0,9,27,10,4,1,0,18,18,8,0,1,0,0,23,4,2,0,1,0,0,1,0,0,4,4,9,23,10,1,0,0,0,0,0,0,11,0,0,0,0,3,0,4,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
311,6,5,0,0,0,0,39,3,5,1,0,0,0,0,0,0,0,0,0,0,1,6,28,2,3,0,0,16,10,6,0,0,0,0,18,6,0,0,0,0,0,0,1,0,3,2,2,20,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,0,3,0
