BP10MB[0],BP10MB[1],BP10MB[2],BP10MB[3],BP10MB[4],BP10MB[5],BP10MB[>5],BPArm[0],BPArm[1],BPArm[2],BPArm[3],BPArm[4],BPArm[5],BPArm[6],BPArm[7],BPArm[8],BPArm[9],BPArm[10],BPArm[>10 & <=20],BPArm[>20 & <=30],BPArm[>30],CN[0],CN[1],CN[2],CN[3],CN[4],CN[>4 & <=8],CN[>8],CNCP[0],CNCP[1],CNCP[2],CNCP[3],CNCP[4],CNCP[>4 & <=8],CNCP[>8],OsCN[0],OsCN[1],OsCN[2],OsCN[3],OsCN[4],OsCN[>4 & <=10],OsCN[>10],SS[<=2],SS[>2 & <=3],SS[>3 & <=4],SS[>4 & <=5],SS[>5 & <=6],SS[>6 & <=7],SS[>7 & <=8],SS[>8],NC50[<=2],NC50[3],NC50[4],NC50[5],NC50[6],NC50[7],NC50[>7],BoChr[1],BoChr[2],BoChr[3],BoChr[4],BoChr[5],BoChr[6],BoChr[7],BoChr[8],BoChr[9],BoChr[10],BoChr[11],BoChr[12],BoChr[13],BoChr[14],BoChr[15],BoChr[16],BoChr[17],BoChr[18],BoChr[19],BoChr[20],BoChr[21],BoChr[22],BoChr[23],type
301,6,8,1,0,0,0,36,2,5,1,1,0,1,0,0,0,0,0,0,0,1,5,32,10,0,0,0,14,24,1,0,0,0,0,17,3,0,2,0,1,0,0,0,0,5,4,7,17,15,0,0,1,0,0,0,0,2,0,2,1,0,1,1,2,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0
295,12,7,2,0,0,0,27,9,7,3,0,0,0,0,0,0,0,0,0,0,1,17,31,5,1,0,0,8,30,2,0,0,0,0,12,10,1,0,0,0,0,0,0,0,4,5,6,29,11,0,0,0,1,0,0,0,2,1,2,1,1,1,1,3,1,1,0,1,2,0,1,2,3,0,0,0,0,0,1,0
321,0,1,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0,23,2,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,1,0,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
315,3,3,1,0,0,0,44,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,28,1,0,0,0,20,12,0,0,0,0,0,20,4,0,1,0,0,0,0,0,0,2,2,2,18,12,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
250,14,40,4,6,0,2,18,1,9,2,6,0,3,2,0,0,2,3,0,0,27,46,91,2,1,0,0,4,93,51,0,0,0,0,8,22,2,9,0,7,0,0,0,0,21,46,35,62,3,0,0,0,1,0,0,0,1,10,3,5,9,3,5,3,1,7,3,4,1,1,0,3,5,7,0,2,2,0,1,0
314,5,3,0,0,0,0,43,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,26,2,2,0,0,20,8,3,0,0,0,0,22,4,0,0,0,0,0,0,0,1,0,2,2,16,14,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
300,5,14,1,2,0,0,34,1,7,0,4,0,2,0,0,0,0,0,0,0,0,25,42,1,0,0,0,13,43,1,0,0,0,0,13,3,2,3,1,2,0,0,1,0,1,13,16,23,14,0,0,1,0,0,0,0,0,1,2,0,2,3,0,2,0,0,0,0,0,0,0,3,4,1,1,0,2,3,1,0
315,1,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0,22,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,8,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
306,8,1,1,0,0,0,37,8,0,0,1,0,0,0,0,0,0,0,0,0,2,4,24,6,0,0,0,14,11,2,0,0,0,0,21,2,0,0,0,0,0,0,0,0,1,4,6,12,13,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,1,1,1,0
314,4,3,0,0,1,0,43,1,2,1,0,0,1,0,0,0,0,0,0,0,0,8,27,4,0,0,0,19,15,0,0,0,0,0,20,3,0,0,0,1,0,0,0,0,4,1,3,15,16,1,0,0,0,0,0,0,1,2,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
