Samples	SBS80A	SBS80B	SBS80C	SBS80D
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	459	16	2	0
08e1d976-6c39-428e-a4c2-f655b675683e	437	4	17	50
08f7812b-0d74-42ba-985b-d0a027e8a80c	463	0	17	0
09497b9b-6fca-48cb-af97-161a3e434a51	28	4801	0	294
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	5795	0	410
09537dce-c797-4b60-962a-d4c3cd6ab00a	456	15	4	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	290	651	325	155
097a7d36-905b-72be-e050-11ac0d482c9a	379	0	157	59
0980e7fd-051d-45e9-9ca6-2baf073da4e8	430	0	59	34
09bc8542-4ea1-4599-91b3-d606425b37e2	181	854	481	324
09cb8bc5-13ac-44ac-9b7d-6de143373570	332	346	52	203
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	264	0	508	161
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	362	0	88	133
0a9c9db0-c623-11e3-bf01-24c6515278c0	351	124	0	167
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	382	0	142	95
0ae2193f-0d68-485a-b8c2-7568cbcce33e	422	17	69	38
0b19bee7-5281-4915-9d98-c20eb3e84ecf	246	0	460	281
0b29c893-03bf-4131-b192-c14a2788d411	422	108	0	49
0b6cd7df-6970-4d60-b7b5-85002a7d8781	461	14	11	0
0b811c6a-8f05-44bd-ac33-fb720d189e71	459	14	0	0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	447	0	28	0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	426	0	135	15
0bbc7ede-5022-4084-925c-d65baaf7abc2	250	607	96	330
0bd3a230-531e-44aa-9999-b8ed8da0176b	355	0	181	88
0be08326-c623-11e3-bf01-24c6515278c0	347	0	109	185
0bfd1043-5142-3662-e050-11ac0c486501	244	299	408	295
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	246	203	374	301
0bfd1043-7343-fdd0-e050-11ac0c484cab	122	1472	0	446
0bfd1043-7344-fdd0-e050-11ac0c484cab	0	1050	3002	0
0bfd1043-7346-fdd0-e050-11ac0c484cab	269	251	16	372
0bfd1043-7ebf-aaec-e050-11ac0c482f39	207	364	1311	212
0bfd1043-7ec1-aaec-e050-11ac0c482f39	148	151	1043	385
0bfd1043-7ed6-9ccc-e050-11ac0c481957	275	231	16	365
0bfd1043-816e-e3e4-e050-11ac0c4860c5	0	883	2710	31
0bfd1043-8170-e3e4-e050-11ac0c4860c5	126	466	449	489
0bfd1043-8172-e3e4-e050-11ac0c4860c5	156	480	213	490
0bfd1043-8173-e3e4-e050-11ac0c4860c5	132	566	154	537
0bfd1043-8175-e3e4-e050-11ac0c4860c5	117	521	135	567
0bfd1043-8177-e3e4-e050-11ac0c4860c5	342	0	200	162
0bfd1043-817c-e3e4-e050-11ac0c4860c5	175	38	935	355
0bfd1043-817e-e3e4-e050-11ac0c4860c5	162	0	1101	365
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0	381	2874	176
0bfd1043-8181-e3e4-e050-11ac0c4860c5	3	341	2216	315
0bfd1043-8183-e3e4-e050-11ac0c4860c5	170	0	986	359
0bfd1043-8187-e3e4-e050-11ac0c4860c5	38	395	2620	38
0bfd1043-8189-e3e4-e050-11ac0c4860c5	262	270	362	260
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	138	500	261	483
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	252	0	477	333
0bfd1068-3fca-a95b-e050-11ac0c4860c3	346	0	139	184
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	314	371	394	164
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	157	491	908	362
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	177	1137	55	367
