Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
36680797-36de-413d-b2a1-8804ac1705e9	254	0	26	0	2	177	18	9	11	4	49	0	0	0	0
367fdef3-d7af-4996-932f-cc5087e843dc	416	0	0	0	0	26	14	0	0	0	27	0	0	0	0
368e592d-260c-4f58-81c4-a9f1e6177a4b	426	0	0	0	0	0	0	0	4	0	31	0	0	0	0
36962459-e81f-4b8c-a08d-df60ef3283a3	295	87	26	3	0	55	110	0	0	0	24	10	0	0	0
369c06f2-8904-49cb-99d1-dd297ed0cd0c	38	225	240	593	409	53	196	121	0	209	27	73	152	0	48
36d1a85e-a09b-4537-86e0-eaf1eb03aed8	0	96	583	1431	267	0	359	0	85	0	212	0	4	172	99
36d9c1aa-c623-11e3-bf01-24c6515278c0	195	49	112	107	148	137	0	340	61	16	7	27	10	54	99
36e1d9cc-32ec-4a0a-8fb1-c46f058a6fb8	215	171	0	52	7	81	41	5	22	5	16	11	6	29	5
371235d9-55b8-40a7-8cd6-baa7c2ad0493	158	26	135	62	50	197	100	60	72	0	68	0	32	0	12
3728982b-4547-4249-bd42-72a91d3fda8c	411	0	6	11	1	30	0	0	0	5	0	5	8	7	2
374cbd87-428e-4509-85c1-b7d3302c30a0	346	46	27	16	4	63	52	44	14	0	46	7	0	6	0
37522f18-77b2-4414-8df8-3c2c8048adba	29	162	196	465	684	172	27	419	0	0	0	85	121	0	11
37c913e6-9ce5-4338-8849-b5bf7862d36a	435	0	0	0	0	0	0	1	0	0	21	0	0	0	1
37d0cf1b-1743-4852-8073-372b16b5c17d	289	92	0	19	0	81	27	0	10	11	27	0	0	11	0
37e5d47b-851b-47de-ba6a-fd2835644011	359	51	0	31	87	36	25	63	0	60	51	46	5	0	1
380593d8-c623-11e3-bf01-24c6515278c0	150	77	25	5	72	237	9	0	78	9	1	0	4	25	9
384ef419-ee94-4563-9237-236fddeb4b64	159	19	71	90	123	223	4	0	153	15	23	0	9	23	32
3869ff3f-21b9-4817-8ff4-83c6fc75ab11	254	72	13	51	7	122	20	0	19	12	26	0	6	23	0
387c6519-6529-4074-a5ab-00f8052a5732	174	177	58	133	24	95	163	39	45	2	2	0	45	0	28
388a8875-c3f5-494e-8456-28be8d3626e1	306	113	0	15	0	35	43	0	0	0	23	9	0	0	0
38d8e626-c622-11e3-bf01-24c6515278c0	235	157	0	7	0	86	67	0	0	0	33	21	0	0	3
3914c02e-44ad-4c96-8464-61aa95b42c49	298	122	6	67	0	48	87	15	1	15	25	62	0	0	4
391a949d-217a-472c-a6d4-80e548039684	396	51	0	69	0	0	94	30	1	0	10	10	0	0	0
3933c60d-73d6-4f74-ae02-fd545fc1f092	151	143	205	483	291	53	28	246	22	0	52	33	31	0	149
3935af50-d992-4430-9909-e688347aead9	426	1	0	1	0	0	0	0	3	0	38	0	0	0	0
39458b0e-c623-11e3-bf01-24c6515278c0	271	125	20	2	0	55	74	0	0	16	23	18	0	0	2
39520be3-a2af-4189-acf4-9d239363333a	233	28	50	55	0	147	102	0	45	33	46	70	20	0	0
39a5d94d-e8c8-4057-be96-362ffbafb94d	429	15	0	0	0	0	15	1	0	0	23	0	0	0	0
39aee9fc-fa27-4b71-b9e8-43ff34bd3930	299	83	13	28	0	54	104	0	25	6	25	1	2	2	11
39c476fd-273b-4136-874c-53352f1be008	357	4	27	20	0	72	41	5	37	18	6	0	5	25	5
39c55051-e1bc-4081-962a-17205645de45	419	16	2	45	5	18	16	0	0	0	21	12	0	0	0
39c6c3b3-4683-4d11-984c-ed589188da65	253	99	51	153	0	21	274	56	45	0	3	50	218	0	0
39d38c06-3779-4ca4-b103-1d096f93dae8	310	43	65	72	0	69	135	0	3	0	31	0	1	0	1
39e32615-0160-4f13-b330-50748f5d87ed	263	104	35	0	0	84	90	0	0	0	29	0	0	0	0
3a18aa52-b6e2-4d03-ad05-ef99d653f0e0	333	97	0	60	0	23	4	0	3	19	54	2	0	0	2
3a49a936-c623-11e3-bf01-24c6515278c0	316	89	0	45	7	59	17	0	0	1	28	0	0	5	1
3a551616-4840-4111-a8c5-b4aa773d82c2	9	118	233	275	223	147	50	58	342	222	34	129	159	7	43
3a5eaed6-fcfd-437a-b61c-fd3725c64717	64	155	114	197	272	209	0	111	0	0	0	85	0	57	23
3a6bce45-0431-49d8-82df-b1d9a738e5a6	70	248	219	308	434	42	20	68	10	45	12	20	50	0	132
3a81f733-b3a3-4578-b925-a663612bc92c	319	15	19	0	0	98	34	3	14	1	28	0	0	0	0
3ace181a-23bd-424e-a87e-e0c01a2a2cb8	449	0	0	0	0	0	4	3	0	0	15	0	0	0	0
3ad44032-01fb-4f84-b880-f01bb13a4359	395	22	0	0	1	41	32	0	0	7	0	0	3	3	0
3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1	402	0	2	13	3	49	0	0	2	6	9	0	9	3	1
3afae3fb-2d87-4724-a589-d31cce1f4c28	442	0	0	0	0	0	2	2	0	0	22	0	0	0	1
3afb3f57-545a-4ed5-9461-2fcb28d89399	339	34	24	7	0	70	32	0	0	0	27	0	0	3	0
3b02a7a7-e5bc-4e77-b691-521603630b00	289	30	51	83	84	46	95	119	0	68	0	0	0	0	193
3b20d548-2a7d-4031-85a1-425ca7201d7a	0	147	547	397	540	0	163	46	132	395	96	152	45	32	52
3b399659-8302-428a-9c97-1e7b455c9c2f	316	26	29	11	89	94	0	24	0	0	0	0	37	0	37
3b41cb48-c623-11e3-bf01-24c6515278c0	110	96	72	35	18	245	85	14	25	18	37	2	2	10	10
3b4ff158-c6d8-4a26-9568-0634ddb4a609	428	0	0	0	0	0	0	0	0	0	30	0	0	0	0
3b526846-72d6-4e10-b7cd-8cdb45a92a1c	70	155	134	21	0	200	157	0	17	19	49	27	47	0	9
3b55c58d-f95a-4a1d-9aa1-8d2c026656a9	287	94	12	26	0	70	96	0	5	0	15	0	0	0	2
3b590d75-ccfb-4da8-a2e9-10fb07e02cea	6	95	121	293	205	271	96	79	144	112	52	49	22	98	20
3b7810f7-f8ff-4d62-b766-3ba06170194c	405	16	0	30	0	24	44	0	4	0	26	11	0	0	1
3b8ab548-6669-4142-9612-cafded0d7a23	211	118	83	0	0	105	165	0	0	0	36	20	0	0	0
3bacc189-01b8-46cc-a442-f393c0f428c6	202	140	31	92	8	96	103	8	36	7	50	0	18	11	1
3baecfba-6977-4374-8bc9-22240abad9b5	406	0	4	0	0	19	0	0	0	0	38	0	0	0	0
3bb25b72-ceb1-4169-891e-339f22cb0f03	445	0	0	0	0	9	23	0	0	10	0	0	0	5	2
3bb4c27b-4d0d-4d13-b910-41a9ebf95880	87	160	128	111	18	166	105	0	78	51	59	69	14	20	9
3bfbc33d-804b-4bb3-97ac-97563d77b13d	182	149	0	147	12	123	109	26	0	11	49	0	0	0	20
3c019b2f-52ec-40a8-99b5-98c1423ce627	336	37	0	36	0	85	75	11	14	0	6	30	15	0	4
3c2b1509-1eb9-4b79-9569-57810f291499	91	210	53	211	19	155	114	0	3	7	58	11	16	43	8
3c30b10e-c623-11e3-bf01-24c6515278c0	297	69	17	27	0	77	21	0	19	4	42	0	11	0	0
3c78970e-c622-11e3-bf01-24c6515278c0	375	0	0	2	27	62	0	0	0	2	0	0	14	18	13
3c86ba21-7b11-4ec7-9d20-a2325197c676	220	45	0	127	116	163	22	123	0	55	19	5	5	80	5
3c92c0e9-68e0-4354-8ed1-b6506878145d	322	24	31	1	0	93	80	1	0	0	25	0	0	0	0
3c963890-6e79-4b16-a4aa-bac04938b4d7	91	0	57	560	29	128	241	1331	315	0	315	734	90	0	46
3d400522-c623-11e3-bf01-24c6515278c0	232	131	0	61	0	90	65	0	18	1	23	0	16	0	6
3d477ac1-3bdf-4410-9594-1a3a1412c6ae	355	41	0	11	0	56	47	39	0	0	16	7	0	21	1
3da169e8-844a-4eee-b794-a2eb81db779a	217	65	54	0	67	154	117	14	8	43	48	40	3	1	5
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	49	154	399	599	411	23	114	443	180	76	73	0	104	85	8
3db6e6cc-1a06-49b9-834e-b6611cde4c4b	346	0	20	1	4	0	0	1031	59	14	238	363	0	56	1
3de261ea-6478-4f96-8ca1-30be130e945f	427	13	6	0	0	0	16	0	0	0	28	0	0	0	0
3e012b50-06d1-4120-971b-5e54139b00ee	211	116	56	184	0	113	51	78	20	13	112	0	0	0	0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
3e2a85d0-c622-11e3-bf01-24c6515278c0	316	49	0	10	0	93	30	3	5	0	29	2	0	0	5
3e4d0e50-8cf4-4eb0-a00a-ccf0484ecc2f	45	123	220	0	148	199	32	46	107	67	85	73	14	9	49
3e604a1c-b95f-44ff-9723-e2fac845da3b	164	206	13	51	26	110	66	11	12	30	39	19	2	0	16
3e68233a-c623-11e3-bf01-24c6515278c0	211	124	95	56	13	56	21	0	53	40	65	0	67	0	31
3e6a17f9-c249-41b6-ba49-55aaa39d21c5	118	20	226	114	248	128	101	395	189	163	0	0	8	80	136
3e7a30e6-2202-40bd-bfc1-0383604050da	431	11	0	14	0	0	40	3	0	0	23	0	0	0	0
3e7ccab5-5b1d-4147-b907-77cab8f0837e	274	150	0	20	0	44	42	0	3	1	35	2	0	0	0
3e86e68b-d083-4450-b056-4cd0f8d4a084	391	46	37	0	1	0	39	0	22	1	27	0	0	0	0
3e8a2c90-e747-4a22-bc9e-0b062479fec2	432	12	0	0	0	0	13	1	0	0	25	0	0	0	0
3e94aa64-7dd3-4d63-a5de-b4050d3dfafa	387	26	2	12	0	29	9	0	0	4	27	0	0	0	0
3ed783cf-2248-44a1-a2a2-d6b6519b91ef	91	58	111	2	31	270	76	0	49	13	53	0	48	0	8
3ee54a3c-69ba-479a-b1fe-79917e1b6dd5	394	22	3	0	0	27	34	0	0	0	27	2	0	4	0
3f039593-91d1-43cb-a06b-41e92f7e8d20	441	0	0	0	0	0	0	1	0	0	26	0	0	0	0
3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c	251	65	19	26	0	127	86	0	0	0	37	12	0	1	0
3f3aff50-d71b-44af-85d4-f81e813ea420	381	0	0	0	27	58	0	0	0	0	0	0	14	17	11
3f72f750-5666-44e7-acaf-a912d89475be	415	0	0	0	0	26	13	3	1	0	25	0	0	0	0
3f98d326-5676-4257-9af8-0a5f5d3c2527	0	134	17	487	356	263	14	384	106	20	87	48	53	82	61
3f99ae0e-c623-11e3-bf01-24c6515278c0	289	64	8	10	0	98	52	0	0	2	20	1	1	8	2
3faeb03e-c622-11e3-bf01-24c6515278c0	0	246	54	488	500	185	0	0	0	0	0	213	16	88	2
3fb8f017-576f-4901-b8bf-3a58e5d43de3	325	31	69	18	5	68	62	2	7	4	25	1	16	0	6
3fba4880-cb7b-4ac5-ab5f-728614faa1ea	201	61	3	25	143	207	0	10	0	19	0	6	0	2	5
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5	409	33	0	61	0	8	34	5	3	0	26	5	0	5	0
4019c219-c51e-479f-8a9d-cfa6816ed696	356	53	0	51	42	18	49	31	0	18	1	0	90	0	2
40378b7a-a65d-4510-aaba-a34c4058fac7	179	65	50	53	93	208	2	0	8	37	18	4	42	6	6
408ed640-75f6-4346-bdd0-3b93c51adae5	370	20	1	0	0	60	32	0	0	0	23	0	0	0	0
40b1e928-c623-11e3-bf01-24c6515278c0	272	90	0	21	3	103	18	1	1	7	31	8	0	5	7
41027c0b-85af-4c78-bba0-0da63cd75fa9	121	270	92	88	0	37	412	18	109	0	3	62	0	40	0
41840dc1-5ea2-4f01-a0d4-8b65add641c8	64	214	10	96	32	205	0	0	0	4	0	81	18	45	15
418a3dec-96ff-4719-becb-e1a8260cce2f	116	113	59	144	79	227	0	61	24	48	41	5	8	23	17
418e916b-7a4e-4fab-8616-15dcec4d79f8	0	163	202	1154	1215	0	86	169	195	227	78	105	60	78	86
41a7b031-d928-4a1f-891b-82fb3f6d548f	34	182	0	980	678	149	121	289	0	0	0	39	159	75	71
41c565a9-d44a-447f-85c0-98f23bfee1b3	265	118	15	1	0	58	151	0	0	0	25	71	0	8	15
41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f	291	85	69	44	0	81	138	0	6	0	9	17	0	0	0
41dba8d1-8aad-474c-a82b-20b28ab818bd	231	105	0	6	0	131	80	2	8	0	24	0	6	0	0
41de507a-c623-11e3-bf01-24c6515278c0	164	184	0	68	19	139	60	9	7	0	22	0	9	18	10
41f140b8-72b9-4ae3-8b25-6144d9f94d0f	270	0	13	107	26	59	230	165	50	75	0	0	182	36	80
42465bbd-289b-4e96-98fe-76809c5e1520	0	271	144	225	520	74	0	186	257	150	20	65	10	100	53
4255582e-c622-11e3-bf01-24c6515278c0	196	108	24	76	0	164	153	8	10	2	17	0	7	0	2
42629ae0-9410-4fac-8df1-2c276467deb5	54	173	126	276	195	124	94	157	207	70	29	120	40	29	73
4283773c-c04b-4f33-a398-f3566f6d293a	0	219	146	12	310	238	30	46	0	55	0	37	0	42	0
428c100f-d7d0-4860-a8fc-2bae6a4bba95	170	131	67	47	158	127	48	0	49	9	3	93	29	5	37
429aad6f-816d-4739-baa3-b0ebf2fcd501	79	108	118	18	26	255	172	4	16	12	21	70	1	0	43
42a548f0-d86a-4273-8bda-be0fe6a53b20	103	200	55	52	0	131	250	0	92	0	19	64	0	13	14
42af8f74-fd4b-486d-bc11-db53cc471d62	0	128	131	46	0	303	165	0	19	32	22	23	0	24	8
42d20028-0ddc-4dac-9f05-d674f8915f21	336	95	0	20	0	29	66	0	20	0	21	24	0	1	0
42de1441-6f3c-4b4d-b8b8-ad91e4b1dbe2	319	93	0	6	0	32	42	0	0	0	33	14	0	0	0
42e92d78-c623-11e3-bf01-24c6515278c0	209	96	0	16	3	159	39	0	18	21	25	21	4	5	15
42f00950-09c9-461a-8423-d5b04a96af10	109	141	0	276	124	164	19	247	123	36	87	114	79	0	15
42f88b95-fa12-47c7-93f1-cf72f207291c	442	8	2	1	0	2	1	0	0	9	15	2	4	0	0
43206cb7-787d-4f68-8019-55e8585c4b4d	396	26	0	7	0	27	22	1	10	0	20	0	0	13	0
436af904-65b2-4196-ad8c-a4e98081ee41	384	0	0	0	75	65	0	0	0	0	0	0	0	12	12
43aa4123-0fe2-4071-8a81-cbdd0410b917	155	116	126	58	182	150	30	0	1	33	0	46	0	89	0
43b675e0-22e0-42d6-a060-afc93e22ac95	80	261	0	6	0	125	171	0	225	0	39	68	0	0	3
43be43cb-a367-4a74-94e4-973acafcf576	229	63	0	7	0	155	50	62	12	9	24	1	16	40	2
43bf37e0-3dbc-4360-818c-fc1356d77495	428	1	0	0	0	0	0	0	0	0	27	0	0	0	0
43d630aa-3890-401c-bf56-e3a9f325734f	418	16	1	0	0	0	15	0	1	0	29	0	0	0	0
43dadc68-c623-11e3-bf01-24c6515278c0	160	167	0	204	0	85	175	0	124	0	44	0	82	0	36
43f7a2e0-fec9-4e43-872d-18c6c946fa17	0	115	522	94	318	124	47	0	37	160	114	158	20	77	34
44083f54-0953-48e3-a704-11ad0988ad2e	156	221	50	43	0	51	476	0	0	0	2	257	0	0	0
441d2f21-b448-4fc8-8c54-9b85aca56237	231	46	42	107	61	142	63	64	18	0	69	0	20	0	5
44406493-37f4-48c7-961b-8714be50773a	447	0	3	0	0	6	0	2	0	2	0	0	10	10	3
446437de-c622-11e3-bf01-24c6515278c0	310	14	29	20	15	114	75	9	32	0	12	0	0	28	5
448af8b4-e071-48b0-a65b-b4ad17afdc0c	258	70	73	0	3	115	94	0	23	3	5	16	2	2	11
448fe471-3f4e-4dc8-a4e0-6f147dc93abe	23	156	135	347	169	229	26	72	60	0	68	47	86	3	51
44e4f08a-c623-11e3-bf01-24c6515278c0	157	236	0	147	46	73	30	0	69	0	62	0	0	55	3
44eebc04-c027-45ae-beca-c4012b494f29	0	284	226	1105	352	0	81	0	0	64	24	124	238	173	70
4508ce0a-5a2e-4502-98e9-2fd76c4eebef	414	11	0	0	0	8	12	0	0	0	26	0	1	0	0
450e8eba-a3a9-4dcb-b423-e33dfcd5c34e	101	86	107	553	268	203	46	8	12	58	48	108	4	52	14
45348eff-4b09-4776-825e-b18de9dba937	413	21	0	0	0	9	47	0	0	0	22	14	0	0	0
45614404-2149-4468-848c-0796e3757d62	378	13	0	0	0	46	9	0	0	0	28	0	1	0	4
45a7949d-e63f-4956-866c-df51257032de	153	138	178	339	260	92	65	0	4	0	12	32	150	0	5
45aedf22-c622-11e3-bf01-24c6515278c0	297	114	0	58	0	53	39	0	9	0	21	1	7	6	1
45d0ccb2-641f-4348-b3a8-61f4113cd85b	167	225	3	0	0	83	81	0	166	0	34	19	0	0	0
45e16b70-c3ec-493e-86d1-505ffdf5056c	57	119	531	528	516	2	110	77	119	269	144	360	69	0	25
460f7427-ebcf-404b-9e9e-e0278d0bca95	60	93	630	536	549	0	9	248	68	86	137	0	72	78	104
461df2ae-fcf1-4b93-be0a-c14954fe7c42	234	101	9	93	0	124	34	0	20	43	22	0	14	0	3
4624fd20-e2ad-4826-b606-a694b04e1076	358	27	0	4	0	66	19	1	0	0	29	0	0	0	5
463bf060-8ba6-4a73-8173-172025f7b527	317	104	0	31	0	39	23	0	0	6	32	0	0	0	1
4652ae03-b096-42d0-bdfa-3f6281d4f023	130	93	34	135	262	225	13	93	0	33	0	17	37	0	12
46693a2b-5105-4770-a9e1-031dfedeb694	28	223	84	241	225	221	0	0	0	0	0	13	30	47	20
4679f37a-4f09-449b-a1d8-1f02847996da	0	307	241	80	0	90	177	0	0	66	85	128	0	0	13
467ef778-f481-44f3-9768-b9900252d2ba	5	202	181	29	17	203	152	0	56	34	63	38	19	27	11
468083cb-95c3-47c1-9d96-79bcf7bf3f26	282	144	0	38	3	56	39	0	0	2	23	16	1	5	0
469eddf2-6e02-46bf-820f-6296a2b776e2	379	13	1	0	0	42	20	0	7	0	21	0	0	0	1
46d35b82-e1b7-4d35-be5e-3a70fd47e421	308	75	14	61	0	64	25	0	0	17	20	0	0	1	2
46e166fe-3b20-49ad-98db-42c854c61c93	214	196	0	33	0	78	125	0	7	0	4	0	6	1	1
46e503ae-461d-443a-869b-f261c5570de1	426	0	0	0	0	1	0	0	0	0	34	0	0	0	0
46f19b5c-3eba-4b23-a1ab-9748090ca4e5	0	190	80	0	0	274	184	0	0	0	42	45	0	0	13
47050918-c623-11e3-bf01-24c6515278c0	367	60	0	0	0	23	9	0	28	0	27	0	0	0	4
4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c	436	2	0	0	0	4	11	1	0	0	25	0	0	1	0
47312f61-5ef4-4f25-9320-8fbb4758790e	0	119	126	2120	880	0	341	174	199	153	246	375	88	91	18
473fe833-fcc6-485e-93d2-95e662c3ef53	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
475bca00-9089-4f50-8638-4e5e8aca6dcd	367	61	45	0	0	0	80	0	10	0	19	0	0	0	0
47874ff4-0b1c-4a31-9192-2a10e93ce9a1	0	204	171	398	279	126	193	259	0	165	80	55	88	141	0
47b5d831-5287-4f62-b17a-6e5eff2e4184	208	42	45	30	92	153	157	63	31	35	0	0	2	59	28
47d77750-c622-11e3-bf01-24c6515278c0	76	299	89	141	0	73	171	0	60	38	39	33	10	34	23
47e5ff56-9534-4fcf-a593-33027e877f93	347	19	6	0	0	91	43	0	0	2	9	0	0	1	9
4808f9e1-452d-45eb-9b87-2f87c67d3452	343	102	0	22	0	19	72	0	3	0	21	0	0	0	0
4838b5a9-968c-4178-bffb-3fafe1f6dc09	200	118	40	74	113	114	21	4	34	31	5	6	0	82	8
483bb781-0179-42e1-bf9c-487b240769b8	427	0	6	2	0	12	0	0	0	1	12	0	6	2	1
484a41c8-fcaf-488d-97dc-bfe6a4b88a95	0	0	1088	2466	720	0	21	73	0	0	535	0	48	0	133
4853fd17-7214-4f0c-984b-1be0346ca4ab	403	7	0	0	0	23	10	0	0	0	30	0	0	0	1
48624a82-c623-11e3-bf01-24c6515278c0	282	53	0	0	5	108	25	0	4	10	57	0	0	0	2
48a0da38-8147-40fe-b683-3f070413a792	19	236	76	0	203	117	0	0	367	116	77	120	47	57	41
48b15122-b1e9-4c30-8fc5-70a07686779a	363	22	1	14	12	60	5	0	0	0	3	0	11	8	4
48c33a30-557b-4ecf-8066-5b4b068b5e3a	336	78	0	17	0	42	78	0	14	0	30	11	0	0	0
48f68f73-3ac0-44ac-ba12-b8889fcb7f38	108	141	142	7	123	190	40	11	0	3	32	62	23	22	14
48fadd0f-6561-4294-bff4-d5e4f7dfe79f	417	6	7	1	0	6	6	0	0	0	38	0	0	0	0
4904d56f-0fe7-4482-8f6d-9e54d261f399	291	129	0	41	0	52	76	0	3	10	29	3	0	0	6
492694a7-bb41-4128-a909-c424e7fc0c9e	434	0	0	0	3	14	1	2	1	0	13	0	9	0	5
492b4e58-12e2-47b2-bd47-28f8607072fa	320	67	0	14	0	56	28	0	0	2	32	0	0	0	0
493e7008-551c-4c0e-b567-a0f31868629e	0	233	216	430	317	94	6	108	159	122	70	36	135	31	32
494701ce-05d4-440b-a65e-d925902b9d42	415	2	7	6	0	9	6	0	0	0	33	0	0	0	0
49795e42-c623-11e3-bf01-24c6515278c0	274	99	1	8	23	88	42	2	3	13	35	4	0	26	4
498ecf81-921d-4df9-a6a4-a625f484e823	442	0	0	0	0	0	4	0	0	0	28	0	0	0	0
49900a43-d42e-4052-a8cb-1563b82ad0a0	416	17	1	0	0	11	3	0	0	0	32	0	0	0	0
49ad3c8d-88cd-43cd-a273-1623fe2aec0b	432	15	0	3	0	0	8	0	0	0	24	0	0	0	2
49b26ab5-2ca9-49b1-ae83-573fa41af2cd	417	13	0	0	0	0	5	0	0	0	32	0	0	0	0
49ce0836-adec-4f62-ac01-dbdfbb96d9fc	383	31	0	0	0	34	17	2	0	0	25	0	0	0	0
49dec0c2-8e75-4f44-a253-82b2ea605890	168	141	0	104	102	168	0	0	38	0	0	0	24	39	11
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	394	36	0	117	106	12	26	0	0	0	0	0	0	0	0
4a1ad661-f6ae-44e8-b50b-72ff658ff22b	364	49	39	18	33	30	16	80	1	3	19	8	0	4	2
4a35b01f-5e19-4673-abea-d87fd1d605d0	442	0	1	3	0	1	0	1	0	2	0	0	8	7	2
4a4309b0-2aca-4d6a-ac50-039b28406bba	355	59	0	28	0	39	66	0	17	0	29	12	1	0	4
4a4e0397-8702-46ef-aaa8-3980f03a40bf	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
4a698352-25e6-4137-bef8-b6520d5b1b95	384	0	0	3	51	84	0	29	0	0	0	0	6	7	0
4a703d3e-c623-11e3-bf01-24c6515278c0	261	120	18	5	25	69	37	0	27	22	46	6	0	0	21
4a88981e-e409-440f-9bf0-71ca1bab8b4e	338	13	20	3	0	88	47	0	1	0	27	1	0	5	0
4aa7eabc-0419-4897-b7af-5dcccfd6ac2f	0	201	502	690	412	54	97	0	0	0	103	131	25	27	149
4adc846a-42cb-4ebd-a954-e31eb29d7572	202	127	18	5	0	146	74	0	25	10	29	0	1	2	1
4b44b313-6f74-4233-bec4-7e41c91c77f1	241	158	26	30	0	69	162	0	5	0	10	0	0	0	5
4b5d9d8c-ff95-45f4-9287-2804e8a98ade	406	16	4	0	0	29	52	0	0	12	0	0	16	0	2
4b7a704b-e516-4275-be11-45cc935237e2	435	0	0	0	0	12	12	3	4	2	21	0	0	0	0
4b8943be-c623-11e3-bf01-24c6515278c0	112	56	56	122	283	193	28	183	39	124	134	54	2	0	115
4b8c6b0c-0d0c-4834-a2f3-691e0919b902	406	26	0	0	0	16	19	5	2	0	28	0	0	0	0
4b91ece6-c9b2-4889-b18c-c63eb58eb061	410	18	0	5	0	2	2	0	0	0	33	0	0	0	0
4bae2f08-da75-4991-acb8-5ba9912f9131	426	2	0	0	0	0	1	0	0	0	32	0	0	0	0
4c027164-12de-456f-b933-6bc91f70b46f	369	29	63	68	0	19	95	0	4	1	39	9	19	0	0
4c183106-c622-11e3-bf01-24c6515278c0	393	25	0	0	0	37	21	0	0	9	9	0	0	6	5
4c2ad4a0-5d57-4e27-9f35-058b2f205f50	0	204	199	37	33	190	312	24	5	104	50	139	12	29	6
4c3840df-9824-40db-879e-6d24adc8c155	185	87	77	31	106	160	0	0	44	0	28	20	42	0	0
4c3eda94-56f4-46d3-8c88-50d476e773f6	418	26	0	0	0	3	10	0	0	0	25	0	0	0	0
4c3f733d-5fd5-4f67-af5f-8c36c5b37be2	444	0	0	0	0	0	1	1	0	0	23	0	3	0	0
4c4aa1b1-fda3-4c5b-b588-68aa727500ad	338	31	0	22	15	77	54	2	1	0	28	1	13	0	0
4c5228b5-bf31-4abd-a47c-d088e16dba13	212	105	13	40	11	129	85	18	132	3	34	9	0	0	23
4c59fb2d-21b6-4b09-8174-6102de736e4d	78	41	316	440	629	49	99	1574	45	89	15	1559	76	409	60
4c755527-3b5d-4d36-822d-990aa1003d6a	352	29	7	0	0	64	45	0	0	0	32	2	0	0	0
4c8afa82-c623-11e3-bf01-24c6515278c0	184	226	0	158	0	60	117	16	1	0	54	17	42	0	0
4cbe411b-b05e-46bd-bea8-126289a0866c	173	178	116	62	0	82	308	10	10	0	0	0	14	0	4
4ceeb025-2f16-4f80-b9b4-0151346349c6	387	22	0	0	0	37	9	1	0	0	29	0	0	0	1
4cfb0aee-6661-478a-8694-9d8ba15e46b7	290	48	0	8	40	107	0	0	43	14	0	17	30	12	5
4cff8590-559e-4204-8635-96e11bfeda68	378	0	94	0	4	38	48	0	64	19	13	38	2	4	7
4d11d7da-1204-437e-87b1-e8337a67c9a8	356	62	0	0	0	36	13	1	46	2	38	7	0	0	1
4d121008-0987-4142-a2b8-7dac58f3110a	377	1	7	0	0	66	21	0	0	0	26	0	0	0	1
4d1a4587-adb4-4a65-943e-f19efe8de142	399	14	8	18	0	26	9	0	3	0	36	0	0	0	0
4d2204f1-be84-4f58-b7e7-61ae9fbf6d25	341	83	0	0	0	43	89	0	4	15	0	6	0	13	4
4d409156-3a36-4c63-9ad6-b6af34f27b06	52	2	262	927	527	237	0	94	0	0	0	0	118	156	22
4d4eff82-ede0-47f1-b49a-ada025952114	192	112	27	5	12	159	152	0	0	1	0	38	13	4	2
4d690424-b015-46ae-885d-aa6d9031f66f	441	0	0	0	0	0	0	1	0	0	26	0	0	0	0
4d6bb438-86f0-4414-962f-2b1cebee4524	429	0	0	0	0	16	5	27	3	4	25	0	12	0	2
4d72d06d-b6af-4294-9eef-6e61e067761f	350	83	0	4	0	31	36	0	6	0	27	2	0	0	0
4d7f2c74-862b-4aad-98e1-fa831f14a905	302	49	78	0	0	82	75	47	32	0	21	0	0	1	39
4daa2708-d0db-40fe-a07a-763f003adcae	375	34	0	0	0	29	13	1	0	0	34	0	0	0	0
4dac9498-c623-11e3-bf01-24c6515278c0	293	97	0	30	0	75	43	0	27	0	20	0	7	0	1
4db9e471-0068-4ec6-9bcb-33ef5fdec33e	271	76	0	5	1	115	82	1	16	0	14	12	7	1	0
4dc9b032-7f7b-486d-a12b-8461af89501d	55	86	109	37	103	265	18	0	121	31	117	4	18	15	18
4de7441f-a609-4a75-9fe7-17a647079ac1	436	5	5	7	0	0	16	3	14	3	25	0	0	7	0
4e361622-f9a8-4e9b-a89e-19bafebe1d6a	399	0	2	0	19	52	0	0	0	0	0	0	12	10	4
4e596add-a7c5-4617-9649-b4ac6612e39c	438	2	0	0	0	0	0	1	0	0	27	0	0	0	0
4e7cdeda-6dc1-4f17-b853-72a68e5aa7e1	174	50	149	181	383	135	0	157	0	194	0	11	0	99	0
