Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
051cb117-16fd-459e-81e5-002eca2b7eea	416	0	0	10	0	25	0	0	0	4	0	0	12	9	5
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	236	77	63	0	0	113	136	0	15	0	44	18	0	0	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	242	69	429	316	186	47	312	0	0	16	111	65	12	55
05486349-24a4-4931-bf5f-c9fefe369af2	362	31	49	25	0	49	73	2	0	9	0	0	5	0	6
0554ffe5-31f7-43f5-8372-2b73c9cf3527	367	10	0	6	19	74	0	0	7	0	4	0	13	16	7
05616329-e7ba-4efd-87b1-d79cd0f7af3d	278	75	13	61	1	102	25	0	7	4	41	0	0	0	3
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	426	0	0	0	0	0	0	0	0	0	29	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	316	97	15	30	0	28	45	0	18	6	30	0	0	0	8
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	434	0	0	0	0	2	5	0	0	0	23	0	0	0	0
05da3161-1444-4188-914d-19762de3a443	441	0	0	0	0	0	4	2	0	0	24	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	426	0	0	0	0	1	0	0	0	0	34	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	384	4	0	0	0	50	16	2	1	2	22	0	7	0	2
0624eb1d-3aff-4037-a3c5-fc363a9edd02	390	13	0	0	0	34	4	1	0	0	27	0	3	0	0
062e96d4-c623-11e3-bf01-24c6515278c0	269	62	50	20	6	95	86	20	34	29	20	0	12	16	19
063cfacf-9933-4a2d-8921-0aeb76e12779	411	20	13	0	0	0	19	0	0	0	26	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	7	359	159	538	0	47	46	0	22	0	186	0	0	0	9
068f4f69-d2fe-4f25-912e-ca7d4623efb6	371	37	0	20	0	41	33	0	9	0	26	0	2	4	1
06dad93a-4b67-49b3-8fa5-f2546e22bae7	198	108	93	75	64	97	80	42	35	42	51	15	18	41	8
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	294	70	52	28	22	72	67	0	46	7	7	3	3	7	7
072f4146-c623-11e3-bf01-24c6515278c0	407	7	0	0	0	28	7	0	4	3	33	0	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	337	28	9	2	0	68	42	0	4	1	35	0	0	0	5
07531318-87e8-4db8-aa61-9b93597d063b	334	58	0	0	0	64	50	3	25	0	30	10	0	0	0
075fc96d-6742-4ef3-9369-482592ad3a2f	237	0	25	60	259	0	383	1433	156	0	131	865	127	0	82
07835447-5d7e-4828-80fd-89b063989c9a	318	65	10	31	26	58	77	19	27	13	10	0	17	0	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	203	97	59	126	115	149	22	30	0	36	0	0	9	0	2
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	403	23	0	16	0	0	65	0	0	0	27	23	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	192	105	20	0	262	175	0	9	8	15	70	35	0	20
07d20658-3db4-47e7-877b-66536266edfc	214	129	28	25	0	110	132	0	29	10	0	10	0	33	6
07e0e938-f61f-477a-92a2-5b7e74b78943	159	200	0	88	7	125	35	0	40	9	26	57	6	16	14
07f16397-71bb-4594-ad4d-caa7d2baeabd	271	123	42	7	0	28	176	0	0	0	30	75	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	205	112	136	165	435	73	30	81	0	113	0	104	0	18	12
08227616-02a5-46e8-9db1-f2d1d691ab23	24	114	175	37	238	264	0	105	47	70	20	53	24	30	16
0831e45e-c623-11e3-bf01-24c6515278c0	163	138	31	80	2	163	44	0	34	8	34	0	7	0	26
089be98d-c3c9-4fb4-aef2-7a8578a91d51	223	110	89	6	3	101	153	0	0	0	44	12	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	232	143	71	91	0	79	184	9	14	0	13	0	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	311	12	0	0	81	83	0	0	151	0	16	0	12	13	22
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	440	0	0	0	0	0	4	1	5	0	27	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	396	43	0	0	0	6	7	0	19	5	32	0	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	425	16	0	0	0	4	9	0	0	0	26	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	40	0	229	544	1645	0	0	1376	450	236	0	266	209	52	76
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	540	562	2923	0	0	576	1345	0	0	0	19	158	82
09537dce-c797-4b60-962a-d4c3cd6ab00a	432	0	0	0	0	11	18	2	6	3	0	0	2	1	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	188	52	109	251	264	148	28	104	64	0	38	76	18	53	28
097a7d36-905b-72be-e050-11ac0d482c9a	292	20	44	0	0	114	103	0	1	0	21	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	351	47	0	4	0	58	23	0	0	0	25	13	0	0	2
09bc8542-4ea1-4599-91b3-d606425b37e2	129	29	253	312	313	127	97	117	108	119	53	22	42	4	115
09cb8bc5-13ac-44ac-9b7d-6de143373570	203	107	0	64	162	141	8	32	22	52	16	47	41	3	35
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	126	320	5	120	0	29	309	0	0	0	10	0	4	10	0
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	273	65	5	0	0	100	66	0	43	0	26	0	0	0	5
0a9c9db0-c623-11e3-bf01-24c6515278c0	199	48	0	17	86	216	3	0	14	13	9	2	6	17	12
