Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y	SBS80Z	SBS80AA	SBS80AB	SBS80AC
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	275	120	1	1	19	20	11	0	31	2	0	54	2	3	12	0	0	3	1	0	4	28	1	0	3	1	11	0	2
0363fe2c-d765-450e-8b1a-d13a23d9af2a	394	37	0	0	0	0	0	0	0	7	0	0	15	4	17	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0385961e-ea99-40b2-ad79-6872bc30d8a1	318	98	0	10	2	0	0	0	0	2	1	0	27	4	12	0	0	2	0	1	0	0	1	0	0	0	0	1	0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	302	102	10	12	1	6	2	5	0	8	5	0	27	2	14	12	0	0	0	0	9	0	0	0	0	0	1	0	0
03b5268e-881e-49e7-824f-170c3fc8b11b	177	167	22	0	4	17	63	0	44	0	14	37	4	7	12	0	0	7	5	1	9	1	1	7	5	1	4	6	16
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	0	203	76	97	194	199	88	112	50	80	67	40	96	73	9	65	25	14	10	23	18	13	61	15	68	2	0	7
03c88506-d72e-4a44-a34e-a7f0564f1799	168	167	57	53	0	0	53	0	1	45	25	0	21	15	10	5	3	6	5	14	1	1	4	0	0	1	7	4	0
03ced0ce-186a-4349-8d98-572c2bc90382	0	79	152	161	93	173	147	147	185	0	45	28	33	95	74	26	28	19	9	63	71	10	27	13	19	3	0	9	2
03cff38d-7e29-4409-a508-749bddb1b3df	0	63	343	73	139	173	35	1	51	44	100	0	40	119	18	9	15	6	8	16	20	19	9	2	23	19	29	41	4
041e3b42-c623-11e3-bf01-24c6515278c0	117	193	52	63	4	33	55	39	29	36	13	0	27	14	22	3	4	29	3	0	0	1	16	2	2	0	0	3	7
04339769-517c-448d-a7ca-951f83608c60	267	72	13	41	26	0	60	0	0	35	33	50	31	5	11	0	11	0	4	1	0	0	0	6	28	3	0	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	0	41	24	717	547	311	0	203	186	209	266	39	163	244	263	36	0	62	22	57	65	16	88	0	22	145	38	23	9
046d7386-95c8-4501-9e55-c85bec272a7a	72	74	146	232	113	4	110	0	2	190	33	0	41	0	0	29	9	12	6	0	77	2	12	0	2	2	0	4	15
047f9e4d-86b5-4943-aef5-68199bf29e8c	126	124	93	79	2	36	59	22	11	43	22	79	26	41	44	22	28	9	3	10	18	13	2	46	12	15	0	0	0
04aa6b77-8074-480c-872e-a1a47afa5314	37	173	171	55	0	38	82	17	43	22	38	7	16	62	0	0	21	20	4	6	8	9	17	10	11	5	6	1	4
04b570c2-3224-4e9b-81cc-089b4a7ff07a	348	81	0	0	1	0	1	0	0	9	5	0	23	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	195	135	0	0	0	31	111	0	19	11	0	0	0	18	11	0	0	2	1	3	7	5	2	0	1	1	9	2	4
04c09376-8756-41d9-bbca-f464170a8cfb	98	208	112	104	65	23	0	13	10	29	63	12	39	87	21	3	20	9	5	2	11	3	6	1	1	0	3	37	1
04db8bef-8777-48ac-bc2e-3c9acb103f48	308	92	0	0	0	2	22	0	3	0	3	0	15	15	16	0	0	0	1	0	1	5	0	2	3	1	0	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	202	133	39	15	106	0	22	20	9	71	19	0	23	6	16	13	0	2	0	1	0	1	26	8	0	10	4	0	2
051cb117-16fd-459e-81e5-002eca2b7eea	358	61	0	0	0	0	0	0	0	4	0	0	5	24	16	0	0	0	1	1	0	1	1	3	1	1	2	1	1
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	162	129	37	47	58	0	83	0	0	62	10	0	37	0	13	15	12	0	1	12	0	2	2	0	11	0	0	7	2
052665d1-ab75-4f40-be5a-b88154c8beed	0	58	199	334	0	58	114	66	154	33	72	166	22	74	115	0	0	26	26	17	0	7	0	166	10	1	0	142	0
05486349-24a4-4931-bf5f-c9fefe369af2	254	136	8	33	41	0	21	0	0	40	3	0	18	13	19	0	7	0	3	0	2	0	0	2	1	0	2	7	1
0554ffe5-31f7-43f5-8372-2b73c9cf3527	303	97	0	0	0	19	33	0	4	4	0	0	12	15	16	0	0	2	2	2	2	1	1	1	1	1	4	2	1
05616329-e7ba-4efd-87b1-d79cd0f7af3d	189	168	27	34	27	7	43	1	1	14	10	0	31	21	6	1	0	0	2	22	0	0	1	0	0	1	3	0	1
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	386	30	0	0	0	0	0	0	0	0	0	0	24	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	193	179	41	20	30	6	0	1	0	23	14	0	33	10	13	10	5	1	5	5	4	0	0	0	0	0	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	369	50	0	0	0	0	0	0	0	5	0	0	20	1	15	0	0	0	0	0	0	0	1	2	0	1	0	0	0
05da3161-1444-4188-914d-19762de3a443	391	37	0	0	0	0	0	0	0	5	0	0	21	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	368	50	0	0	1	0	0	0	0	0	0	0	25	1	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	305	100	0	2	6	1	16	0	0	9	0	5	21	6	12	0	0	0	1	0	0	1	0	0	1	0	0	0	4
0624eb1d-3aff-4037-a3c5-fc363a9edd02	317	84	0	0	0	0	17	0	0	5	1	0	22	3	17	0	0	0	0	0	1	2	0	0	0	0	0	0	3
062e96d4-c623-11e3-bf01-24c6515278c0	175	145	51	34	31	23	55	16	0	50	10	0	25	20	41	7	12	11	8	0	0	0	2	0	0	2	3	14	3
063cfacf-9933-4a2d-8921-0aeb76e12779	337	76	0	5	15	0	0	0	0	10	1	0	24	2	12	0	0	0	0	5	0	0	0	0	0	0	0	2	0
0664753b-7566-41e0-8006-7009c6735406	65	8	326	355	136	3	25	0	0	29	22	0	107	139	5	23	0	18	8	22	35	11	2	0	11	1	11	2	9
068f4f69-d2fe-4f25-912e-ca7d4623efb6	250	161	0	17	12	0	7	0	0	17	9	0	26	5	16	9	0	5	1	1	0	3	1	0	0	1	0	0	3
06dad93a-4b67-49b3-8fa5-f2546e22bae7	53	227	77	53	79	38	37	23	37	46	36	19	40	38	52	7	24	6	4	1	8	30	6	1	0	19	0	0	6
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	206	134	44	24	52	25	26	0	13	36	11	0	26	17	11	19	2	9	3	0	0	1	3	0	0	0	8	10	5
072f4146-c623-11e3-bf01-24c6515278c0	344	69	0	0	0	3	18	4	1	7	0	0	25	0	15	0	0	0	0	0	0	1	1	0	0	0	0	0	1
074fd614-5d9c-4bcc-96ad-351aa14387e3	258	124	0	13	18	5	36	4	0	19	4	0	28	0	9	0	2	0	4	0	0	2	3	1	0	0	0	1	0
07531318-87e8-4db8-aa61-9b93597d063b	263	105	21	22	0	6	41	1	0	23	7	3	28	0	10	21	0	1	0	0	0	5	2	0	1	3	0	11	0
075fc96d-6742-4ef3-9369-482592ad3a2f	168	43	0	205	0	188	0	279	158	246	476	806	40	72	382	0	0	0	32	87	0	29	78	0	294	3	108	64	0
07835447-5d7e-4828-80fd-89b063989c9a	189	165	23	36	17	18	11	23	8	41	16	4	23	3	24	8	0	2	1	0	0	0	1	57	1	0	0	0	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	123	154	60	76	42	7	71	27	62	14	15	22	16	32	22	0	8	5	2	34	0	1	5	46	1	1	0	1	1
