MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
BP10MB[0]	0.746133873462677	0.6980369055271148	0.416786662787199	0.0027384015296120306	0.025466854032711126	0.0005581550530983167	0.2988045648166008	0.054705433691851796	0.017276368397034295	0.05636855737139003	0.033690236322581765	0.03458950134450518	0.005206500955108137	0.01678356014886887	0.003978345696524694	0.015776219396299567	0.00832149020311646	0.07612421889868735	0.02033909578158303	0.005103620685125611	0.010153102898238467	0.0133027193211527	0.006850191272097747	0.049004905038590035	0.08262149041052907
BP10MB[1]	0.0	0.033884619034361095	0.0035454735994335353	0.0001210389869811479	0.04739754401962273	0.0026438849343321637	0.12600106023717672	0.005228383778594434	0.0020811487214064074	0.0022470291399258715	0.0009524185059854063	9.783150883322378e-06	0.0038002506550401448	0.012849021242536935	0.0027735333065453294	0.003721493474379027	0.0005195091068544401	0.0027180561091211075	0.0015108507729931786	0.001638675280090709	0.002033855875943118	0.0013349701354491118	0.0008773656478654276	0.0008018891525025806	0.0008194829209242018
BP10MB[2]	0.0	0.009901678493279178	0.12114482078701258	0.0022064562424937194	0.043742222842993214	0.001650262607232813	0.011889038382728359	0.05551691152853891	1.0558892972767353e-05	0.04099298177032324	1.401298464324817e-47	0.0017803355725482105	0.007396156806957064	0.009848660033244423	0.0014493431258051715	0.0012127859657630323	0.01012396226078124	0.001064074393507389	0.001671698483205546	0.01287469129267265	0.00011396448477171361	0.005593875398171804	0.002900702098850161	0.002015998008691895	0.0010691908940960815
BP10MB[3]	5.2645812775864445e-09	7.814271450570231e-05	0.0011724117596224914	0.0014702383401709084	0.033307842845097184	0.0022233335443888895	0.009441218686824869	0.008127376456686762	0.0006734453624042658	0.00316209597798661	0.0002941132019248164	7.866874296184715e-05	0.0054602305407297535	0.00242881721320515	0.0008214453195250826	0.0030347592772031005	0.0015838188201996672	0.00014982243799664728	0.0034359917736401257	0.0023118336662082584	0.0005268972626527101	0.004134440758098208	0.0014749409036721771	0.00036852476256044096	0.004313965172501071
BP10MB[4]	4.8126749119248305e-09	0.0	0.006926132498192601	0.00859799448200647	0.019502821285277604	0.0013152464886604775	0.001146694347448829	0.015361313805915416	0.0004226871062803639	0.015203504440614779	4.8593812971375885e-06	0.0005486471636694678	0.004853636105797747	0.002405295035834101	0.002602272732814661	0.0004795173174352385	0.0013607425838272037	8.407790785948902e-47	0.0021170268213333543	0.005748802619233687	0.0002489858332910444	0.0021954207186725312	0.0014345763370147324	0.0006761919379687242	0.0006554449913551252
BP10MB[5]	2.2634522336417717e-08	0.0	7.17698772702983e-25	0.00399031955661485	0.009767897399142385	0.002117369182960829	0.00017933249870111468	0.0036498084588674827	0.0003440659653028888	0.0006218320155039692	0.0011871739030539174	7.878565586594277e-08	0.002376006985509136	0.0004161756254779903	0.00017514363905446527	0.0016393980099304172	0.00011015347090960859	0.001538459075991766	0.0011965146904452276	0.0008298190512716119	0.00021144165376853154	0.0008014480027662666	0.00020706257171696052	0.0006031849537500556	0.0012797515654742453
BP10MB[>5]	2.423644683613446e-08	0.0	2.802596928649634e-47	0.03070550532080233	0.0029001256740593816	0.008788284654982874	7.324193720705807e-06	0.0014487485793415545	0.0007511147531251794	0.0005496488055323212	0.016193707867059856	0.00011041536173564737	0.005492978056419418	0.0013519310811534525	0.010892974229645915	0.002506466646533738	0.0003286265837959945	0.0005577229584547894	4.367244153399952e-05	9.177859174087643e-05	0.0	3.1266670703189447e-07	0.000367826281581074	0.00019551255675651191	0.00017151882172356637
BPArm[0]	0.11087789461016655	0.04623487439006567	0.014830098731617909	0.00015274074940363404	0.0019920057998024277	6.658825419435744e-05	0.009520660100388342	0.0027933572216134197	0.001966167796927798	0.005245989934774115	0.0011332218871393707	0.001605666080767789	0.0004711164526126587	0.0008739029440216438	0.00025081030527871915	0.0013054871021921158	0.001109126929447939	0.00389833860565777	0.002303425046775441	0.0023532382869221164	0.0021191632217345104	0.0011349124072895633	0.0013116130466646885	0.0003748956395429559	0.0003087634191615507
BPArm[1]	0.0004507439113224621	0.016731228287997054	0.000552346222102642	2.6440416278639135e-09	1.0268578863819045e-05	4.877987165308184e-09	0.019424895337358236	0.0	1.6198890584462332e-08	1.4557261707182078e-09	1.7488433359202916e-05	1.551685173240003e-08	2.445098701286952e-10	5.445361457375952e-05	5.163637172955759e-08	8.621721953261385e-08	4.5742663782559786e-23	0.0	1.4557715530827409e-08	2.659547931216366e-08	6.398743710889221e-08	5.69207713851938e-09	7.071198777133247e-06	2.619074820131573e-08	1.9401485218395463e-08
BPArm[2]	0.0004286016004955684	0.03646063664111722	0.017143540695967657	2.8559301025543604e-06	7.179672676329573e-06	2.4055536229639075e-10	0.00029139534410624904	0.00026784718101424687	0.00016066893456230248	0.00029536186910448234	2.6900878866342737e-06	6.095424076058009e-05	1.2571231503661907e-05	9.41249478358941e-11	6.571618136490543e-06	4.952881739793469e-05	0.000726457618744547	6.415942993086788e-05	8.249620617633013e-06	7.006492321624086e-47	3.900814284918397e-09	0.0	7.917325269559682e-05	3.92460673836581e-06	2.369065654761471e-10
