Signatures	Stability	Total Mutations
SBS80A	0.983	754048
SBS80B	0.803	338458
SBS80C	0.839	334191
SBS80D	0.203	314712
SBS80E	0.591	302834
SBS80F	0.399	290937
SBS80G	0.954	235560
SBS80H	0.233	171565
SBS80I	0.955	171372
SBS80J	0.639	161236
SBS80K	0.567	157085
SBS80L	-0.18	103584
SBS80M	0.203	65142
SBS80N	0.403	64086
