Signatures	Stability	Total Mutations
SBS80A	0.983	740926
SBS80B	0.321	333115
SBS80C	0.706	313111
SBS80D	0.689	298228
SBS80E	0.728	292311
SBS80F	0.221	252608
SBS80G	0.904	216751
SBS80H	0.941	169680
SBS80I	0.648	155391
SBS80J	0.538	152500
SBS80K	0.065	128590
SBS80L	0.256	128025
SBS80M	-0.167	120336
SBS80N	0.607	57025
SBS80O	0.026	53363
SBS80P	0.274	52850
