NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	206.959	18.242	41.053	10.681	0.076	0.991	100000.0
2	213.772	18.898	42.432	11.052	0.075	0.99	110000.0
3	213.461	18.88	42.46	11.052	0.075	0.99	90000.0
4	213.338	18.816	42.447	11.005	0.075	0.99	100000.0
5	214.044	18.977	42.661	11.135	0.075	0.99	100000.0
6	210.1	18.595	41.706	10.855	0.074	0.991	80000.0
7	207.8	18.494	41.518	10.842	0.074	0.991	60000.0
8	211.562	18.78	42.416	11.064	0.075	0.991	80000.0
9	211.985	18.827	42.288	11.026	0.076	0.991	50000.0
10	213.266	18.821	42.392	11.035	0.075	0.99	90000.0
11	204.621	18.012	40.844	10.61	0.076	0.991	140000.0
12	205.516	18.183	40.722	10.591	0.076	0.991	60000.0
13	207.212	18.504	41.961	10.955	0.075	0.991	70000.0
14	213.824	18.895	43.277	11.222	0.075	0.99	50000.0
15	210.943	18.558	41.5	10.765	0.075	0.991	60000.0
16	209.982	18.311	41.934	10.819	0.075	0.991	70000.0
17	212.186	18.856	42.704	11.109	0.075	0.99	90000.0
18	212.954	18.904	42.374	11.052	0.075	0.99	100000.0
19	207.023	18.162	41.366	10.711	0.075	0.991	90000.0
20	207.471	18.209	41.112	10.688	0.075	0.991	90000.0
21	211.15	18.759	42.645	11.111	0.075	0.991	110000.0
22	210.904	18.553	42.037	10.904	0.076	0.991	70000.0
23	213.422	18.895	42.538	11.061	0.074	0.991	90000.0
24	205.252	18.152	40.586	10.574	0.076	0.991	80000.0
25	205.74	18.066	40.856	10.623	0.075	0.991	80000.0
26	209.792	18.524	41.501	10.805	0.076	0.991	70000.0
27	209.304	18.598	41.567	10.838	0.075	0.991	80000.0
28	201.289	17.613	40.282	10.432	0.077	0.991	130000.0
29	209.977	18.65	41.768	10.904	0.074	0.991	90000.0
30	205.579	18.013	40.917	10.593	0.075	0.991	60000.0
31	208.288	18.287	41.728	10.784	0.075	0.991	70000.0
32	205.771	17.98	40.96	10.611	0.075	0.991	110000.0
33	205.92	18.22	40.609	10.589	0.076	0.991	110000.0
34	211.074	18.714	42.002	10.942	0.075	0.991	60000.0
