Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
39520be3-a2af-4189-acf4-9d239363333a	190	29	144	53	34	4	3	72	39	62	0	72	35	10	5	20	7	1	6	6	0	0	37
39a5d94d-e8c8-4057-be96-362ffbafb94d	415	14	3	0	2	2	9	11	0	0	0	0	23	0	0	1	0	0	3	0	0	0	0
39aee9fc-fa27-4b71-b9e8-43ff34bd3930	261	53	98	40	40	2	0	63	20	0	0	12	35	0	5	1	1	7	5	2	0	8	0
39c476fd-273b-4136-874c-53352f1be008	344	22	37	19	5	4	15	35	32	58	1	6	17	0	0	8	0	3	2	0	0	14	0
39c55051-e1bc-4081-962a-17205645de45	401	19	1	5	39	0	6	14	0	10	0	0	20	10	10	0	0	0	2	11	6	0	0
39c6c3b3-4683-4d11-984c-ed589188da65	210	61	90	95	217	10	38	168	36	0	0	61	44	28	0	6	6	0	111	0	18	4	20
39d38c06-3779-4ca4-b103-1d096f93dae8	240	16	136	81	82	0	0	84	0	0	0	8	33	1	0	33	0	2	1	0	0	0	13
39e32615-0160-4f13-b330-50748f5d87ed	220	76	129	64	1	0	0	60	0	0	0	4	33	0	4	0	3	0	0	0	11	0	0
3a18aa52-b6e2-4d03-ad05-ef99d653f0e0	299	69	63	0	42	5	4	4	3	24	18	9	41	0	0	0	1	3	5	0	7	0	0
3a49a936-c623-11e3-bf01-24c6515278c0	274	71	90	0	41	7	3	14	0	9	0	0	26	7	0	13	4	1	1	6	1	0	0
3a551616-4840-4111-a8c5-b4aa773d82c2	44	181	0	134	133	167	70	71	292	240	116	154	43	92	20	51	23	25	52	16	17	9	99
3a5eaed6-fcfd-437a-b61c-fd3725c64717	14	159	210	98	161	228	73	3	0	61	0	41	0	25	5	88	37	16	0	5	63	0	0
3a6bce45-0431-49d8-82df-b1d9a738e5a6	89	236	0	183	233	292	65	19	35	73	14	38	25	113	63	21	23	76	27	9	12	3	29
3a81f733-b3a3-4578-b925-a663612bc92c	270	7	132	30	0	2	9	24	11	3	0	0	26	0	4	7	0	0	5	0	1	0	0
3ace181a-23bd-424e-a87e-e0c01a2a2cb8	428	0	0	0	0	1	10	6	0	0	0	0	19	0	0	2	1	0	4	0	0	0	0
3ad44032-01fb-4f84-b880-f01bb13a4359	359	27	44	0	0	1	7	36	6	0	0	0	1	0	6	1	1	0	5	3	1	2	4
3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1	388	0	31	0	0	2	8	3	0	34	0	0	14	7	1	3	0	0	4	2	2	0	0
3afae3fb-2d87-4724-a589-d31cce1f4c28	426	0	0	0	0	1	10	4	0	0	0	0	22	0	0	2	0	1	3	0	0	0	0
3afb3f57-545a-4ed5-9461-2fcb28d89399	302	20	94	28	5	0	5	22	0	20	0	1	25	0	2	0	5	0	1	4	1	1	0
3b02a7a7-e5bc-4e77-b691-521603630b00	248	8	105	60	128	94	101	61	5	0	91	0	20	0	0	2	6	119	10	0	0	0	0
3b20d548-2a7d-4031-85a1-425ca7201d7a	0	125	0	394	259	409	38	114	147	227	289	229	93	107	88	19	42	36	29	9	30	45	15
3b399659-8302-428a-9c97-1e7b455c9c2f	305	43	70	24	15	70	28	0	0	21	0	2	0	23	3	16	1	22	19	0	0	1	0
3b41cb48-c623-11e3-bf01-24c6515278c0	46	101	253	60	22	25	10	64	23	74	0	8	25	0	0	28	7	5	4	6	18	0	0
3b4ff158-c6d8-4a26-9568-0634ddb4a609	418	0	0	1	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
3b526846-72d6-4e10-b7cd-8cdb45a92a1c	8	133	243	126	24	10	1	100	16	74	0	54	45	5	19	1	4	7	32	0	0	0	3
3b55c58d-f95a-4a1d-9aa1-8d2c026656a9	233	55	136	39	39	0	0	58	4	0	0	5	30	0	1	0	0	2	1	1	2	1	0
3b590d75-ccfb-4da8-a2e9-10fb07e02cea	6	152	157	95	175	161	70	89	133	190	32	81	37	60	18	72	15	9	6	56	15	34	0
3b7810f7-f8ff-4d62-b766-3ba06170194c	377	6	37	5	35	0	6	28	3	3	0	9	26	0	18	2	0	1	1	4	0	0	0
3b8ab548-6669-4142-9612-cafded0d7a23	164	95	147	96	38	0	0	101	0	0	0	16	37	0	13	2	1	0	2	2	12	0	12
3bacc189-01b8-46cc-a442-f393c0f428c6	149	116	141	48	93	7	7	70	27	18	0	7	41	15	0	34	6	1	7	2	5	2	7
3baecfba-6977-4374-8bc9-22240abad9b5	392	0	19	8	0	1	7	0	0	7	0	0	28	0	0	1	0	0	2	2	0	0	0
3bb25b72-ceb1-4169-891e-339f22cb0f03	423	6	0	0	0	0	7	32	0	0	4	0	0	0	3	3	1	2	3	2	3	2	3
3bb4c27b-4d0d-4d13-b910-41a9ebf95880	63	151	145	101	49	31	8	78	68	141	0	89	49	8	45	8	1	5	7	8	0	20	0
3bfbc33d-804b-4bb3-97ac-97563d77b13d	127	113	177	20	152	14	16	69	0	19	24	0	45	0	14	7	6	13	3	0	8	0	1
3c019b2f-52ec-40a8-99b5-98c1423ce627	299	31	99	0	47	5	13	50	13	19	0	24	22	0	2	1	0	3	7	3	1	8	2
3c2b1509-1eb9-4b79-9569-57810f291499	52	188	166	66	163	15	0	78	0	73	0	37	46	23	0	53	14	5	4	0	0	10	6
3c30b10e-c623-11e3-bf01-24c6515278c0	246	42	127	27	18	1	3	15	13	22	2	4	35	12	1	2	1	0	8	1	0	1	3
3c78970e-c622-11e3-bf01-24c6515278c0	365	4	42	0	1	9	8	1	0	24	0	0	0	32	0	5	3	6	4	2	2	1	4
3c86ba21-7b11-4ec7-9d20-a2325197c676	169	39	171	23	63	125	108	14	0	69	14	47	28	3	13	1	9	4	2	0	2	48	33
3c92c0e9-68e0-4354-8ed1-b6506878145d	260	6	145	46	18	0	5	49	0	0	0	0	27	0	0	0	0	1	5	1	14	0	0
3c963890-6e79-4b16-a4aa-bac04938b4d7	136	40	0	95	594	138	1008	204	215	137	0	252	133	96	0	135	5	20	24	0	705	0	0
3d400522-c623-11e3-bf01-24c6515278c0	175	96	154	3	69	0	0	43	16	18	7	0	31	2	0	3	3	4	13	5	1	0	0
3d477ac1-3bdf-4410-9594-1a3a1412c6ae	330	34	59	7	15	0	44	32	0	10	0	9	21	0	2	0	20	1	2	2	0	0	6
3da169e8-844a-4eee-b794-a2eb81db779a	140	52	203	73	1	45	21	84	4	0	34	40	32	29	0	3	0	3	6	39	1	6	20
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	16	168	0	342	432	315	384	81	168	135	34	62	76	108	0	66	68	9	37	15	0	20	182
3db6e6cc-1a06-49b9-834e-b6611cde4c4b	315	0	0	0	52	118	844	20	49	63	27	134	90	0	0	35	76	0	15	37	258	0	0
3de261ea-6478-4f96-8ca1-30be130e945f	414	10	0	15	0	1	7	11	0	0	0	0	26	0	0	1	0	0	2	0	0	3	0
3e012b50-06d1-4120-971b-5e54139b00ee	177	89	105	81	127	0	86	33	12	52	4	0	66	11	16	0	1	2	0	0	0	0	92
3e1180a5-149c-4e6c-9a29-696e3ba567e3	416	0	0	0	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
3e2a85d0-c622-11e3-bf01-24c6515278c0	280	47	99	0	13	3	10	22	3	17	0	3	25	3	0	1	3	3	3	2	1	0	4
3e4d0e50-8cf4-4eb0-a00a-ccf0484ecc2f	0	134	206	173	0	94	58	27	78	51	38	63	52	105	9	17	23	30	11	0	41	0	7
3e604a1c-b95f-44ff-9723-e2fac845da3b	142	188	111	22	30	33	13	47	15	47	0	35	34	1	2	14	1	9	4	5	0	1	11
3e68233a-c623-11e3-bf01-24c6515278c0	181	95	95	82	41	12	0	15	34	50	45	20	51	41	2	0	4	20	38	4	0	2	0
3e6a17f9-c249-41b6-ba49-55aaa39d21c5	102	61	84	151	125	189	348	74	173	57	154	27	23	72	47	27	48	72	22	29	0	21	20
3e7a30e6-2202-40bd-bfc1-0383604050da	417	8	0	4	24	2	9	25	0	0	0	0	25	0	6	0	0	0	2	0	0	0	0
3e7ccab5-5b1d-4147-b907-77cab8f0837e	242	113	85	14	21	1	0	27	3	9	3	5	34	0	1	0	3	0	2	3	5	0	0
3e86e68b-d083-4450-b056-4cd0f8d4a084	357	27	33	45	0	1	5	28	12	0	4	0	31	13	2	0	0	0	6	0	0	0	0
3e8a2c90-e747-4a22-bc9e-0b062479fec2	415	10	2	2	3	2	9	9	0	2	0	0	24	0	0	1	0	0	3	1	0	0	0
3e94aa64-7dd3-4d63-a5de-b4050d3dfafa	362	17	36	6	3	2	6	8	1	18	0	2	24	0	5	0	0	0	4	0	2	0	0
3ed783cf-2248-44a1-a2a2-d6b6519b91ef	0	53	326	100	3	32	5	53	44	77	0	7	37	14	2	13	3	5	29	6	1	0	0
3ee54a3c-69ba-479a-b1fe-79917e1b6dd5	373	12	40	17	0	0	6	21	0	0	0	9	27	0	0	0	0	0	1	0	0	7	0
3f039593-91d1-43cb-a06b-41e92f7e8d20	426	0	0	0	0	1	10	2	0	0	0	0	24	0	0	2	0	0	3	0	0	0	0
3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c	191	44	171	34	34	0	0	54	0	12	0	18	31	0	0	28	1	0	0	5	0	1	0
3f3aff50-d71b-44af-85d4-f81e813ea420	378	5	40	2	0	4	6	0	0	2	0	0	0	45	1	2	1	6	7	1	1	3	4
3f72f750-5666-44e7-acaf-a912d89475be	389	0	34	6	0	3	11	10	0	0	0	0	23	1	0	2	0	0	4	0	0	0	0
3f98d326-5676-4257-9af8-0a5f5d3c2527	0	186	116	84	322	249	337	6	88	29	0	100	60	122	0	10	13	37	6	11	0	61	275
3f99ae0e-c623-11e3-bf01-24c6515278c0	246	46	126	20	11	1	3	33	0	17	0	9	24	0	2	1	4	1	5	1	0	5	0
3faeb03e-c622-11e3-bf01-24c6515278c0	0	278	104	92	420	259	0	11	0	0	0	58	0	228	0	143	11	0	0	0	181	7	0
3fb8f017-576f-4901-b8bf-3a58e5d43de3	283	27	76	62	18	8	9	41	7	19	0	10	23	0	7	6	0	4	8	0	0	0	31
3fba4880-cb7b-4ac5-ab5f-728614faa1ea	129	61	238	19	9	129	4	5	0	11	4	9	0	0	0	1	8	6	1	7	1	7	33
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5	390	30	3	0	57	2	8	26	2	12	0	0	25	1	9	6	6	0	2	6	4	0	0
4019c219-c51e-479f-8a9d-cfa6816ed696	315	26	78	0	81	51	18	26	0	0	32	0	25	0	0	1	0	4	54	0	0	0	0
40378b7a-a65d-4510-aaba-a34c4058fac7	131	68	204	44	22	62	0	9	5	60	19	11	15	45	0	9	2	3	14	3	16	4	25
408ed640-75f6-4346-bdd0-3b93c51adae5	333	12	81	16	0	0	6	23	0	0	0	0	24	0	2	1	0	0	7	0	1	0	0
40b1e928-c623-11e3-bf01-24c6515278c0	231	75	124	0	11	10	7	16	2	32	0	8	25	0	2	2	5	4	3	6	3	1	0
41027c0b-85af-4c78-bba0-0da63cd75fa9	71	199	122	152	176	5	3	250	91	0	0	45	58	0	0	13	36	0	0	3	20	8	0
41840dc1-5ea2-4f01-a0d4-8b65add641c8	72	206	142	8	33	7	0	7	0	119	0	71	3	65	7	0	3	7	0	12	3	13	6
418a3dec-96ff-4719-becb-e1a8260cce2f	94	125	170	41	67	58	65	10	28	124	17	14	23	19	15	10	3	7	4	57	0	6	8
418e916b-7a4e-4fab-8616-15dcec4d79f8	0	137	0	269	983	863	68	10	250	0	253	101	125	199	111	16	143	62	68	50	78	32	0
41a7b031-d928-4a1f-891b-82fb3f6d548f	0	181	139	60	854	586	157	58	51	36	0	60	46	6	0	112	8	43	76	175	3	86	40
41c565a9-d44a-447f-85c0-98f23bfee1b3	228	78	111	46	35	0	0	91	0	0	0	59	39	0	0	0	0	11	0	4	6	19	0
41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f	239	56	116	74	58	0	2	86	2	11	0	16	25	0	39	0	1	1	0	3	0	1	10
41dba8d1-8aad-474c-a82b-20b28ab818bd	171	79	183	18	24	0	4	49	8	0	0	5	28	0	1	6	4	0	8	0	4	1	0
41de507a-c623-11e3-bf01-24c6515278c0	114	162	175	0	75	14	10	42	3	23	0	0	28	19	0	13	10	6	5	1	3	6	0
41f140b8-72b9-4ae3-8b25-6144d9f94d0f	238	0	94	45	173	50	140	155	62	0	46	35	16	11	0	2	77	47	102	0	0	0	0
42465bbd-289b-4e96-98fe-76809c5e1520	0	292	11	91	128	382	168	0	254	109	82	105	44	93	70	57	57	33	3	17	0	21	58
4255582e-c622-11e3-bf01-24c6515278c0	125	83	210	54	94	0	4	97	6	1	1	0	29	0	1	3	2	3	5	0	4	0	45
42629ae0-9410-4fac-8df1-2c276467deb5	90	223	10	106	198	154	131	80	172	136	5	104	43	92	0	50	18	34	19	19	74	9	0
4283773c-c04b-4f33-a398-f3566f6d293a	0	224	192	123	25	256	23	16	2	12	49	34	3	14	27	56	12	0	0	31	0	25	11
428c100f-d7d0-4860-a8fc-2bae6a4bba95	124	114	165	78	48	81	3	39	19	5	0	59	19	128	0	18	2	20	6	11	32	0	2
429aad6f-816d-4739-baa3-b0ebf2fcd501	0	86	295	108	29	28	11	112	19	71	0	70	29	0	31	6	7	26	4	7	0	4	0
42a548f0-d86a-4273-8bda-be0fe6a53b20	36	150	205	92	101	0	0	154	79	0	0	51	50	0	5	13	6	11	0	17	5	18	0
42af8f74-fd4b-486d-bc11-db53cc471d62	0	156	217	116	29	0	0	111	18	118	0	46	27	0	25	11	9	6	0	0	0	12	0
42d20028-0ddc-4dac-9f05-d674f8915f21	287	60	89	0	37	0	4	41	20	0	0	20	30	0	5	9	5	1	0	3	0	1	0
42de1441-6f3c-4b4d-b8b8-ad91e4b1dbe2	285	64	83	5	18	0	1	25	0	0	0	15	34	0	0	0	0	0	1	5	3	0	0
42e92d78-c623-11e3-bf01-24c6515278c0	164	86	176	0	4	13	3	33	17	52	0	22	22	0	2	9	4	9	4	4	6	1	0
42f00950-09c9-461a-8423-d5b04a96af10	112	140	105	0	249	104	176	40	103	99	67	3	44	42	0	0	10	6	32	52	146	4	0
42f88b95-fa12-47c7-93f1-cf72f207291c	422	5	0	0	0	0	7	3	1	13	5	0	17	0	0	1	0	0	4	6	2	0	0
43206cb7-787d-4f68-8019-55e8585c4b4d	373	22	28	1	8	1	9	18	9	14	0	0	21	0	0	5	8	0	2	1	0	1	1
436af904-65b2-4196-ad8c-a4e98081ee41	366	14	52	0	0	39	2	0	0	0	2	0	0	47	3	1	5	7	2	0	0	1	7
43aa4123-0fe2-4071-8a81-cbdd0410b917	126	121	139	108	24	130	0	25	8	64	0	53	13	64	6	13	67	2	4	0	0	0	19
43b675e0-22e0-42d6-a060-afc93e22ac95	26	209	187	29	59	0	0	99	200	0	0	42	63	0	10	20	0	4	0	17	8	5	0
43be43cb-a367-4a74-94e4-973acafcf576	176	52	180	17	4	9	64	32	6	25	0	15	25	11	1	0	7	1	8	2	0	21	14
43bf37e0-3dbc-4360-818c-fc1356d77495	414	3	0	0	0	1	9	0	0	0	0	0	24	0	0	2	0	0	3	0	0	0	0
43d630aa-3890-401c-bf56-e3a9f325734f	393	6	17	11	2	2	7	9	2	0	0	0	27	0	0	1	0	0	2	0	0	0	1
43dadc68-c623-11e3-bf01-24c6515278c0	90	122	180	50	237	0	0	109	92	0	3	0	67	43	0	0	6	23	46	0	2	0	7
43f7a2e0-fec9-4e43-872d-18c6c946fa17	0	191	30	361	0	280	19	40	69	276	44	174	68	52	29	38	74	25	22	0	15	13	0
44083f54-0953-48e3-a704-11ad0988ad2e	108	151	125	112	163	0	0	288	0	0	0	168	53	0	5	26	7	0	0	28	13	0	9
441d2f21-b448-4fc8-8c54-9b85aca56237	188	47	136	56	85	60	52	39	23	32	0	13	42	0	0	2	0	4	13	8	12	0	56
44406493-37f4-48c7-961b-8714be50773a	420	0	0	0	0	0	9	0	0	31	0	0	3	4	1	3	0	0	4	3	2	0	3
446437de-c622-11e3-bf01-24c6515278c0	270	18	117	35	29	14	13	50	25	23	0	0	22	8	0	1	20	3	4	0	0	4	7
448af8b4-e071-48b0-a65b-b4ad17afdc0c	207	55	135	65	8	1	5	65	16	34	0	14	19	9	15	1	5	6	2	0	3	0	10
448fe471-3f4e-4dc8-a4e0-6f147dc93abe	0	139	201	133	232	108	83	25	39	154	0	63	58	101	18	2	13	28	38	21	0	13	3
44e4f08a-c623-11e3-bf01-24c6515278c0	121	204	115	5	140	14	6	23	42	2	18	0	54	73	0	3	48	3	0	6	0	0	1
44eebc04-c027-45ae-beca-c4012b494f29	0	236	0	246	810	165	0	74	0	240	0	169	61	307	92	66	44	39	83	8	24	77	0
4508ce0a-5a2e-4502-98e9-2fd76c4eebef	398	8	11	7	0	1	7	8	0	0	0	0	24	0	0	1	0	0	7	0	0	0	0
450e8eba-a3a9-4dcb-b423-e33dfcd5c34e	80	91	153	99	434	130	2	49	0	118	85	40	41	146	18	22	17	5	0	77	42	19	0
45348eff-4b09-4776-825e-b18de9dba937	387	9	25	10	9	0	7	30	0	0	0	12	25	0	1	2	1	0	1	1	1	0	5
45614404-2149-4468-848c-0796e3757d62	348	12	56	0	0	1	8	8	0	9	0	0	23	0	1	1	0	3	7	2	0	0	0
45a7949d-e63f-4956-866c-df51257032de	116	101	123	174	256	164	7	39	1	86	0	60	38	109	33	35	1	5	64	0	0	7	9
45aedf22-c622-11e3-bf01-24c6515278c0	278	99	46	2	44	0	4	31	8	35	0	3	24	0	5	9	5	0	6	7	0	0	0
45d0ccb2-641f-4348-b3a8-61f4113cd85b	123	175	136	30	9	0	3	48	145	0	0	18	51	0	17	0	2	2	3	9	5	2	0
45e16b70-c3ec-493e-86d1-505ffdf5056c	26	112	0	395	308	359	115	87	126	269	95	354	98	160	164	53	17	18	20	28	22	25	75
460f7427-ebcf-404b-9e9e-e0278d0bca95	23	114	0	462	378	404	219	26	97	235	63	40	73	127	39	114	57	61	39	39	37	15	8
461df2ae-fcf1-4b93-be0a-c14954fe7c42	211	96	99	7	44	0	2	34	16	78	21	18	22	4	5	12	0	2	5	1	1	0	19
4624fd20-e2ad-4826-b606-a694b04e1076	322	22	80	1	6	2	8	14	0	12	0	0	24	0	2	1	1	3	5	6	0	0	0
463bf060-8ba6-4a73-8173-172025f7b527	303	85	48	8	18	0	1	17	0	23	1	8	30	0	0	0	3	2	1	5	0	0	0
4652ae03-b096-42d0-bdfa-3f6281d4f023	77	81	225	41	79	200	82	13	26	63	0	38	6	21	47	17	3	8	12	0	0	10	35
46693a2b-5105-4770-a9e1-031dfedeb694	14	220	185	94	173	114	0	16	0	68	0	2	7	142	1	12	19	9	8	23	17	8	0
4679f37a-4f09-449b-a1d8-1f02847996da	0	340	30	186	14	3	0	126	0	206	0	152	70	2	9	9	12	12	0	3	4	9	0
467ef778-f481-44f3-9768-b9900252d2ba	0	209	163	166	25	29	1	102	44	90	0	51	51	21	0	7	12	8	9	2	20	18	9
468083cb-95c3-47c1-9d96-79bcf7bf3f26	251	118	79	0	35	10	0	30	0	23	0	10	27	0	1	3	8	0	3	7	4	0	0
469eddf2-6e02-46bf-820f-6296a2b776e2	341	2	69	12	0	3	8	14	4	0	0	0	23	0	0	1	0	1	5	0	0	1	0
46d35b82-e1b7-4d35-be5e-3a70fd47e421	285	59	69	17	34	2	0	21	0	44	9	4	23	0	7	2	4	1	0	4	0	0	2
46e166fe-3b20-49ad-98db-42c854c61c93	172	156	120	20	58	0	0	79	6	0	0	0	25	0	9	1	3	1	4	3	0	4	4
46e503ae-461d-443a-869b-f261c5570de1	413	0	0	4	0	1	7	0	0	3	0	0	27	0	0	1	0	0	3	2	0	0	0
46f19b5c-3eba-4b23-a1ab-9748090ca4e5	0	175	231	100	14	0	0	119	0	56	0	54	40	0	2	8	10	9	3	3	0	4	0
47050918-c623-11e3-bf01-24c6515278c0	336	46	50	0	1	1	8	9	21	0	0	0	27	8	0	2	1	3	1	2	2	0	0
4729fe4b-c1ac-489b-a67e-91e5c5e3ff8c	421	2	1	4	0	1	9	8	0	3	0	0	23	0	0	3	1	0	3	0	0	1	0
47312f61-5ef4-4f25-9320-8fbb4758790e	0	57	0	242	1813	469	28	241	118	71	317	149	181	401	170	36	133	14	31	22	327	16	94
473fe833-fcc6-485e-93d2-95e662c3ef53	416	0	0	0	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
475bca00-9089-4f50-8638-4e5e8aca6dcd	346	41	26	58	16	0	3	48	8	0	0	0	30	0	2	0	1	1	0	0	2	0	0
47874ff4-0b1c-4a31-9192-2a10e93ce9a1	32	249	0	184	255	275	224	130	35	173	24	153	63	22	0	30	38	3	20	44	0	68	137
47b5d831-5287-4f62-b17a-6e5eff2e4184	132	18	218	58	77	76	36	102	32	0	51	0	17	12	0	1	23	17	4	0	49	22	0
47d77750-c622-11e3-bf01-24c6515278c0	75	285	57	92	126	1	0	121	40	59	9	46	46	34	0	33	23	13	5	13	7	1	0
47e5ff56-9534-4fcf-a593-33027e877f93	302	12	109	15	0	0	7	31	0	11	0	6	17	0	1	1	3	6	5	0	0	1	0
4808f9e1-452d-45eb-9b87-2f87c67d3452	322	76	42	22	32	0	1	44	2	0	0	4	31	0	2	0	0	0	0	1	2	0	1
4838b5a9-968c-4178-bffb-3fafe1f6dc09	159	102	133	45	47	87	7	13	27	45	25	23	25	41	4	6	9	6	0	0	3	43	0
483bb781-0179-42e1-bf9c-487b240769b8	410	0	0	0	0	2	7	0	0	20	0	0	16	0	1	1	0	0	5	6	1	0	0
484a41c8-fcaf-488d-97dc-bfe6a4b88a95	0	0	0	1088	1886	414	45	12	0	352	6	0	317	377	46	77	99	85	51	125	63	41	0
4853fd17-7214-4f0c-984b-1be0346ca4ab	382	5	25	6	0	1	8	7	0	7	0	0	25	0	0	1	1	1	2	2	0	0	1
48624a82-c623-11e3-bf01-24c6515278c0	237	38	146	9	8	11	4	14	5	7	11	0	38	0	3	4	5	3	3	0	0	0	0
48a0da38-8147-40fe-b683-3f070413a792	21	239	95	70	0	65	33	0	248	0	114	107	76	273	22	8	21	21	12	25	14	12	0
48b15122-b1e9-4c30-8fc5-70a07686779a	329	17	67	6	7	0	7	7	0	8	0	0	11	22	0	5	1	1	5	4	2	0	4
48c33a30-557b-4ecf-8066-5b4b068b5e3a	303	51	73	20	29	1	4	48	12	0	0	12	33	0	9	0	9	0	1	0	1	0	0
48f68f73-3ac0-44ac-ba12-b8889fcb7f38	77	146	171	92	0	104	11	30	7	97	0	49	24	18	6	21	24	8	17	2	14	0	0
48fadd0f-6561-4294-bff4-d5e4f7dfe79f	405	7	0	9	1	2	9	4	0	7	0	0	28	0	0	1	0	0	3	3	2	0	0
4904d56f-0fe7-4482-8f6d-9e54d261f399	261	112	68	6	46	3	3	51	3	7	0	13	31	2	3	0	7	4	1	1	0	0	18
492694a7-bb41-4128-a909-c424e7fc0c9e	423	0	0	0	0	5	8	3	0	11	0	0	16	2	0	3	1	3	7	0	0	0	0
492b4e58-12e2-47b2-bd47-28f8607072fa	283	42	97	8	19	0	0	17	0	6	6	0	30	0	2	0	0	1	2	2	3	1	0
493e7008-551c-4c0e-b567-a0f31868629e	0	268	17	164	288	223	105	21	138	162	86	65	61	114	11	18	19	21	47	40	12	32	77
494701ce-05d4-440b-a65e-d925902b9d42	400	0	8	11	4	1	8	4	0	8	0	0	27	0	1	1	0	0	2	2	1	0	0
49795e42-c623-11e3-bf01-24c6515278c0	234	82	114	13	18	18	7	28	2	2	16	2	28	14	0	0	11	3	1	23	0	6	0
498ecf81-921d-4df9-a6a4-a625f484e823	427	0	0	1	0	2	9	3	0	3	0	0	25	0	0	1	0	0	3	0	0	0	0
49900a43-d42e-4052-a8cb-1563b82ad0a0	404	16	4	3	0	1	8	3	0	7	0	0	26	0	0	1	0	0	3	2	2	0	0
49ad3c8d-88cd-43cd-a273-1623fe2aec0b	416	11	0	3	2	1	8	6	0	6	0	0	23	0	2	1	0	2	2	1	0	0	0
49b26ab5-2ca9-49b1-ae83-573fa41af2cd	406	12	0	1	1	1	7	4	0	0	0	2	27	0	0	1	1	0	2	2	0	0	0
49ce0836-adec-4f62-ac01-dbdfbb96d9fc	355	27	49	0	1	2	9	14	0	3	0	0	24	0	0	3	0	0	5	0	0	0	0
49dec0c2-8e75-4f44-a253-82b2ea605890	167	147	120	15	76	25	6	0	9	38	0	0	9	121	19	3	5	3	3	18	3	5	3
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	341	0	38	6	98	71	0	11	0	0	0	2	17	0	107	0	0	0	0	0	0	0	0
4a1ad661-f6ae-44e8-b50b-72ff658ff22b	330	43	29	32	11	28	75	17	7	10	4	0	15	0	0	0	1	0	2	61	0	0	1
4a35b01f-5e19-4673-abea-d87fd1d605d0	410	0	0	0	0	0	8	0	0	25	0	0	9	2	0	3	0	0	3	2	2	0	3
4a4309b0-2aca-4d6a-ac50-039b28406bba	315	42	73	7	41	2	3	42	15	0	0	12	30	0	0	15	3	3	3	1	2	0	1
4a4e0397-8702-46ef-aaa8-3980f03a40bf	416	0	0	0	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
4a698352-25e6-4137-bef8-b6520d5b1b95	362	0	68	0	2	33	37	0	0	17	0	0	0	16	18	1	1	0	3	2	0	2	2
4a703d3e-c623-11e3-bf01-24c6515278c0	208	88	129	30	9	17	9	24	17	0	21	12	38	25	0	0	2	13	3	3	4	1	4
4a88981e-e409-440f-9bf0-71ca1bab8b4e	302	14	87	22	5	0	5	33	1	20	0	6	22	0	0	15	4	0	1	0	3	0	3
4aa7eabc-0419-4897-b7af-5dcccfd6ac2f	19	201	0	453	518	229	0	73	0	179	0	98	79	232	17	18	24	83	12	68	73	15	0
4adc846a-42cb-4ebd-a954-e31eb29d7572	140	100	197	31	15	6	4	47	21	15	3	3	32	0	7	3	5	1	5	2	0	3	0
4b44b313-6f74-4233-bec4-7e41c91c77f1	186	106	137	59	61	0	0	97	2	0	0	0	32	0	13	3	1	4	0	0	5	0	0
4b5d9d8c-ff95-45f4-9287-2804e8a98ade	384	22	23	13	6	0	4	47	4	0	4	0	1	0	5	2	1	1	9	1	0	1	9
4b7a704b-e516-4275-be11-45cc935237e2	418	0	5	1	0	2	10	10	3	10	0	0	21	0	2	1	0	0	3	0	3	0	0
4b8943be-c623-11e3-bf01-24c6515278c0	76	78	170	27	113	242	143	26	83	58	109	54	54	6	0	39	0	63	24	135	0	1	0
4b8c6b0c-0d0c-4834-a2f3-691e0919b902	388	21	21	4	0	2	12	14	1	3	0	2	25	0	2	1	0	0	3	0	1	2	0
4b91ece6-c9b2-4889-b18c-c63eb58eb061	395	13	10	0	5	1	8	1	0	4	0	0	27	0	0	1	0	0	2	0	3	0	0
4bae2f08-da75-4991-acb8-5ba9912f9131	416	1	0	4	0	1	7	1	0	0	0	0	27	0	0	1	0	0	3	0	0	0	0
4c027164-12de-456f-b933-6bc91f70b46f	332	19	42	71	72	0	0	62	1	17	0	0	34	0	0	0	0	0	14	0	49	0	2
4c183106-c622-11e3-bf01-24c6515278c0	365	23	44	0	0	2	8	18	0	8	3	0	16	4	2	1	6	3	2	0	0	0	0
4c2ad4a0-5d57-4e27-9f35-058b2f205f50	0	221	146	215	46	58	29	201	3	78	0	166	58	20	5	16	8	6	3	14	9	33	9
4c3840df-9824-40db-879e-6d24adc8c155	124	69	195	75	13	54	14	0	25	26	0	19	28	77	11	0	6	0	16	0	1	0	27
