Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W
03ced0ce-186a-4349-8d98-572c2bc90382	0	164	139	157	157	291	52	0	102	149	102	43	32	116	110	36	20	10	8	0	21	2	0
03cff38d-7e29-4409-a508-749bddb1b3df	5	343	23	136	120	51	0	49	87	138	0	88	36	183	17	9	6	9	3	30	41	24	21
041e3b42-c623-11e3-bf01-24c6515278c0	162	74	172	13	68	51	0	43	25	7	34	6	27	11	0	21	34	3	11	1	4	0	0
04339769-517c-448d-a7ca-951f83608c60	268	24	105	36	45	0	57	47	0	5	0	27	33	0	0	0	0	4	0	0	43	3	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	18	0	0	691	787	342	174	244	190	192	55	158	172	221	46	127	69	25	35	14	32	196	8
046d7386-95c8-4501-9e55-c85bec272a7a	10	177	194	170	199	2	0	260	29	0	0	25	39	0	31	15	13	5	17	0	0	1	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	190	119	72	9	70	30	115	51	59	87	7	27	25	4	20	6	10	3	6	11	10	20	34
04aa6b77-8074-480c-872e-a1a47afa5314	52	198	180	0	62	43	0	27	0	82	26	46	14	69	5	19	24	4	1	7	12	6	6
04b570c2-3224-4e9b-81cc-089b4a7ff07a	406	13	12	3	0	1	8	10	2	0	0	2	24	0	0	1	0	0	3	0	1	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	181	12	229	5	0	21	5	12	0	19	0	0	0	50	5	4	2	1	9	5	0	2	6
04c09376-8756-41d9-bbca-f464170a8cfb	233	146	22	56	134	0	17	34	0	112	22	52	39	63	3	8	10	7	3	15	5	0	5
04db8bef-8777-48ac-bc2e-3c9acb103f48	355	0	53	0	0	6	9	0	0	29	0	0	15	7	0	0	0	1	3	6	4	1	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	242	54	90	118	5	14	3	91	8	0	12	17	22	0	0	35	2	0	2	0	0	14	19
051cb117-16fd-459e-81e5-002eca2b7eea	409	0	0	0	0	0	8	0	0	45	0	0	3	0	0	3	0	2	4	2	1	1	3
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	170	52	176	78	32	0	1	83	12	0	0	16	40	0	14	3	0	1	5	1	18	0	0
052665d1-ab75-4f40-be5a-b88154c8beed	16	263	78	70	343	239	247	46	0	83	0	42	21	78	20	9	31	30	23	70	43	0	108
05486349-24a4-4931-bf5f-c9fefe369af2	328	26	64	48	26	1	8	51	0	24	0	1	16	0	0	1	0	3	5	1	3	0	5
0554ffe5-31f7-43f5-8372-2b73c9cf3527	346	15	60	2	0	1	9	4	0	18	0	0	11	36	0	2	3	3	5	1	1	1	5
05616329-e7ba-4efd-87b1-d79cd0f7af3d	234	47	132	26	42	0	0	16	0	26	1	5	33	12	30	0	0	3	2	0	0	1	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	416	0	0	0	0	1	9	0	0	0	0	0	25	0	0	1	0	0	3	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	283	68	66	29	26	0	3	28	13	8	4	10	34	7	6	0	1	6	1	0	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	416	0	0	2	0	1	7	5	0	3	0	0	21	0	0	3	0	0	3	0	0	2	1
05da3161-1444-4188-914d-19762de3a443	425	0	0	0	0	2	11	5	0	0	0	0	23	0	0	2	0	0	3	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	413	0	0	4	0	1	7	0	0	3	0	0	27	0	0	1	0	0	3	2	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	355	0	62	6	0	1	11	11	1	12	0	0	21	0	0	0	0	1	7	1	1	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	366	11	39	0	0	1	8	5	0	9	0	0	23	0	0	1	0	0	7	2	0	0	0
062e96d4-c623-11e3-bf01-24c6515278c0	237	67	100	45	20	16	22	62	29	42	5	13	25	6	0	7	14	9	11	2	5	1	0
063cfacf-9933-4a2d-8921-0aeb76e12779	400	13	2	17	3	0	5	11	0	4	0	0	25	0	6	1	0	0	2	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	35	317	0	151	386	0	0	39	17	209	0	0	117	12	41	0	21	8	8	6	6	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	328	18	77	11	20	1	6	21	9	2	0	4	27	0	1	2	5	1	6	4	0	1	0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	150	96	128	89	47	69	42	55	36	62	7	40	42	9	0	9	6	5	13	36	0	26	0
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	259	56	91	52	24	23	0	45	39	30	0	8	25	4	0	4	12	3	6	3	1	0	0
072f4146-c623-11e3-bf01-24c6515278c0	382	6	40	0	0	5	7	7	3	0	4	0	26	0	0	3	0	0	4	2	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	296	11	105	25	11	2	4	25	3	0	1	2	30	2	0	4	0	4	1	2	0	0	3
07531318-87e8-4db8-aa61-9b93597d063b	294	43	94	5	19	2	8	31	23	0	0	2	29	0	0	4	1	0	1	11	4	3	0
