NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	240.287	21.068	47.834	12.376	0.091	0.988	60000.0
2	237.94	20.785	47.109	12.167	0.09	0.988	40000.0
3	238.823	20.899	47.317	12.233	0.09	0.988	50000.0
4	238.216	20.949	47.107	12.236	0.091	0.988	70000.0
5	241.936	21.173	48.098	12.443	0.091	0.987	50000.0
6	238.098	20.809	47.057	12.148	0.09	0.988	50000.0
7	236.724	20.69	46.884	12.101	0.09	0.988	50000.0
8	236.194	20.648	46.743	12.072	0.091	0.988	120000.0
9	241.158	21.029	47.679	12.317	0.091	0.988	40000.0
10	238.683	20.863	47.47	12.277	0.091	0.988	70000.0
11	235.633	20.536	46.588	12.052	0.092	0.988	50000.0
12	238.294	20.964	47.134	12.248	0.091	0.988	40000.0
13	238.028	20.875	47.016	12.163	0.091	0.988	70000.0
14	237.228	20.859	46.686	12.096	0.092	0.988	70000.0
15	236.664	20.647	46.805	12.072	0.09	0.988	50000.0
16	240.177	21.005	47.756	12.358	0.091	0.988	90000.0
17	238.975	21.025	47.143	12.275	0.091	0.988	50000.0
18	238.467	20.827	47.302	12.224	0.091	0.988	70000.0
19	236.737	20.698	46.787	12.064	0.091	0.988	90000.0
20	238.344	20.912	46.912	12.184	0.091	0.988	70000.0
21	235.033	20.446	46.234	11.917	0.092	0.988	70000.0
22	237.393	20.823	46.854	12.133	0.091	0.988	70000.0
23	240.775	21.11	47.646	12.333	0.091	0.988	60000.0
24	236.219	20.683	46.716	12.069	0.091	0.988	50000.0
25	239.658	21.033	47.376	12.313	0.091	0.988	70000.0
26	238.712	20.907	47.399	12.274	0.091	0.988	80000.0
27	238.609	20.858	47.186	12.185	0.09	0.988	60000.0
28	236.75	20.685	46.884	12.103	0.091	0.988	80000.0
29	232.898	20.304	46.026	11.919	0.092	0.988	70000.0
30	238.58	20.951	47.027	12.213	0.091	0.988	60000.0
31	239.439	21.06	47.26	12.267	0.091	0.988	90000.0
32	235.29	20.55	46.451	11.989	0.09	0.988	70000.0
33	238.97	20.925	47.42	12.269	0.091	0.988	70000.0
34	239.137	21.0	47.172	12.244	0.091	0.988	70000.0
35	237.729	20.841	47.026	12.188	0.09	0.988	90000.0
36	236.796	20.77	46.846	12.136	0.091	0.988	50000.0
37	239.123	21.029	47.216	12.263	0.091	0.988	40000.0
38	237.891	20.817	47.441	12.266	0.09	0.988	40000.0
39	236.284	20.533	46.408	11.953	0.092	0.988	50000.0
40	238.046	20.815	47.472	12.276	0.091	0.988	50000.0
41	238.446	20.938	47.189	12.25	0.091	0.988	70000.0
42	238.688	20.95	47.272	12.262	0.091	0.988	80000.0
43	240.839	21.013	47.698	12.324	0.091	0.988	40000.0
44	239.288	20.925	47.512	12.281	0.091	0.988	70000.0
45	239.608	20.936	47.578	12.291	0.091	0.988	100000.0
46	238.098	20.851	47.113	12.201	0.091	0.988	60000.0
47	240.667	21.095	47.717	12.351	0.091	0.988	70000.0
48	236.999	20.728	46.878	12.123	0.09	0.988	50000.0
49	238.584	20.838	47.355	12.24	0.091	0.988	50000.0
50	238.339	20.868	47.35	12.258	0.091	0.988	150000.0
51	239.573	20.819	47.116	12.155	0.092	0.988	60000.0
52	239.521	20.985	47.482	12.273	0.091	0.988	60000.0
53	237.468	20.759	47.139	12.191	0.09	0.988	40000.0
54	238.872	20.914	47.368	12.27	0.091	0.988	80000.0
55	239.297	20.912	47.459	12.258	0.091	0.988	50000.0
56	237.599	20.849	46.991	12.161	0.09	0.988	70000.0
57	238.02	20.87	47.214	12.243	0.091	0.988	80000.0
58	239.578	21.05	47.48	12.329	0.091	0.988	60000.0
59	236.363	20.649	46.828	12.074	0.091	0.988	80000.0
60	239.023	20.904	47.375	12.235	0.09	0.988	70000.0
61	239.164	20.958	47.295	12.266	0.091	0.988	70000.0
62	237.421	20.793	46.861	12.122	0.091	0.988	50000.0
63	239.425	20.968	47.245	12.228	0.091	0.988	70000.0
64	239.981	20.99	47.56	12.307	0.091	0.988	50000.0
65	239.463	20.968	47.45	12.277	0.091	0.988	80000.0
66	241.069	21.084	47.784	12.377	0.091	0.988	110000.0
67	240.345	21.096	47.525	12.338	0.091	0.988	50000.0
68	238.194	20.801	47.185	12.189	0.091	0.988	60000.0
69	234.993	20.59	46.596	12.026	0.09	0.988	50000.0
70	237.853	20.822	47.118	12.186	0.091	0.988	60000.0
71	239.653	20.95	47.737	12.341	0.091	0.988	70000.0
72	239.313	20.927	47.227	12.199	0.091	0.988	70000.0
73	238.243	20.899	47.161	12.234	0.091	0.988	120000.0
74	240.012	21.096	47.505	12.317	0.092	0.988	70000.0
75	236.486	20.759	46.616	12.073	0.091	0.988	70000.0
76	239.728	20.919	47.562	12.301	0.091	0.988	50000.0
77	239.284	20.956	47.553	12.306	0.091	0.988	50000.0
78	237.937	20.824	47.242	12.224	0.09	0.988	50000.0
79	238.257	20.825	47.36	12.257	0.09	0.988	90000.0
80	236.331	20.802	46.694	12.107	0.091	0.988	50000.0
81	238.974	20.938	47.291	12.23	0.091	0.988	40000.0
82	238.492	20.883	47.364	12.263	0.091	0.988	40000.0
83	238.656	20.871	47.23	12.203	0.09	0.988	50000.0
84	238.79	20.89	47.216	12.22	0.091	0.988	90000.0
85	240.055	21.098	47.376	12.303	0.092	0.988	60000.0
86	238.346	20.835	47.159	12.19	0.091	0.988	80000.0
87	236.96	20.804	46.76	12.12	0.091	0.988	50000.0
88	236.595	20.623	46.805	12.045	0.09	0.988	50000.0
89	241.071	21.11	47.731	12.36	0.091	0.988	100000.0
90	236.678	20.791	46.679	12.1	0.091	0.988	110000.0
