Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.986	580.361	21.712%	99.56	16.629%	0.05283	0.982
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	27.926	5.98%	6.143	1.926%	0.03355	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	97.902	14.856%	16.771	5.58%	0.05606	0.998
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	36.513	7.406%	5.847	1.855%	0.05404	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.994	199.118	23.207%	35.256	10.822%	0.1476	0.994
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	35.759	7.358%	7.47	2.33%	0.0567	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	58.588	11.224%	11.561	3.706%	0.06344	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	24.455	5.305%	5.249	1.64%	0.03396	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.996	177.444	21.508%	30.986	9.297%	0.11759	0.996
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	99.076	13.703%	16.47	5.389%	0.07227	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	40.65	8.631%	8.053	2.535%	0.04295	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	29.717	6.115%	5.135	1.584%	0.03382	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	51.641	9.799%	8.962	2.791%	0.07131	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	76.917	12.589%	16.211	5.179%	0.08027	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.985	255.369	33.382%	55.022	18.043%	0.16012	0.984
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.992	373.746	18.857%	62.252	13.305%	0.0547	0.99
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.983	501.994	20.726%	93.682	18.145%	0.0934	0.977
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	44.259	8.561%	7.41	2.314%	0.05347	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.992	218.025	22.362%	42.029	13.011%	0.13135	0.991
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.998	108.673	14.765%	17.302	5.526%	0.0767	0.998
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.99	335.102	16.655%	63.273	14.391%	0.06191	0.986
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	51.794	9.941%	8.47	2.652%	0.06191	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.997	126.752	18.862%	23.182	7.47%	0.09593	0.997
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.991	324.7	19.1%	55.061	13.515%	0.08186	0.989
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	26.92	5.839%	6.375	1.991%	0.03412	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.975	470.845	27.407%	90.889	22.863%	0.08578	0.968
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.964	347.41	24.958%	92.618	26.444%	0.11571	0.955
02706819-bcab-4c49-a569-a4a8c60db1c0	474	1.0	24.989	5.272%	5.382	1.649%	0.02844	1.0
02917220-6a7a-46a1-8656-907e96bef88e	533	1.0	58.96	11.062%	10.259	3.346%	0.05085	1.0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	1.0	30.399	6.552%	6.514	2.042%	0.04369	1.0
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.999	79.961	13.261%	14.635	4.68%	0.08394	0.999
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.996	168.493	23.273%	27.533	9.361%	0.1098	0.995
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.996	175.68	22.668%	29.303	9.608%	0.12649	0.995
030695f6-c623-11e3-bf01-24c6515278c0	883	0.994	183.922	20.829%	32.921	10.702%	0.10195	0.994
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	1.0	35.0	7.187%	6.826	2.098%	0.043	1.0
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	605	0.996	121.136	20.022%	27.267	8.715%	0.11264	0.996
0363fe2c-d765-450e-8b1a-d13a23d9af2a	476	1.0	35.759	7.512%	7.402	2.263%	0.06013	1.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	479	1.0	44.857	9.365%	9.117	2.869%	0.04924	1.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	518	1.0	45.745	8.831%	7.887	2.509%	0.05943	1.0
03b5268e-881e-49e7-824f-170c3fc8b11b	631	0.997	132.533	21.004%	24.277	7.987%	0.08412	0.997
03c3c692-8a86-4843-85ae-e045f0fa6f88	1705	0.985	323.993	19.003%	61.445	17.217%	0.0555	0.979
03c88506-d72e-4a44-a34e-a7f0564f1799	666	0.999	81.362	12.217%	13.306	4.276%	0.06131	0.999
03ced0ce-186a-4349-8d98-572c2bc90382	1711	0.992	282.935	16.536%	48.629	13.002%	0.05233	0.988
03cff38d-7e29-4409-a508-749bddb1b3df	1419	0.989	301.277	21.232%	51.211	14.875%	0.06141	0.986
041e3b42-c623-11e3-bf01-24c6515278c0	767	0.997	140.646	18.337%	27.35	9.007%	0.08326	0.996
04339769-517c-448d-a7ca-951f83608c60	697	0.997	133.157	19.104%	24.735	7.95%	0.11853	0.997
0448206f-3ade-4087-b1a9-4fb2d14e1367	3796	0.989	729.987	19.23%	133.527	14.903%	0.05954	0.987
046d7386-95c8-4501-9e55-c85bec272a7a	1187	0.992	228.937	19.287%	45.6	12.622%	0.08782	0.991
047f9e4d-86b5-4943-aef5-68199bf29e8c	985	0.994	197.723	20.073%	32.92	10.655%	0.09295	0.993
04aa6b77-8074-480c-872e-a1a47afa5314	883	0.996	162.894	18.448%	27.181	9.216%	0.09865	0.995
04b570c2-3224-4e9b-81cc-089b4a7ff07a	486	1.0	26.077	5.366%	4.526	1.396%	0.03268	1.0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	568	0.998	93.432	16.449%	18.407	5.999%	0.07423	0.998
