Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.997	263.345	9.852%	43.518	7.269%	0.02495	0.997
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	28.356	6.072%	6.538	2.049%	0.03169	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	74.007	11.23%	13.028	4.335%	0.04414	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	41.462	8.41%	7.001	2.221%	0.05178	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.997	122.005	14.22%	25.131	7.714%	0.0912	0.997
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	43.883	9.029%	11.408	3.558%	0.05696	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	39.307	7.53%	7.32	2.346%	0.04609	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	30.727	6.665%	8.547	2.67%	0.03616	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.998	125.987	15.271%	23.801	7.141%	0.07224	0.997
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	71.621	9.906%	11.943	3.908%	0.05272	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	36.617	7.774%	7.759	2.442%	0.03651	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	27.119	5.58%	4.921	1.518%	0.02976	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	48.712	9.243%	8.714	2.713%	0.06301	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	75.982	12.436%	15.314	4.892%	0.06953	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.992	154.268	20.166%	38.099	12.494%	0.11467	0.992
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.996	269.694	13.607%	44.427	9.495%	0.04759	0.995
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.99	316.872	13.083%	71.92	13.93%	0.06355	0.987
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	43.721	8.457%	7.164	2.237%	0.05234	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.995	170.909	17.529%	33.185	10.273%	0.09337	0.994
