Signatures	Stability	Total Mutations
SBS80A	0.926	650227
SBS80B	0.383	287389
SBS80C	0.494	279017
SBS80D	0.725	278508
SBS80E	0.67	244215
SBS80F	0.621	223245
SBS80G	-0.348	163054
SBS80H	0.572	151508
SBS80I	0.789	143160
SBS80J	0.783	141139
SBS80K	0.943	140006
SBS80L	0.546	121337
SBS80M	0.591	116420
SBS80N	-0.198	111025
SBS80O	0.346	110064
SBS80P	0.791	39631
SBS80Q	0.887	38152
SBS80R	0.166	37220
SBS80S	0.39	36117
SBS80T	0.516	34244
SBS80U	0.655	32224
SBS80V	0.228	29960
SBS80W	0.332	29945
SBS80X	0.635	27003
