MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G
BP10MB[0]	0.7012313103675842	0.0015780274669388314	0.4690132609009743	0.00968318072563346	0.031944912243634466	0.15671874947845935	0.02044479612261057
BP10MB[1]	0.0007030890791577349	0.009088887458492536	0.05933758974075318	0.024933971781283617	7.966586126713082e-06	0.0003524378186557442	0.0008438257871987976
BP10MB[2]	0.0	0.008940149962895824	0.04055134404450655	0.03158625490963459	0.006530445533948242	0.06979993522167206	0.0
BP10MB[3]	1.95107122630267e-08	0.007391638776134642	0.0014784160922688904	0.01704325610771775	0.0003965220408520054	0.002257990950747626	0.0005705076935555553
BP10MB[4]	6.662984552985308e-11	0.0056729317596182225	0.0	0.01051112134475261	0.005821528709493578	0.011539152897894383	3.929986789027719e-22
BP10MB[5]	1.979638891924651e-08	0.003316986826248467	0.0	0.004898760402575135	0.001272021017211955	0.0003834285506187744	0.0011156624095747247
BP10MB[>5]	5.40166816137555e-09	0.008005620362237096	0.0	0.001252749291455757	0.016026966711506246	4.172359108821411e-05	0.011794641511514783
BPArm[0]	0.0983455891907215	0.00040245734372257563	0.018271026322618126	0.0009133782171306848	0.0011416538049161319	0.006427750601433218	0.0009376824224455049
BPArm[1]	0.0021002688095904886	0.0	0.0116853831615299	5.540086726210091e-06	1.730582965819849e-10	0.0	0.0003321531087567564
BPArm[2]	0.0027989699342288077	0.0	0.022059907466173173	0.00010356658072184555	0.00023237858798327293	0.0037894712947309016	1.9242996222114395e-07
BPArm[3]	7.394026170004509e-08	3.250896805533476e-05	0.008297422085888684	0.00024769693683558523	6.873900474602124e-07	0.0007960134898894466	8.276364437493577e-05
BPArm[4]	4.526462518583685e-08	0.0	0.008992030089721083	0.0008249890503066126	0.00044880590816918085	0.006029779794625938	3.6546235322565455e-06
BPArm[5]	3.029579870528209e-08	0.000382276628340501	0.0038550643576309085	0.0012686983379535377	7.803286683483179e-11	0.0011746515391860158	7.018398564063028e-06
BPArm[6]	6.738990175891857e-09	0.00020785391236131546	0.0033824586775153876	0.0011333461291360436	0.0005170275001000846	0.004957795073278248	1.823102509376895e-05
BPArm[7]	2.6390109439944355e-08	0.0006144646880124682	0.0016631378908641636	0.0016084914689417928	0.0	0.0010091203800402582	3.5498971110987656e-05
BPArm[8]	1.4273625024152637e-08	0.0005273841489815823	0.0009014611359452829	0.0017295351426582783	0.00037291445140454017	0.0031153128482401373	0.0
BPArm[9]	2.1264621441474674e-08	0.0006511284716907539	0.00037080318305925174	0.0014645530912093818	2.7865700536596968e-05	0.0009343673207331449	2.1544817265153338e-05
BPArm[10]	1.8826758072520988e-08	0.0005028359489713807	0.00014728629950269578	0.001536782558541745	0.00025792395618623345	0.0020946310996077955	2.957270710659543e-06
BPArm[>10 & <=20]	1.4866816357150813e-09	0.0035486006138671657	0.0	0.0073137776041403415	0.0009769849780786898	0.004379231706261635	0.0002298067443204843
BPArm[>20 & <=30]	2.4816429524676665e-08	0.0015246115461923183	0.0	0.0009913943553692662	0.0013042714133189293	0.00011343560985267231	0.0004842533718328923
BPArm[>30]	4.900291646237065e-08	0.0007277589793798799	0.0	8.697010186868414e-05	0.0018576478339673486	0.0	0.002121083497768268
CN[0]	1.70221419566019e-05	0.0	0.00023435669969490647	0.00388377265073359	0.00163868228206411	0.03658521976321936	3.5554308962115754e-06
CN[1]	0.005347463730722666	0.0	0.00264810282504186	0.07045480832457543	0.05417210729792714	0.026408967301249503	7.181245237006806e-05
CN[2]	0.04415516063570976	0.0013273240474518408	0.01925051328726113	0.09593186981976032	0.11403746256604791	0.08079741053283214	0.00011078681486957148
CN[3]	0.00010867168328035248	0.04405893394723535	0.03143639527261257	0.05783269509401521	0.06193952140893089	0.00916593240282964	0.005853248527273536
CN[4]	7.614311670067764e-10	0.0919962877035141	0.00892191887833178	0.009205511901527644	0.011277822572737932	0.007545968951744726	0.013759487250354141
CN[>4 & <=8]	7.344435981604391e-10	0.10170855559408665	3.3934850307559827e-09	1.5045616238794957e-08	0.0005263696938790474	0.01015318790340075	0.07337556440383196
CN[>8]	1.2255425168916645e-07	4.654217651989256e-07	1.637211293115115e-07	2.3001057058991135e-09	6.040203779145159e-08	8.478309196924272e-09	0.11150627329945564
CNCP[0]	0.04119304567575455	1.4130312475657546e-11	0.0	1.1101881636221833e-11	1.1203579175500522e-11	0.0003610744252250697	0.0
CNCP[1]	0.0	0.08605415046215058	0.041695512402802705	0.19758762389421464	0.26891045838594435	0.005008120283555401	0.0004489970514881569
CNCP[2]	0.0	0.08609314285218715	0.01143116906285286	0.002721132251042549	0.005848493392404635	0.1002915097028017	0.02598465621471405
CNCP[3]	3.62593849079218e-08	0.019382620854303242	3.096547307511051e-42	7.832038445025098e-05	2.7441751626611223e-08	0.03331140000373125	0.0328486081585288
CNCP[4]	6.816165679879305e-08	0.005960879307240248	3.55829108400485e-10	0.0	0.0	0.014002412613481284	0.03132052510976791
CNCP[>4 & <=8]	3.876597403307258e-08	8.780710640809986e-06	0.0	2.978884694471162e-10	0.0	0.012954414142295718	0.06737841628491878
CNCP[>8]	1.7751728407233713e-07	0.0	1.3566783195528843e-07	6.883393314893738e-08	5.792620520139735e-08	2.9367785985279226e-08	0.04992204245179892
OsCN[0]	0.045872070081532004	0.060017802082002164	4.751789046622434e-05	0.03741347137838602	0.0027751069242921257	0.0009294363830122165	0.14794399738311767
OsCN[1]	0.0006920190167147666	0.029108553361147642	0.02294495450332761	0.019192615197971462	0.013751505697146059	0.07687087021768094	0.02840824509039521
OsCN[2]	1.2123413597464605e-08	0.007805360397323966	0.0031703032529912887	0.007669494501315057	0.004576533762738109	4.2562681665003764e-05	0.004816338466480374
OsCN[3]	1.1238324493234586e-10	0.004625992949586362	0.0015318387059960513	0.0043276950228028	0.009404747909866274	0.00916296873241663	0.00019065431584757277
OsCN[4]	3.628538879141274e-08	0.0017500667867716402	9.147289114219263e-05	0.002531977832550183	0.003143356975633651	0.0	3.976918014814146e-07
OsCN[>4 & <=10]	2.1998210399942763e-08	0.0021198477686266413	0.0	0.00411899702878145	0.01078144418541342	0.0005947341127876572	0.0
OsCN[>10]	4.858946224928218e-08	8.144351819737494e-05	0.0	0.0007017916226038779	0.0024236347194528207	2.0994980504118744e-10	5.568346563011861e-10
SS[<=2]	6.868291848149965e-08	0.000770095084735658	7.936565166439813e-06	1.120068532145524e-08	0.0006995897449087352	0.0008973078790586442	0.001982953483238816
SS[>2 & <=3]	2.3543394342823153e-08	0.0012010344725324274	0.0	0.0	0.002000697847579431	0.012734031220898032	0.007895670589059592
SS[>3 & <=4]	1.179091602132587e-11	0.004908221904188394	0.0	4.499557573964807e-06	0.01708871702197939	0.05309558503329754	0.019876208305358887
SS[>4 & <=5]	0.0	0.018635300025343894	0.001067156686642305	0.0036382505404393456	0.08431793440133334	0.029096248149871825	0.054389772787690166
SS[>5 & <=6]	1.7972292279593293e-05	0.0691262574121356	0.0015157540165819377	0.032860116138231234	0.11595592133700848	0.0	0.07728186435997486
SS[>6 & <=7]	0.0	0.0767999252770096	0.004886890435680391	0.1398856381326914	0.012799179845605977	0.029126084819436075	0.024727689111605288
SS[>7 & <=8]	0.017270697616040706	0.015577400686452166	0.11831767082214356	0.04667097769677639	0.008530466126304436	0.07477100118994713	0.0012832525184785482
SS[>8]	0.03462374981492758	5.442763573171305e-11	0.0027193764387629924	0.0	3.7846264233643014e-10	0.0	2.410836108523995e-09
NC50[<=2]	0.0011600350274238735	1.0386624771374642e-09	0.0	6.784757022870735e-10	2.7207700146192336e-08	0.0	4.105051648139124e-05
NC50[3]	0.0006089872505981476	1.6438780076560855e-06	2.082526618717023e-05	9.64306690132144e-08	1.1764141007795104e-05	0.0	9.628833317037788e-05
NC50[4]	0.00020705873845145107	1.9729930801792862e-07	0.0006194859350216575	3.837174671161847e-05	3.993180099315818e-05	0.0	4.039558018761546e-05
NC50[5]	3.590635374365547e-05	7.553932920414397e-06	0.0007771745551144704	7.745639685197147e-11	6.497175345373252e-06	8.464409571315557e-05	6.562956389188912e-07
NC50[6]	4.92361981148548e-06	3.2524824754538436e-05	0.0005681392928818241	5.1225370434622164e-05	2.6974371660215546e-08	0.0003708925202954561	0.0
NC50[7]	1.0972753433655669e-05	6.772292256924883e-05	9.762423831489287e-05	0.00016452894707185805	2.634001993008228e-06	0.00027928448369493705	0.0
NC50[>7]	3.074685589126602e-05	1.1395985256073826e-05	1.1222078290984428e-06	3.1668066189922686e-05	1.030685782898999e-07	8.714463641808835e-05	0.0
BoChr[1]	6.091437146817924e-05	0.01937245954759419	0.006085071556735783	0.007257624756166478	0.016023046551272273	0.011148867229931057	0.014039366720244289
BoChr[2]	0.00014021268348528792	0.018186355317011474	0.0007198848144616931	0.01502919441089034	0.004859525443753228	0.006998101761564612	0.0
BoChr[3]	0.0002094902331009507	0.01944371004588902	0.0026510762679390607	0.007950910166837275	0.008887763093225658	0.006138572969939559	0.000729316704091616
BoChr[4]	8.614893303726667e-09	0.01059303218498826	0.0020379629696253686	0.00652010603575036	0.005993545385426842	0.00657376766204834	0.0053480313415639105
BoChr[5]	6.177868549713139e-05	0.009547842480242253	0.003304725534762838	0.0004855685364600504	0.017343181120231747	0.005300543264020234	0.010300921685993671
BoChr[6]	0.00011402525190987944	0.016839693812653423	0.002252650554582942	0.01522939114831388	0.002425873167976533	0.004513567200629041	0.005537647260352969
BoChr[7]	0.0002750225434283493	0.014708237424492836	0.0044141631096135826	0.00023570504650706427	0.015068716104142368	0.006805589748546481	0.002737681780818093
BoChr[8]	4.006484266163568e-05	0.011441651130344586	0.0028115593127222382	0.024906357303261756	6.347896385705098e-05	0.002738991887308657	0.021118638487532735
BoChr[9]	6.621746954067475e-05	0.008689510459080339	0.006500378851778805	0.0019043518148737348	0.006232160241343081	0.005822038436308503	0.002345439573218755
