MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G
NC50[6]	1.01E-06	3.12E-06	8.08E-06	7.62E-06	2.69E-08	7.02E-06	0.00E+00
NC50[7]	6.98E-07	6.30E-06	4.85E-06	1.17E-05	1.10E-06	5.80E-06	0.00E+00
NC50[>7]	7.12E-07	1.36E-06	5.61E-07	1.84E-06	8.55E-08	2.50E-06	0.00E+00
BoChr[1]	4.62E-06	3.42E-04	1.52E-04	4.24E-04	6.18E-04	1.14E-04	1.19E-04
BoChr[2]	6.36E-06	3.60E-04	9.97E-05	5.50E-04	1.89E-04	1.30E-04	0.00E+00
BoChr[3]	5.07E-06	1.83E-04	6.90E-05	1.41E-04	1.92E-04	1.23E-04	8.83E-05
BoChr[4]	8.95E-10	1.51E-04	6.31E-05	1.87E-04	2.24E-04	8.60E-05	8.44E-05
BoChr[5]	6.96E-06	5.86E-04	2.13E-04	8.82E-05	4.54E-04	1.37E-04	8.88E-05
BoChr[6]	4.77E-06	4.53E-04	1.69E-04	4.25E-04	1.98E-04	1.69E-04	9.04E-05
BoChr[7]	8.27E-06	6.49E-04	1.59E-04	5.48E-05	6.17E-04	6.45E-05	1.70E-04
BoChr[8]	4.80E-06	9.38E-04	2.37E-04	9.77E-04	2.76E-05	1.84E-04	2.30E-04
BoChr[9]	4.45E-06	2.31E-04	8.39E-05	1.27E-04	1.31E-04	5.80E-05	1.01E-04
BoChr[10]	4.23E-06	4.58E-04	1.40E-04	4.37E-04	5.32E-05	1.60E-04	1.40E-47
BoChr[11]	1.85E-06	2.18E-04	8.58E-05	2.26E-04	1.77E-04	7.31E-05	1.16E-04
BoChr[12]	4.42E-09	1.61E-04	9.57E-05	2.23E-04	3.41E-04	9.71E-05	1.34E-04
BoChr[13]	4.39E-06	1.47E-04	6.68E-05	1.38E-04	6.36E-05	5.68E-05	1.15E-05
BoChr[14]	4.48E-06	2.39E-04	6.73E-05	2.52E-04	5.69E-05	7.85E-05	4.46E-05
BoChr[15]	1.25E-08	1.62E-04	5.16E-05	1.84E-04	5.15E-05	6.76E-05	4.24E-05
BoChr[16]	8.02E-07	7.26E-05	4.27E-05	2.27E-04	1.46E-04	3.46E-05	3.36E-05
BoChr[17]	6.69E-06	2.14E-04	9.44E-05	2.88E-04	2.71E-04	8.00E-05	1.34E-04
BoChr[18]	1.64E-06	7.64E-05	5.45E-05	1.08E-04	1.22E-04	7.40E-05	7.55E-05
BoChr[19]	1.76E-09	3.48E-04	5.72E-05	6.09E-05	3.65E-04	2.75E-05	1.21E-04
BoChr[20]	1.42E-09	6.44E-05	5.71E-05	3.57E-04	2.39E-04	3.09E-05	5.58E-05
BoChr[21]	4.00E-06	7.05E-05	5.44E-05	1.23E-04	1.30E-04	4.61E-05	4.45E-05
BoChr[22]	3.99E-06	1.05E-04	4.31E-05	7.13E-05	7.33E-05	3.47E-05	6.55E-05
BoChr[23]	7.08E-06	1.48E-04	0.00E+00	1.42E-04	1.86E-04	7.57E-05	7.60E-05
