NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	268.376	23.154	53.903	13.813	0.106	0.984	30000.0
2	268.238	23.074	53.891	13.802	0.105	0.984	40000.0
3	268.361	23.116	53.893	13.801	0.105	0.984	40000.0
4	267.848	23.077	53.869	13.785	0.105	0.984	30000.0
5	267.889	23.069	53.875	13.789	0.105	0.984	30000.0
6	267.325	22.995	53.676	13.724	0.105	0.984	30000.0
7	267.764	23.033	53.797	13.76	0.105	0.984	60000.0
8	268.676	23.133	53.967	13.821	0.105	0.984	50000.0
9	267.882	23.033	53.77	13.752	0.105	0.984	30000.0
10	268.607	23.095	53.873	13.798	0.105	0.984	50000.0
11	268.069	23.078	53.884	13.798	0.105	0.984	40000.0
12	267.746	23.059	53.717	13.756	0.105	0.984	50000.0
13	268.298	23.067	53.84	13.77	0.105	0.984	50000.0
14	268.58	23.138	53.979	13.819	0.105	0.984	50000.0
15	267.507	23.014	53.66	13.725	0.105	0.984	30000.0
16	268.54	23.1	53.905	13.808	0.105	0.984	50000.0
17	268.42	23.105	53.952	13.827	0.105	0.984	30000.0
18	267.861	23.055	53.841	13.782	0.105	0.984	30000.0
19	268.255	23.091	53.812	13.771	0.105	0.984	30000.0
20	267.731	23.043	53.77	13.758	0.105	0.984	50000.0
21	268.257	23.107	53.905	13.805	0.105	0.984	20000.0
22	268.011	23.048	53.792	13.755	0.105	0.984	70000.0
23	267.934	23.063	53.829	13.764	0.105	0.984	30000.0
24	267.977	23.093	53.785	13.778	0.105	0.984	70000.0
25	268.096	23.072	53.812	13.793	0.105	0.984	40000.0
26	267.751	23.084	53.846	13.798	0.105	0.984	20000.0
27	268.384	23.083	53.835	13.786	0.105	0.984	30000.0
28	267.888	23.03	53.766	13.745	0.105	0.984	50000.0
29	268.213	23.073	53.817	13.784	0.105	0.984	40000.0
30	268.258	23.112	53.865	13.794	0.105	0.984	60000.0
31	267.639	23.072	53.665	13.729	0.105	0.984	50000.0
32	267.84	23.016	53.769	13.76	0.105	0.984	70000.0
33	268.1	23.083	53.901	13.803	0.105	0.984	50000.0
34	268.37	23.105	53.859	13.773	0.105	0.984	40000.0
35	268.394	23.102	53.85	13.804	0.105	0.984	40000.0
36	268.389	23.074	53.932	13.799	0.105	0.984	60000.0
37	268.401	23.113	53.839	13.779	0.105	0.984	30000.0
38	267.887	23.078	53.984	13.817	0.105	0.984	30000.0
39	268.417	23.091	53.878	13.781	0.105	0.984	40000.0
40	267.661	23.041	53.854	13.783	0.105	0.984	40000.0
41	267.509	23.046	53.686	13.766	0.105	0.984	80000.0
42	267.895	23.061	53.813	13.765	0.105	0.984	50000.0
43	267.689	23.051	53.874	13.799	0.105	0.984	30000.0
44	268.59	23.122	54.064	13.831	0.106	0.984	30000.0
45	268.47	23.115	53.954	13.818	0.105	0.984	30000.0
46	268.903	23.159	54.016	13.846	0.106	0.984	50000.0
47	268.335	23.089	53.864	13.784	0.105	0.984	30000.0
48	267.75	22.996	53.715	13.746	0.105	0.984	30000.0
49	267.508	23.051	53.821	13.797	0.105	0.984	30000.0
50	268.147	23.084	53.854	13.809	0.105	0.984	60000.0
51	268.303	23.127	53.95	13.824	0.105	0.984	40000.0
52	268.156	23.111	53.912	13.8	0.106	0.984	40000.0
53	268.148	23.055	53.888	13.803	0.105	0.984	40000.0
54	267.701	23.027	53.74	13.763	0.105	0.984	50000.0
55	268.294	23.081	53.752	13.753	0.105	0.984	50000.0
56	267.391	23.062	53.614	13.731	0.105	0.984	40000.0
57	267.018	23.013	53.663	13.75	0.105	0.984	50000.0
58	268.348	23.106	53.946	13.805	0.105	0.984	30000.0
59	268.102	23.056	53.905	13.785	0.105	0.984	30000.0
60	268.261	23.079	53.828	13.781	0.105	0.984	40000.0
61	267.928	23.066	53.785	13.79	0.105	0.984	30000.0
62	268.081	23.083	53.815	13.782	0.105	0.984	40000.0
63	267.064	22.975	53.637	13.718	0.105	0.984	50000.0
64	267.801	23.044	53.8	13.773	0.105	0.984	30000.0
65	268.28	23.101	53.928	13.813	0.105	0.984	40000.0
66	268.135	23.114	53.915	13.823	0.106	0.984	50000.0
67	267.652	23.029	53.726	13.744	0.105	0.984	40000.0
68	268.596	23.085	53.95	13.804	0.105	0.984	60000.0
69	267.184	23.018	53.662	13.73	0.105	0.984	50000.0
70	267.752	23.037	53.806	13.779	0.105	0.984	40000.0
71	268.226	23.1	53.989	13.824	0.105	0.984	20000.0
72	267.896	23.054	53.745	13.753	0.105	0.984	30000.0
73	268.572	23.139	53.97	13.821	0.105	0.984	40000.0
74	267.881	23.098	53.848	13.782	0.105	0.984	50000.0
75	267.704	23.037	53.734	13.745	0.105	0.984	40000.0
76	267.8	23.053	53.715	13.767	0.105	0.984	50000.0
77	268.492	23.102	53.868	13.787	0.105	0.984	40000.0
78	267.699	23.049	53.771	13.767	0.105	0.984	60000.0
79	267.711	23.022	53.843	13.784	0.105	0.984	30000.0
80	267.689	23.077	53.798	13.784	0.105	0.984	40000.0
81	269.045	23.177	53.983	13.826	0.106	0.984	40000.0
82	267.919	23.053	53.822	13.798	0.105	0.984	50000.0
83	267.923	23.052	53.775	13.751	0.105	0.984	70000.0
84	267.653	23.062	53.853	13.795	0.105	0.984	30000.0
85	268.426	23.114	53.875	13.82	0.105	0.984	30000.0
86	268.457	23.097	53.82	13.791	0.105	0.984	60000.0
87	268.212	23.077	53.85	13.787	0.105	0.984	60000.0
88	268.057	23.044	53.771	13.741	0.105	0.984	50000.0
89	268.693	23.152	53.884	13.805	0.105	0.984	40000.0
90	268.454	23.104	53.895	13.795	0.105	0.984	40000.0
91	268.048	23.075	53.832	13.769	0.105	0.984	30000.0
92	268.038	23.07	53.815	13.765	0.105	0.984	50000.0
93	268.862	23.172	54.006	13.833	0.106	0.984	30000.0
94	268.685	23.108	54.004	13.807	0.105	0.984	40000.0
95	268.272	23.117	53.919	13.819	0.105	0.984	50000.0
96	267.348	23.021	53.826	13.777	0.105	0.984	40000.0
97	267.639	23.032	53.736	13.761	0.105	0.984	80000.0
98	268.343	23.09	53.808	13.775	0.105	0.984	20000.0
99	268.562	23.105	53.966	13.815	0.105	0.984	30000.0
100	267.556	23.025	53.772	13.755	0.105	0.984	40000.0
