MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H
NC50[7]	0.00001343	0.00007514	0.00002091	0.00035969	0.00000891	0.00000508	0.00021632	0.00000000
NC50[>7]	0.00003056	0.00000305	0.00000206	0.00007604	0.00000486	0.00000043	0.00005999	0.00000000
BoChr[1]	0.00003718	0.00816939	0.01107317	0.01656615	0.00075393	0.02820059	0.01105090	0.01329370
BoChr[2]	0.00014234	0.00077939	0.01697647	0.01990233	0.00601786	0.00716153	0.00642031	0.00000000
BoChr[3]	0.00017625	0.00089289	0.02653362	0.00509252	0.01156479	0.00567846	0.00597338	0.00018590
BoChr[4]	0.00000001	0.00217748	0.01035042	0.00723745	0.00612648	0.00673159	0.00668163	0.00522432
BoChr[5]	0.00000957	0.00514931	0.00261518	0.00495562	0.00152653	0.02377485	0.00635611	0.01088796
BoChr[6]	0.00006569	0.00040677	0.02540731	0.01021071	0.01180463	0.00084750	0.00411033	0.00364511
BoChr[7]	0.00021332	0.00557727	0.00971381	0.00570922	0.00035952	0.02253561	0.00724294	0.00260434
BoChr[8]	0.00001417	0.00323195	0.01118644	0.03212415	0.00698292	0.00016221	0.00229555	0.02098244
BoChr[9]	0.00005179	0.00417110	0.01501751	0.00080343	0.00774590	0.00226479	0.00498414	0.00076600
BoChr[10]	0.00004591	0.00105944	0.01037875	0.01474224	0.00610528	0.00014578	0.00470699	0.00000043
BoChr[11]	0.00000186	0.00200693	0.01006492	0.00444048	0.00727655	0.00920991	0.00676829	0.02559522
BoChr[12]	0.00000002	0.00436906	0.00041559	0.00611879	0.00192862	0.01466002	0.00361900	0.03949655
BoChr[13]	0.00008021	0.00363776	0.00554406	0.00622507	0.00342218	0.00209182	0.00265509	0.00001068
BoChr[14]	0.00036719	0.00238828	0.00824893	0.00725449	0.00286817	0.00058629	0.00200874	0.00220480
BoChr[15]	0.00000010	0.00169648	0.00669509	0.00594961	0.00169871	0.00084233	0.00281655	0.00176093
BoChr[16]	0.00000108	0.00545994	0.00630661	0.00565432	0.00134895	0.00301785	0.00487231	0.00148086
BoChr[17]	0.00020171	0.00514612	0.00762123	0.00513848	0.00433402	0.00545920	0.00266560	0.02488015
BoChr[18]	0.00000621	0.00238386	0.01329686	0.00066098	0.00552198	0.00024020	0.00060634	0.00190799
BoChr[19]	0.00000004	0.00486648	0.01291831	0.00041335	0.00000670	0.00950227	0.00068272	0.00373023
BoChr[20]	0.00000003	0.00390665	0.00856312	0.00599756	0.00033209	0.00389875	0.00053305	0.00627995
BoChr[21]	0.00021238	0.00158419	0.00522490	0.00127712	0.00307890	0.00111531	0.00083079	0.00235550
BoChr[22]	0.00027358	0.00175862	0.00766372	0.00029800	0.00307520	0.00066270	0.00064215	0.00040986
BoChr[23]	0.00125377	0.00007329	0.00220724	0.00932001	0.00425495	0.00541857	0.00720317	0.00521563
