MutationType	SBS80A	SBS80B	SBS80C
BP10MB[0]	0.0815727750211954	0.01832290560007095	0.7082121020555496
BP10MB[1]	0.024408527985215187	0.010888829445466399	0.00700155396014452
BP10MB[2]	0.04375778466463089	0.012033623168244958	0.0006910776079166681
BP10MB[3]	0.007273935205303133	0.005278843138366938	2.348173749666671e-08
BP10MB[4]	0.007926102243363858	0.004574091439135373	6.7512738999298e-09
BP10MB[5]	0.002036895799683407	0.0026171646639704706	1.9046527981458892e-08
BP10MB[>5]	0.0036467410321347417	0.009338210383430124	0.0
BPArm[0]	0.001328111420152709	0.0004219980476773344	0.08356697790324688
BPArm[1]	0.0010289443435613065	0.00038296155777061357	0.0057223503803834315
BPArm[2]	0.005352453528903425	0.00022326292866637232	0.007751520830206573
BPArm[3]	0.0024804502190090717	0.0006947353691793978	0.0008636271528666839
BPArm[4]	0.004943044637329876	0.0006742572036455385	0.0004216045080102049
BPArm[5]	0.002002932206960395	0.0007084152626339346	2.2058070511121742e-06
BPArm[6]	0.002926909865345806	0.0006317888060584664	4.6665928934430666e-08
BPArm[7]	0.001351318988017738	0.0006444928987184539	4.4359371500490854e-08
BPArm[8]	0.001853989129886031	0.0004973071312997491	3.026416806051202e-08
BPArm[9]	0.0008718239580048249	0.0005121583541040309	2.6822361842704367e-08
BPArm[10]	0.0011989146412815898	0.0004223027563421056	2.476175337662312e-08
BPArm[>10 & <=20]	0.0036718796798959376	0.002884219705592841	8.803458002581976e-09
BPArm[>20 & <=30]	0.0005608614007360301	0.0012953628750983625	1.4700606705275732e-08
BPArm[>30]	0.00018031750645604915	0.0013554838474374264	1.5247464348888685e-08
CN[0]	0.011346777360886335	0.0006342795479577035	5.260873426976787e-05
CN[1]	0.05217123925685883	0.0	0.006348160016350448
CN[2]	0.09096436478197574	0.009194799894466997	0.04078774847090244
CN[3]	0.04497558888047934	0.03989092957228422	0.0012764536339091137
CN[4]	0.009752358878031372	0.05770342718809843	4.140159562851465e-08
CN[>4 & <=8]	4.682233745256781e-07	0.07659777760505676	8.32584343157805e-08
CN[>8]	0.0	0.026082780677825212	1.295051245620016e-07
CNCP[0]	4.636827729137538e-09	1.1703289939591212e-09	0.030865662805736063
CNCP[1]	0.16616580739617348	0.06778395645320416	0.0011630007467465476
CNCP[2]	0.029082539211958646	0.0598438835889101	0.0
CNCP[3]	0.0032382542872801423	0.024687962662428616	0.0
CNCP[4]	0.00037218641096842475	0.014279417926445603	2.481743283100357e-10
