MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F
BP10MB[0]	0.7018593847751617	0.002673294715341128	0.012173458570614457	0.45627816081047057	0.13365395709872246	0.027933899033814668
BP10MB[1]	0.0006399745938415435	0.011948073282837868	0.002246440622257069	0.06800895787775517	0.005055386580061168	7.995840485818916e-05
BP10MB[2]	0.0	0.01043408302590251	0.01721924439072609	0.045462878867983815	0.0701991881430149	0.0
BP10MB[3]	4.570930699886622e-09	0.008924858532845975	0.006695565264672041	0.002743059333879501	0.005505543062463402	0.0
BP10MB[4]	4.94576168907912e-11	0.006954996073618531	0.00804590561427176	0.0	0.012053615292534231	0.0
BP10MB[5]	1.88050148075547e-08	0.0037481877394020557	0.002808132830541581	0.0	0.0010355490143410862	0.0009311509662074968
BP10MB[>5]	4.4631809897888174e-09	0.008751910785213113	0.007363437507301569	0.0	0.0	0.011275143176317216
BPArm[0]	0.0974953805655241	0.00035658796703614827	0.0009062740395893343	0.01644575150683522	0.00553079572506249	0.0012392146975616924
BPArm[1]	0.002293505882844329	0.0	0.0	0.011170620042830705	0.0	0.0002938592775899451
BPArm[2]	0.0030104304570704697	2.2169536581850835e-07	4.9853403111710386e-06	0.021949244923889638	0.0030471991852391513	3.5403524504395988e-06
BPArm[3]	5.485187433507121e-07	3.5890314506890065e-05	4.574690901790745e-06	0.00843527507968247	0.0006105076728272252	0.00012354426065030566
BPArm[4]	5.03382566297006e-08	9.365936458616275e-09	0.00026170286362969363	0.009718736661598086	0.005514990356750786	2.2906756187114113e-05
BPArm[5]	3.479470565892484e-08	0.00041784597415244206	1.040848348857204e-05	0.004501067888922989	0.0014362077158875763	5.603871524938464e-06
BPArm[6]	6.338764593216695e-09	0.00016650060199026483	0.0007626285165315494	0.003806392457336187	0.004720402979291976	5.549544408722795e-05
BPArm[7]	2.2505940773243084e-08	0.0007398249191464856	0.00020867363264187588	0.0021918522333726287	0.0013367990765254946	5.853452912560897e-06
BPArm[8]	1.2063201173528882e-08	0.0005180878838291392	0.0009838750545168296	0.001285729042137973	0.0031984299351461233	0.0
BPArm[9]	1.7921523438602094e-08	0.0007278833171585575	0.00046209221996832637	0.0006496476804022677	0.0011769749305676669	8.991317804429855e-07
BPArm[10]	1.4672208568100586e-08	0.0005674045352498069	0.00084194308554288	0.0003254077608289663	0.0022531520342454316	1.086568619895745e-22
BPArm[>10 & <=20]	6.250741591690147e-10	0.004396797921508551	0.003567578881047666	0.0	0.005507190669886768	7.589752495391622e-06
BPArm[>20 & <=30]	1.776775363282468e-08	0.0017864084255415945	0.0008606855157995597	0.0	6.472331042800761e-05	0.0004051068390981527
BPArm[>30]	1.7498924478331902e-08	0.0009580733394250274	0.0005428631344693713	0.0	0.0	0.0021394770790357145
CN[0]	4.035143613137393e-05	0.0	0.0022492558136582375	0.0006409075322881109	0.03661307401955128	3.982635051215766e-05
CN[1]	0.006269038622267544	0.0	0.08559468418359756	0.004468667590990663	0.034831093642860654	0.0
CN[2]	0.04417723696678877	0.00787413259036839	0.1318351724743843	0.02199584735557437	0.08736965529620648	0.006345966353546828
CN[3]	0.0005303180604823865	0.06550116270780564	0.051135086268186566	0.020619810018688442	0.005869760967325419	0.009226461052894592
CN[4]	2.08021830871985e-10	0.07553738087415696	0.00013832585081274829	0.011854174304753542	0.0067784037324599925	0.017280951188877226
CN[>4 & <=8]	3.1677461720391876e-09	0.07462492637336254	0.0	5.116616563327625e-08	0.008380120962392539	0.07189913995563985
CN[>8]	1.3147778531674704e-07	1.6539801531934017e-07	2.059480437415563e-09	2.1491210432600384e-07	0.0	0.10037982925772666
CNCP[0]	0.04022518932819366	2.975954038753059e-11	1.9947993257218853e-11	0.0	0.00028845836881032485	0.0
CNCP[1]	0.0	0.1168515495955944	0.2650371316075325	0.031930615734308956	0.012534176553599537	0.014677243614569306
CNCP[2]	0.0	0.06562308676540851	1.0477798496140167e-05	0.01330677293241024	0.09189354218542575	0.029756698310375213
CNCP[3]	5.125667318139904e-08	0.01422047358006239	0.0	2.4127031039711253e-10	0.03166066534817219	0.030036595445126296
CNCP[4]	7.030464463042563e-08	0.004058458670042456	0.0	0.0	0.013430761666968464	0.02887828316539526
CNCP[>4 & <=8]	6.095282625295795e-08	1.4739472021537552e-08	0.0	0.0	0.012782322373241187	0.05977438848465681
CNCP[>8]	2.543630259310703e-07	0.0	7.773540723121642e-08	1.4596285517143314e-07	1.676791674010236e-08	0.04493756752461195
OsCN[0]	0.04502977889031172	0.057094695679843425	0.014485936630517244	9.866579088512287e-32	0.0019178600807208568	0.13336046993732453
OsCN[1]	0.0007390861015301197	0.027494233399629593	0.012959748758003115	0.02433930231258273	0.07330253042280674	0.028029379900544882
OsCN[2]	1.6425966888888865e-08	0.00826353883370757	0.005572716188617051	0.0032410958665423095	5.247628317079106e-05	0.0047966893156990405
OsCN[3]	2.1457640109190378e-11	0.004779072660021484	0.0077003702893853184	0.0013816481013782323	0.008358568083494902	0.0011076675570802763
OsCN[4]	4.2271982998443035e-08	0.002142845679773018	0.003052371817175299	7.601982752087706e-06	0.0	4.6406468032977875e-05
OsCN[>4 & <=10]	2.419370915163199e-08	0.0029593801219016313	0.008738933056592941	0.0	0.0004170778516709106	3.871688976016838e-05
OsCN[>10]	3.861439243024734e-08	0.00011237693997827592	0.0021624399884603916	2.2995095179112467e-07	1.0395768398896443e-07	1.7418880879631616e-05
SS[<=2]	3.773858630040649e-08	0.0007019857881823555	0.00016527137566299643	9.897461419258291e-06	0.0007571345672477037	0.0020409731986001135
SS[>2 & <=3]	5.01881107339841e-09	0.0012785710301250219	0.00032409888764050264	0.0	0.011502563105896115	0.008141997582279147
SS[>3 & <=4]	0.0	0.0059574357513338325	0.006582238730043172	0.0	0.04745099119842053	0.0223833404481411
SS[>4 & <=5]	0.0	0.021639216654002667	0.04422491189092398	0.0	0.020934188328683375	0.06419139094650746
SS[>5 & <=6]	6.932611774246312e-07	0.06517902974039316	0.08105340659618378	0.0	0.0	0.08033811002969742
SS[>6 & <=7]	0.0	0.0869304033368826	0.07336512617766858	0.0031427092069332718	0.052026611790060996	0.016163848154246808
SS[>7 & <=8]	0.01731597611680627	0.01798748517408967	0.020591885931789875	0.12843778863549232	0.07607867710292339	0.0004486046608345982
SS[>8]	0.03440020222216845	2.2198300142495242e-10	9.514633525498084e-12	0.0017530630889814347	0.0	2.7604017860394237e-09
NC50[<=2]	0.0011324440944008528	3.559996075708227e-11	1.1187921895583486e-08	6.169252220189491e-11	0.0	3.6457621917520555e-05
NC50[3]	0.0006069823342841118	4.897855010455032e-11	2.465324603919683e-06	5.557952870976596e-06	0.0	9.486419181484961e-05
NC50[4]	0.000219243475003168	1.5689868848589583e-11	3.345024055023682e-05	0.0006133899267297238	0.0	3.881688440837472e-05
NC50[5]	4.1512201923126215e-05	4.1670684166056346e-06	1.4731318249361357e-07	0.0007739174005109816	5.9452729538236326e-05	3.966895026792372e-06
NC50[6]	6.272656514418884e-06	3.700211819597898e-05	4.64527749599597e-11	0.0005916254542535171	0.00033741706050932407	9.460355832047185e-12
NC50[7]	1.0643871532032279e-05	8.331336804985767e-05	3.183354757311463e-05	0.0001251308143764618	0.00031676817656261846	0.0
NC50[>7]	3.057084468309768e-05	7.69546639575458e-06	7.710284514710342e-06	3.2313853038345996e-06	0.0001092580144177191	0.0
BoChr[1]	9.107830895885627e-05	0.018748239781707525	0.010368567621335388	0.004982632696628571	0.009488353631459176	0.015827127089723943
BoChr[2]	0.0001610728050582111	0.01802541833370924	0.008719023950397968	0.0004992014323043296	0.008146557523868978	0.0
BoChr[3]	0.00023350645860773512	0.016826880685985087	0.008228406156413258	0.0028563373803626745	0.00615207408554852	0.0015835356959723868
BoChr[4]	1.4753015419310955e-08	0.009156964784488082	0.006410619784146547	0.002373147212201729	0.006656077150255442	0.005788040566258133
BoChr[5]	0.00012985939691134262	0.009206437831744551	0.009139295229688286	0.0018758491391781718	0.00317467286484316	0.012778317835181952
BoChr[6]	0.0001492775548103964	0.016192420152947307	0.007364535504020751	0.003201766279526055	0.00620475584641099	0.004711989141069353
BoChr[7]	0.00036694364636787215	0.013121702326461673	0.006174463173374533	0.0034353184059727937	0.004524083747528493	0.0071930662030354146
BoChr[8]	8.142203712594664e-05	0.014129909873008727	0.009499813169240952	0.004220615702215582	0.005706325238570571	0.019114664867520333
BoChr[9]	9.134510421830555e-05	0.007215617736801505	0.0039444629498757424	0.006663235975429416	0.004895883444696665	0.003566691081505269
