MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F
BoChr[6]	3.91E-06	3.08E-05	3.35E-05	5.03E-05	4.62E-05	5.70E-05
BoChr[7]	6.32E-06	4.56E-05	3.72E-05	5.52E-05	3.61E-05	9.34E-05
BoChr[8]	4.43E-06	4.30E-05	5.29E-05	6.31E-05	5.07E-05	8.22E-05
BoChr[9]	4.64E-06	2.41E-05	3.07E-05	4.88E-05	3.48E-05	4.17E-05
BoChr[10]	3.52E-06	2.06E-05	2.90E-05	4.31E-05	4.26E-05	0.00E+00
BoChr[11]	2.42E-06	2.59E-05	3.43E-05	3.86E-05	4.07E-05	6.24E-05
BoChr[12]	8.22E-09	2.56E-05	2.54E-05	3.49E-05	2.97E-05	7.25E-05
BoChr[13]	4.34E-06	1.51E-05	2.31E-05	3.66E-05	2.69E-05	1.48E-06
BoChr[14]	4.52E-06	1.82E-05	2.29E-05	3.54E-05	2.33E-05	2.70E-05
BoChr[15]	1.87E-07	1.91E-05	2.24E-05	2.88E-05	2.84E-05	3.36E-05
BoChr[16]	1.38E-06	1.83E-05	2.06E-05	3.39E-05	2.68E-05	2.87E-05
BoChr[17]	5.87E-06	2.57E-05	3.13E-05	4.91E-05	3.11E-05	7.68E-05
BoChr[18]	2.00E-06	2.08E-05	2.66E-05	4.02E-05	2.42E-05	3.47E-05
BoChr[19]	1.77E-09	3.34E-05	2.82E-05	4.65E-05	8.92E-06	6.19E-05
BoChr[20]	1.07E-09	2.50E-05	2.54E-05	3.81E-05	2.54E-05	4.61E-05
BoChr[21]	3.78E-06	1.44E-05	1.41E-05	2.45E-05	1.66E-05	2.27E-05
BoChr[22]	3.92E-06	1.73E-05	1.65E-05	3.00E-05	1.63E-05	2.92E-05
BoChr[23]	4.97E-06	1.88E-05	2.19E-05	0.00E+00	3.54E-05	3.83E-05
