Signatures	Stability	Total Mutations
SBS80A	0.372	478477
SBS80B	0.571	381772
SBS80C	0.389	282010
SBS80D	0.634	247052
SBS80E	0.66	220586
SBS80F	0.667	160909
SBS80G	0.771	160141
SBS80H	0.057	159839
SBS80I	0.548	140700
SBS80J	0.816	124941
SBS80K	0.823	122090
SBS80L	0.921	118627
SBS80M	0.493	117483
SBS80N	0.643	117226
SBS80O	0.254	107198
SBS80P	0.292	87000
SBS80Q	0.296	70668
SBS80R	0.315	39670
SBS80S	0.914	37138
SBS80T	0.972	34376
SBS80U	0.448	33693
SBS80V	0.738	29113
SBS80W	0.225	27969
SBS80X	0.629	27478
SBS80Y	0.785	26400
SBS80Z	0.921	25538
SBS80AA	0.282	23900
SBS80AB	0.296	22929
SBS80AC	0.92	21434
SBS80AD	0.041	18453
