NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	175.2	15.64	35.351	9.248	0.062	0.993	170000.0
2	175.29	15.554	35.921	9.374	0.062	0.993	70000.0
3	177.399	15.838	36.178	9.447	0.062	0.993	100000.0
4	181.549	16.137	37.238	9.723	0.061	0.993	80000.0
5	182.291	16.302	36.276	9.53	0.062	0.993	80000.0
6	188.13	16.658	37.771	9.806	0.062	0.992	80000.0
7	173.686	15.583	35.831	9.384	0.061	0.993	70000.0
8	186.868	16.464	37.943	9.846	0.062	0.992	90000.0
9	180.106	16.09	36.816	9.644	0.061	0.993	120000.0
10	183.467	16.531	37.533	9.858	0.061	0.993	90000.0
11	178.397	15.885	36.122	9.461	0.062	0.993	70000.0
12	176.133	15.783	35.554	9.32	0.062	0.993	80000.0
13	182.068	16.166	37.222	9.712	0.061	0.993	80000.0
14	177.478	15.633	35.953	9.348	0.063	0.993	100000.0
15	175.505	15.585	35.422	9.265	0.062	0.993	90000.0
16	179.249	16.013	36.046	9.463	0.062	0.993	70000.0
17	177.676	15.856	36.464	9.526	0.062	0.993	80000.0
18	191.232	17.187	39.096	10.252	0.062	0.992	50000.0
19	182.222	16.277	36.347	9.513	0.062	0.993	140000.0
20	182.949	16.509	37.569	9.864	0.061	0.993	100000.0
21	180.923	16.204	37.004	9.683	0.062	0.993	130000.0
22	176.547	15.765	36.011	9.407	0.062	0.993	100000.0
23	175.825	15.755	36.509	9.55	0.061	0.993	170000.0
24	184.999	16.479	36.747	9.613	0.063	0.993	120000.0
25	183.167	16.299	36.943	9.648	0.063	0.993	130000.0
26	183.984	16.652	37.781	9.926	0.061	0.993	80000.0
27	179.975	16.063	36.708	9.617	0.061	0.993	90000.0
28	181.159	16.024	36.718	9.557	0.061	0.993	80000.0
29	179.058	16.12	36.563	9.579	0.062	0.993	110000.0
30	175.464	15.714	36.007	9.423	0.061	0.993	70000.0
31	180.574	16.017	36.779	9.586	0.062	0.993	110000.0
32	185.134	16.372	37.409	9.736	0.061	0.993	70000.0
33	183.369	16.243	37.341	9.738	0.062	0.993	70000.0
34	181.449	16.034	36.872	9.589	0.061	0.993	100000.0
35	177.25	15.743	35.979	9.434	0.063	0.993	110000.0
36	181.917	16.042	36.947	9.592	0.061	0.993	130000.0
37	183.357	16.558	37.492	9.884	0.061	0.993	100000.0
38	174.454	15.513	35.406	9.265	0.061	0.993	90000.0
39	179.149	15.73	36.668	9.516	0.062	0.993	70000.0
40	175.05	15.406	34.968	9.119	0.061	0.993	80000.0
41	180.085	15.931	36.236	9.448	0.061	0.993	70000.0
42	182.85	16.267	37.12	9.694	0.062	0.993	70000.0
43	181.706	16.235	36.187	9.472	0.062	0.993	110000.0
44	177.786	15.916	36.298	9.498	0.062	0.993	50000.0
45	182.744	16.339	37.084	9.67	0.062	0.993	80000.0
46	177.62	15.617	36.226	9.443	0.063	0.993	120000.0
47	183.918	16.399	37.116	9.684	0.061	0.993	90000.0
48	181.114	16.158	36.562	9.581	0.061	0.993	100000.0
49	180.988	16.352	36.707	9.688	0.061	0.993	70000.0
50	181.999	16.176	37.512	9.767	0.062	0.993	80000.0
51	178.523	15.924	36.506	9.554	0.061	0.993	130000.0
52	178.629	15.946	36.376	9.49	0.062	0.993	70000.0
53	188.12	16.553	38.203	9.902	0.062	0.992	80000.0
54	177.037	15.79	36.354	9.491	0.061	0.993	70000.0
55	192.513	17.206	39.285	10.247	0.062	0.992	80000.0
56	173.533	15.36	35.658	9.28	0.062	0.993	120000.0
57	178.62	15.919	36.748	9.595	0.061	0.993	130000.0
58	178.802	15.995	36.555	9.583	0.062	0.993	90000.0
59	177.546	15.603	36.042	9.359	0.063	0.993	100000.0
60	184.052	16.38	37.541	9.81	0.061	0.993	90000.0
61	175.317	15.546	35.558	9.317	0.062	0.993	100000.0
62	182.137	16.17	36.801	9.596	0.061	0.993	70000.0
63	177.207	15.68	36.065	9.389	0.063	0.993	90000.0
64	182.102	16.31	36.945	9.661	0.062	0.993	90000.0
65	185.821	16.791	38.526	10.126	0.061	0.992	70000.0
66	175.394	15.645	35.491	9.322	0.061	0.993	120000.0
67	187.529	16.758	37.874	9.918	0.062	0.992	110000.0
68	178.08	15.634	36.259	9.424	0.062	0.993	110000.0
69	177.726	15.851	36.009	9.426	0.062	0.993	110000.0
70	177.186	15.86	35.765	9.41	0.061	0.993	90000.0
71	186.069	16.734	37.973	9.976	0.061	0.993	70000.0
72	178.654	15.727	36.461	9.491	0.062	0.993	130000.0
73	174.576	15.525	35.492	9.263	0.061	0.993	90000.0
74	180.458	16.123	37.003	9.666	0.062	0.993	80000.0
75	175.006	15.597	35.488	9.276	0.061	0.993	130000.0
76	184.383	16.631	37.555	9.858	0.061	0.993	100000.0
77	179.886	15.893	36.97	9.627	0.063	0.993	140000.0
78	168.87	15.105	34.596	9.116	0.061	0.994	110000.0
79	179.39	15.93	36.8	9.596	0.061	0.993	90000.0
80	172.195	15.349	34.923	9.177	0.061	0.994	130000.0
81	183.781	16.424	37.281	9.769	0.062	0.993	90000.0
82	174.669	15.402	35.5	9.26	0.062	0.993	100000.0
83	186.004	16.539	37.149	9.677	0.062	0.993	110000.0
84	181.005	16.124	36.856	9.649	0.061	0.993	100000.0
85	184.34	16.45	37.566	9.843	0.062	0.993	130000.0
86	180.392	16.267	36.082	9.514	0.062	0.993	80000.0
87	176.792	15.796	36.052	9.429	0.061	0.993	120000.0
88	177.983	15.892	36.745	9.609	0.061	0.993	170000.0
89	190.246	17.128	39.06	10.236	0.062	0.992	80000.0
90	175.033	15.635	35.454	9.301	0.062	0.993	60000.0
91	189.524	16.877	38.204	9.957	0.062	0.992	130000.0
92	176.626	15.647	36.04	9.395	0.062	0.993	100000.0
93	184.699	16.537	37.868	9.947	0.063	0.992	130000.0
94	177.352	15.803	35.882	9.381	0.062	0.993	140000.0
95	180.594	16.154	36.557	9.593	0.062	0.993	110000.0
96	178.905	15.871	36.767	9.579	0.061	0.993	80000.0
97	182.346	16.272	37.171	9.73	0.061	0.993	140000.0
98	184.648	16.406	37.54	9.769	0.062	0.993	70000.0
99	181.351	16.117	37.072	9.657	0.062	0.993	120000.0
100	173.967	15.38	35.513	9.262	0.061	0.993	80000.0
