Signatures	Stability	Total Mutations
SBS80A	0.922	683498
SBS80B	0.232	336051
SBS80C	0.722	287740
SBS80D	0.764	276547
SBS80E	0.34	251907
SBS80F	0.693	228166
SBS80G	0.942	173577
SBS80H	0.752	158334
SBS80I	0.801	151587
SBS80J	0.502	150964
SBS80K	0.381	126770
SBS80L	0.455	124013
SBS80M	0.462	121139
SBS80N	0.021	55430
SBS80O	0.026	52459
SBS80P	0.165	47170
SBS80Q	0.624	44535
SBS80R	0.176	43072
SBS80S	0.866	42350
SBS80T	0.397	39303
SBS80U	-0.047	35619
SBS80V	0.557	34579
