Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	247	15	0	0	32	187	8	0	10	0	0	56	0	0	2	2	9
04c09376-8756-41d9-bbca-f464170a8cfb	227	176	189	62	0	18	37	16	15	26	56	110	34	8	12	0	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	376	0	9	0	0	52	0	5	0	0	0	26	14	1	2	3	1
05070acd-3ec1-44bb-9c32-26d3a483a72a	285	65	0	124	11	60	119	0	7	22	10	0	19	0	0	24	2
051cb117-16fd-459e-81e5-002eca2b7eea	417	0	12	0	0	9	0	3	0	0	0	29	0	0	3	3	5
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	225	70	13	66	0	128	113	0	16	0	28	0	42	0	0	0	1
052665d1-ab75-4f40-be5a-b88154c8beed	0	274	389	54	270	131	64	305	0	0	90	127	6	70	44	0	36
05486349-24a4-4931-bf5f-c9fefe369af2	351	34	32	46	0	49	64	2	0	7	0	6	11	0	5	0	4
0554ffe5-31f7-43f5-8372-2b73c9cf3527	367	15	2	0	3	54	4	4	8	0	0	47	7	1	5	2	4
05616329-e7ba-4efd-87b1-d79cd0f7af3d	274	78	56	16	0	93	22	0	5	2	5	22	34	0	3	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	424	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	308	97	30	21	0	26	38	0	17	2	10	3	33	0	8	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	428	0	0	1	0	2	5	1	0	0	0	0	24	0	0	3	0
05da3161-1444-4188-914d-19762de3a443	436	0	0	0	0	0	4	5	0	0	0	0	26	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	423	0	1	2	0	2	0	1	0	0	0	0	32	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	379	2	4	1	0	49	13	3	2	3	0	0	23	0	2	0	9
0624eb1d-3aff-4037-a3c5-fc363a9edd02	384	11	0	0	0	36	4	3	0	0	0	0	27	0	0	0	7
062e96d4-c623-11e3-bf01-24c6515278c0	255	67	31	43	10	96	76	17	29	28	2	9	24	22	16	3	10
063cfacf-9933-4a2d-8921-0aeb76e12779	409	17	5	14	0	1	15	0	0	0	0	0	28	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	0	364	534	155	0	25	42	0	17	0	0	59	138	28	11	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	359	36	22	2	0	40	28	0	9	0	4	0	27	9	2	2	4
06dad93a-4b67-49b3-8fa5-f2546e22bae7	181	112	70	89	73	104	67	34	28	33	42	20	47	0	8	44	15
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	282	75	31	49	20	69	59	0	40	1	4	9	19	17	6	0	4
072f4146-c623-11e3-bf01-24c6515278c0	401	3	0	0	4	32	7	1	3	6	0	0	31	0	0	0	1
074fd614-5d9c-4bcc-96ad-351aa14387e3	334	24	9	13	0	70	34	0	5	2	3	0	32	0	5	0	0
07531318-87e8-4db8-aa61-9b93597d063b	328	56	6	0	0	64	43	4	24	0	9	0	30	5	0	5	0
075fc96d-6742-4ef3-9369-482592ad3a2f	220	0	130	0	270	0	370	1422	185	0	595	145	58	200	56	9	98
07835447-5d7e-4828-80fd-89b063989c9a	310	70	39	15	27	52	68	16	24	15	1	0	17	1	1	0	15
079bcb09-a075-4313-9a3e-dd67734a8c5d	191	109	107	53	98	138	21	29	0	31	17	37	9	0	1	1	6
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	399	19	21	0	0	2	52	1	0	0	30	0	33	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	187	33	96	0	258	147	0	10	0	76	22	25	10	18	0	29
07d20658-3db4-47e7-877b-66536266edfc	208	144	37	34	0	96	121	0	31	6	9	0	0	4	5	31	0
07e0e938-f61f-477a-92a2-5b7e74b78943	155	214	75	0	0	93	38	0	37	0	52	58	23	24	11	0	2
07f16397-71bb-4594-ad4d-caa7d2baeabd	262	114	24	52	0	38	146	0	0	0	74	0	39	3	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	182	140	137	114	429	70	32	50	0	95	112	0	0	91	15	17	0
08227616-02a5-46e8-9db1-f2d1d691ab23	11	121	6	149	207	264	4	105	40	54	78	105	26	0	11	28	8
0831e45e-c623-11e3-bf01-24c6515278c0	156	147	81	25	0	148	44	0	29	8	0	33	29	2	23	0	5
089be98d-c3c9-4fb4-aef2-7a8578a91d51	206	103	21	89	8	119	127	0	0	0	25	0	43	0	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	218	146	110	80	0	82	157	7	11	0	0	0	25	0	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	320	24	0	0	52	48	0	0	143	0	0	77	20	0	17	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	436	0	0	0	2	0	5	3	4	0	0	0	27	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	390	40	0	0	0	9	7	0	18	7	3	0	32	0	0	2	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	421	12	0	0	0	9	8	1	0	0	1	0	28	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	19	41	453	247	1665	0	0	1230	419	191	291	0	0	215	68	103	181
