MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U
CN[0]	1.06E-06	7.37E-05	2.08E-09	1.51E-10	6.07E-08	0.00E+00	1.12E-08	7.54E-04	2.24E-03	5.47E-03	2.09E-10	3.13E-03	5.78E-09	5.59E-03	3.00E-03	1.45E-08	1.18E-05	2.97E-09	1.55E-03	1.85E-09	3.23E-03
CN[1]	1.18E-04	4.50E-05	7.15E-04	2.06E-04	4.29E-05	1.97E-47	0.00E+00	1.07E-02	1.56E-03	2.70E-03	4.12E-12	1.22E-03	4.44E-04	2.65E-03	1.40E-03	2.28E-03	2.65E-04	5.11E-04	6.12E-04	5.43E-04	9.60E-04
CN[2]	1.82E-03	4.68E-03	1.97E-03	3.58E-03	1.74E-18	1.20E-04	3.77E-04	5.29E-03	9.80E-04	5.13E-03	8.68E-04	3.44E-02	1.81E-03	1.97E-03	4.90E-04	2.09E-03	3.77E-04	2.76E-04	2.44E-03	5.06E-04	9.24E-04
CN[3]	5.43E-06	1.86E-03	4.61E-03	7.71E-03	2.00E-03	1.30E-04	3.24E-04	0.00E+00	3.01E-03	4.12E-04	1.32E-02	3.39E-03	2.02E-03	6.84E-03	1.31E-02	8.96E-03	7.17E-03	5.83E-03	7.69E-03	5.36E-03	7.82E-03
CN[4]	1.38E-09	0.00E+00	1.03E-03	1.15E-03	1.20E-04	4.63E-03	4.71E-04	0.00E+00	1.05E-03	5.76E-03	9.51E-03	2.68E-04	6.43E-04	2.57E-03	3.83E-03	5.39E-03	2.14E-03	2.64E-03	3.00E-03	2.89E-03	4.09E-03
CN[>4 & <=8]	4.06E-09	6.82E-10	6.93E-08	1.32E-07	3.03E-09	6.68E-03	2.23E-03	0.00E+00	3.08E-03	4.76E-07	5.52E-03	9.07E-05	2.62E-03	1.09E-07	3.31E-03	3.10E-03	7.04E-07	8.11E-06	4.37E-08	3.82E-07	1.69E-03
CN[>8]	5.13E-09	3.85E-09	1.27E-09	5.18E-10	2.79E-09	4.39E-04	1.97E-03	1.40E-47	4.42E-05	4.00E-09	5.66E-08	5.46E-09	5.20E-05	2.51E-08	2.12E-08	3.44E-08	4.76E-09	7.53E-09	4.79E-08	2.06E-08	1.25E-04
CNCP[0]	6.79E-04	1.16E-08	9.87E-10	0.00E+00	1.78E-04	0.00E+00	0.00E+00	0.00E+00	5.23E-05	7.23E-05	0.00E+00	5.71E-05	0.00E+00	7.81E-05	3.70E-05	0.00E+00	0.00E+00	0.00E+00	1.16E-05	1.15E-03	3.07E-07
CNCP[1]	0.00E+00	2.98E-03	5.72E-03	6.08E-03	2.77E-03	3.30E-03	8.14E-06	9.20E-03	2.88E-04	1.97E-47	2.30E-03	6.60E-03	1.07E-02	5.09E-03	8.95E-03	2.61E-03	2.30E-03	1.93E-03	8.44E-03	3.91E-03	3.47E-03
CNCP[2]	2.71E-09	9.69E-08	7.86E-04	7.90E-04	1.48E-08	6.85E-03	5.50E-04	0.00E+00	3.94E-03	7.30E-03	1.21E-02	4.80E-03	3.79E-03	3.85E-03	1.35E-03	2.39E-03	9.87E-04	7.70E-04	4.09E-03	6.91E-04	3.33E-03
CNCP[3]	2.05E-09	1.68E-08	5.57E-04	7.99E-04	2.53E-09	1.82E-03	8.39E-04	1.41E-07	2.29E-03	9.55E-04	2.78E-04	2.82E-04	5.72E-04	1.33E-04	1.25E-03	8.03E-04	1.01E-04	1.12E-04	1.01E-03	6.91E-04	1.11E-03
CNCP[4]	5.23E-09	2.27E-09	5.58E-05	2.37E-04	1.68E-08	8.02E-04	5.27E-04	1.78E-09	1.24E-03	3.53E-04	5.93E-06	5.87E-05	6.22E-05	1.61E-05	3.97E-04	2.24E-04	3.95E-08	1.28E-07	5.98E-06	1.08E-04	4.16E-04
CNCP[>4 & <=8]	3.67E-09	3.11E-09	1.58E-07	4.70E-05	7.57E-09	4.67E-04	1.01E-03	1.03E-10	1.25E-03	3.48E-04	7.03E-10	4.75E-08	2.36E-08	1.56E-08	9.54E-05	4.50E-07	9.61E-09	1.18E-08	1.66E-09	3.66E-07	6.92E-05
