MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L
BoChr[10]	3.78E-06	5.34E-04	1.34E-04	4.76E-04	2.75E-04	2.77E-04	5.26E-04	7.53E-05	0.00E+00	4.40E-04	6.72E-04	2.06E-03
BoChr[11]	8.67E-07	8.36E-04	2.62E-04	3.38E-04	4.67E-04	1.68E-04	5.22E-03	3.04E-03	1.56E-03	1.46E-03	1.11E-02	9.18E-03
BoChr[12]	5.57E-09	5.16E-04	3.14E-04	1.92E-04	3.20E-04	2.14E-04	9.13E-04	3.35E-03	1.61E-03	2.13E-04	4.72E-03	3.13E-04
BoChr[13]	3.50E-06	3.15E-04	4.22E-04	3.55E-04	3.05E-04	2.64E-04	6.84E-04	1.79E-04	1.65E-05	4.30E-04	4.03E-04	6.88E-04
BoChr[14]	9.00E-06	2.76E-04	1.73E-04	2.63E-04	1.97E-04	1.48E-04	6.87E-04	5.68E-05	1.09E-04	3.34E-04	9.43E-04	4.55E-04
BoChr[15]	6.31E-09	2.01E-04	1.27E-04	2.08E-04	1.23E-04	1.33E-04	6.27E-04	1.67E-04	8.89E-05	3.89E-04	7.33E-04	5.62E-04
BoChr[16]	5.58E-07	1.92E-04	2.14E-04	1.60E-04	2.56E-04	6.80E-05	5.88E-04	1.59E-04	1.13E-04	3.00E-04	4.25E-04	5.70E-04
BoChr[17]	9.01E-06	1.09E-04	4.76E-04	2.11E-04	2.91E-04	8.35E-05	5.58E-03	2.65E-04	1.16E-03	1.02E-03	7.49E-03	8.89E-03
BoChr[18]	1.44E-06	3.36E-04	5.38E-04	5.95E-04	9.22E-05	3.47E-04	1.05E-03	2.48E-04	1.07E-04	4.21E-04	1.09E-03	1.18E-03
BoChr[19]	2.88E-07	6.43E-05	9.47E-04	6.33E-04	4.18E-04	2.54E-05	2.44E-03	1.05E-03	2.18E-04	1.63E-03	2.15E-03	2.65E-03
BoChr[20]	2.83E-09	2.56E-04	6.99E-04	2.55E-04	3.85E-04	2.93E-05	1.81E-03	5.82E-04	4.04E-04	6.95E-04	1.40E-03	1.87E-03
BoChr[21]	7.70E-06	2.28E-04	2.46E-04	2.45E-04	2.93E-05	2.32E-04	3.76E-04	5.79E-04	9.26E-05	2.53E-04	2.20E-04	3.74E-04
BoChr[22]	7.41E-06	5.36E-05	3.10E-04	2.88E-04	7.64E-05	1.71E-04	9.44E-04	9.84E-05	4.48E-05	3.43E-04	6.51E-04	8.20E-04
BoChr[23]	1.41E-05	4.12E-04	5.45E-05	3.76E-04	1.00E-04	3.14E-04	3.20E-04	1.26E-03	2.37E-04	7.36E-04	3.52E-04	7.22E-04
