Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
4b44b313-6f74-4233-bec4-7e41c91c77f1	168	165	96	64	64	0	3	0	83	1	0	35	0	0	0	0	1	4	5	12	0	0	5	0	0
4b5d9d8c-ff95-45f4-9287-2804e8a98ade	361	54	13	10	13	0	0	3	41	5	0	4	0	0	0	15	1	1	1	4	1	1	0	7	2
4b7a704b-e516-4275-be11-45cc935237e2	397	22	0	2	0	0	2	0	10	4	1	21	0	5	2	21	0	0	0	1	0	0	1	0	0
4b8943be-c623-11e3-bf01-24c6515278c0	47	193	40	156	0	181	82	153	21	75	85	51	39	20	38	119	2	59	22	0	110	4	0	4	0
4b8c6b0c-0d0c-4834-a2f3-691e0919b902	367	37	18	5	0	0	7	0	12	3	2	25	0	0	3	21	0	0	0	1	0	1	0	0	0
4b91ece6-c9b2-4889-b18c-c63eb58eb061	371	34	8	6	0	0	0	0	2	0	1	27	0	2	1	17	0	0	0	0	0	0	1	0	0
4bae2f08-da75-4991-acb8-5ba9912f9131	405	4	4	0	2	0	0	0	2	0	0	26	0	0	1	17	0	0	0	0	0	0	0	0	0
4c027164-12de-456f-b933-6bc91f70b46f	312	66	16	67	83	0	0	0	54	2	0	36	0	16	0	12	0	0	0	0	0	0	37	13	1
4c183106-c622-11e3-bf01-24c6515278c0	340	69	17	0	0	0	4	3	17	0	1	17	2	6	2	18	5	3	0	1	0	0	0	0	0
4c2ad4a0-5d57-4e27-9f35-058b2f205f50	8	83	191	68	161	46	210	34	167	6	22	59	22	26	142	20	7	6	14	2	14	26	7	3	0
4c3840df-9824-40db-879e-6d24adc8c155	123	177	63	4	62	52	65	0	0	8	12	28	81	29	19	14	5	0	0	8	0	0	3	14	13
4c3eda94-56f4-46d3-8c88-50d476e773f6	379	28	19	0	1	0	0	0	8	0	1	24	0	0	2	19	0	0	1	0	0	0	0	0	0
4c3f733d-5fd5-4f67-af5f-8c36c5b37be2	418	2	0	0	0	0	0	0	5	1	0	22	0	0	0	21	0	0	0	0	0	0	0	3	0
4c4aa1b1-fda3-4c5b-b588-68aa727500ad	294	79	17	35	3	11	37	0	30	2	1	25	5	0	5	15	1	0	17	0	0	0	0	5	0
4c5228b5-bf31-4abd-a47c-d088e16dba13	130	193	48	66	25	13	34	5	42	119	8	44	4	0	2	20	3	14	0	31	5	7	1	0	0
4c59fb2d-21b6-4b09-8174-6102de736e4d	36	101	0	304	261	496	0	0	43	71	1409	71	265	211	1021	172	392	38	1	241	239	0	28	79	0
4c755527-3b5d-4d36-822d-990aa1003d6a	315	74	9	5	17	0	33	0	24	0	0	30	0	0	9	10	1	0	0	0	4	0	0	0	0
4c8afa82-c623-11e3-bf01-24c6515278c0	98	183	156	146	31	0	0	0	65	5	16	53	0	27	21	8	16	1	6	0	0	1	3	20	19
4cbe411b-b05e-46bd-bea8-126289a0866c	121	127	122	125	142	0	58	0	161	12	9	36	0	0	5	1	0	2	9	6	0	0	0	13	8
4ceeb025-2f16-4f80-b9b4-0151346349c6	353	42	17	0	0	0	19	0	8	0	0	24	0	1	0	19	1	1	0	0	1	0	0	0	0
4cfb0aee-6661-478a-8694-9d8ba15e46b7	245	117	52	0	0	16	0	0	15	29	10	0	42	40	6	4	4	2	4	12	1	2	1	9	3
4cff8590-559e-4204-8635-96e11bfeda68	314	74	0	6	69	0	0	14	40	49	4	21	12	40	5	20	2	4	5	0	19	1	10	0	0
4d11d7da-1204-437e-87b1-e8337a67c9a8	289	100	38	0	0	0	0	0	11	38	5	32	9	0	8	15	1	1	1	1	6	3	4	0	0
4d121008-0987-4142-a2b8-7dac58f3110a	331	68	0	0	7	0	31	0	14	0	0	23	0	0	2	18	1	1	0	0	3	0	0	0	0
4d1a4587-adb4-4a65-943e-f19efe8de142	358	51	6	13	12	0	4	0	6	4	0	29	0	8	0	17	5	0	0	0	0	0	0	0	0
4d2204f1-be84-4f58-b7e7-61ae9fbf6d25	274	107	59	13	19	0	0	2	68	15	0	1	0	0	7	12	8	2	5	1	1	1	3	0	0
4d409156-3a36-4c63-9ad6-b6af34f27b06	74	103	76	615	315	319	37	0	3	0	124	0	116	245	0	16	91	12	100	90	0	3	0	58	0
4d4eff82-ede0-47f1-b49a-ada025952114	134	177	67	47	39	14	73	0	81	1	0	22	0	0	21	3	5	2	4	0	6	6	5	7	3
4d690424-b015-46ae-885d-aa6d9031f66f	421	0	0	0	0	0	0	0	3	0	0	23	0	0	0	21	0	0	0	0	0	0	0	0	0
4d6bb438-86f0-4414-962f-2b1cebee4524	387	27	0	0	0	1	0	1	7	5	24	22	0	3	2	21	0	2	0	0	0	3	0	3	15
4d72d06d-b6af-4294-9eef-6e61e067761f	313	55	64	12	2	0	11	0	21	4	0	27	3	1	5	14	3	0	1	0	3	0	0	0	0
4d7f2c74-862b-4aad-98e1-fa831f14a905	264	68	44	7	62	0	59	0	47	10	47	27	27	14	1	19	5	21	3	0	0	1	0	0	0
4daa2708-d0db-40fe-a07a-763f003adcae	332	64	18	2	4	0	8	0	8	0	6	28	0	0	0	13	1	0	0	1	0	0	1	0	0
4dac9498-c623-11e3-bf01-24c6515278c0	202	169	52	32	14	0	0	0	26	23	2	28	2	9	0	8	2	1	1	0	0	3	8	3	8
4db9e471-0068-4ec6-9bcb-33ef5fdec33e	226	112	48	29	0	1	55	0	45	15	0	22	0	0	7	13	2	0	7	11	5	0	0	3	0
4dc9b032-7f7b-486d-a12b-8461af89501d	92	87	101	11	49	27	209	52	14	0	1	65	190	22	30	16	2	9	5	0	4	9	2	0	0
4de7441f-a609-4a75-9fe7-17a647079ac1	394	25	1	10	5	0	0	2	11	11	0	25	3	4	0	22	8	0	0	0	0	0	0	0	0
4e361622-f9a8-4e9b-a89e-19bafebe1d6a	384	24	0	0	0	10	19	0	0	0	0	5	5	21	0	19	1	1	1	1	1	0	1	2	3
4e596add-a7c5-4617-9649-b4ac6612e39c	416	0	6	0	0	0	0	0	2	0	0	23	0	0	0	21	0	0	0	0	0	0	0	0	0
4e7cdeda-6dc1-4f17-b853-72a68e5aa7e1	113	145	25	135	93	302	99	182	0	23	92	17	0	42	32	67	16	5	52	3	2	50	38	0	0
4e7e6e1f-c648-446f-bdf6-0b1fcc6dfa83	295	100	24	8	9	0	0	2	15	2	0	30	4	0	3	11	1	0	0	0	0	0	0	0	0
4e8396f7-9506-4401-96b6-bb2e89557d59	47	80	277	183	178	157	16	18	8	0	16	14	131	137	21	6	34	11	9	0	19	40	0	10	33
4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9	45	162	124	158	58	150	53	83	0	0	208	25	228	24	0	46	90	35	19	7	0	6	0	6	5
4e913899-eeb8-4630-ba9d-41a81ced8069	29	6	268	114	33	194	200	15	14	79	73	24	149	20	0	29	22	12	9	19	4	22	16	8	19
4eac784b-084a-4106-9a76-2d9fbec57033	288	101	26	14	25	0	10	0	36	0	0	29	0	0	8	9	0	1	1	1	0	3	2	4	0
4ecbfd89-393f-4126-aa1c-951a2c23ef89	421	0	0	0	0	0	0	0	3	0	0	23	0	0	0	21	0	0	0	0	0	0	0	0	0
4ed52e0c-c623-11e3-bf01-24c6515278c0	82	83	54	0	22	68	289	29	3	0	46	34	149	6	0	13	11	7	0	16	8	26	0	6	0
4ef20a13-f107-4654-adca-fc60b8f5be47	66	169	198	88	69	0	14	0	104	8	0	42	8	1	28	1	4	1	2	0	12	1	6	16	2
4f1fc78e-733d-4c6e-86b2-dbe1f98c141d	132	123	29	94	91	207	130	47	25	35	77	4	49	25	47	55	40	14	21	0	15	10	0	51	0
4f3c2c94-fa7f-4945-9dff-e4d4dac95f56	267	108	25	0	2	8	38	0	4	0	0	15	6	33	13	20	4	1	2	0	7	0	3	1	0
4f6f48bc-c622-11e3-bf01-24c6515278c0	229	91	50	24	30	83	67	0	6	0	58	5	79	2	5	13	6	13	15	15	0	4	2	1	1
4fdc8980-c623-11e3-bf01-24c6515278c0	148	160	94	61	0	30	35	27	34	10	17	32	46	13	7	23	8	31	12	0	1	0	4	0	3
50203cff-83f8-4884-8346-b91ef717d00e	395	14	0	0	0	0	3	0	4	0	0	24	0	0	0	20	0	0	1	0	0	0	0	0	0
5042b417-d14e-42bb-b6f3-de303346a252	244	138	40	0	0	24	17	0	4	17	2	9	8	33	1	12	3	3	6	2	1	0	1	5	0
5046f1b4-9d95-4841-ba30-691fa44719a2	17	226	175	39	0	110	31	48	20	53	22	13	141	18	30	0	9	24	3	11	10	27	5	3	0
504cdfc5-6721-43ef-b31e-fdf52f0cd9cd	110	108	120	19	57	38	124	0	25	5	3	23	38	52	23	11	10	15	0	20	6	4	5	2	0
504d4cb0-d2dd-420d-82e6-9ec14434a0fc	48	107	127	67	20	90	159	106	6	41	113	35	107	16	5	36	6	46	16	16	7	0	0	13	29
50515723-b495-42a9-8750-e3da288bf6a3	361	44	14	8	15	0	4	0	8	0	0	27	0	7	0	15	1	0	0	3	0	0	0	0	0
507620ef-f0fc-4ac3-a7c0-ea2e36c40f77	217	82	10	154	67	90	106	61	45	0	15	31	33	37	15	59	17	8	7	0	7	53	6	0	2
50a5970d-a0cb-4251-8ab0-74ad0e94be9a	382	25	17	3	1	0	0	0	7	14	0	24	0	4	2	17	0	0	2	2	1	0	1	0	0
50b61288-1412-4104-92e6-8b1a359ef399	50	111	124	186	157	146	177	0	38	0	18	29	93	72	32	1	50	16	40	7	0	4	0	1	0
50e3a421-9741-4cd8-911b-0f47ca518b6a	114	212	8	187	104	21	27	25	108	20	53	42	61	5	0	83	17	10	0	0	7	16	0	8	41
50eb58ba-c623-11e3-bf01-24c6515278c0	147	147	154	68	2	7	0	1	23	11	0	41	12	20	0	5	6	4	0	0	0	3	2	8	0
50ee360c-e3df-4888-9999-ebb88e271d08	221	60	83	56	45	149	73	0	1	0	4	0	19	16	20	14	26	13	6	3	0	17	0	0	34
50f4d836-79a9-4bc7-a63a-7aa29e41d418	314	78	20	6	20	0	0	0	17	0	0	29	0	0	2	12	0	0	1	7	0	0	0	3	0
51206157-94cc-4702-8247-c98283b487aa	405	7	7	0	1	0	7	0	6	0	0	24	0	0	2	19	0	0	0	3	1	0	0	0	0
513bafce-375c-49b0-ae75-6c607abd05d8	345	67	14	9	0	0	0	0	13	0	0	23	0	3	0	17	0	3	1	0	0	0	1	0	0
51458c86-0fdd-470e-b059-1ffbffc92a7f	187	162	0	19	38	12	72	23	59	16	17	15	0	6	8	31	5	11	1	1	0	0	8	3	9
5174f450-0bf7-4237-a53e-844064f0e701	163	187	77	0	0	56	0	0	0	0	0	2	134	0	0	0	6	4	9	0	6	6	3	1	11
51800588-c622-11e3-bf01-24c6515278c0	227	119	47	0	29	0	49	0	28	1	0	29	0	15	14	11	1	3	0	0	1	4	5	1	0
5187e77d-f412-4303-8049-11d1aa1a0235	96	118	103	6	64	0	186	0	57	0	0	42	0	23	30	9	6	5	1	0	4	1	2	4	0
51893d3f-e7f3-43f9-9fd0-c0f25ae96804	141	118	32	249	0	624	42	228	32	52	309	0	0	125	422	134	63	71	76	1	67	0	0	6	0
518d6c1b-8234-40be-9560-6d383d5866fa	331	66	0	34	30	47	5	0	0	0	14	0	10	36	3	7	0	1	2	0	3	1	0	6	26
5193a482-6ed9-4504-bd7c-c8b9e4103577	144	148	81	49	55	2	82	0	61	9	0	36	0	23	23	0	11	1	10	8	0	5	0	2	0
51adf6cf-f422-4d7e-aa46-cc9bf0ef8693	81	191	61	27	0	88	70	126	21	74	30	38	82	44	51	41	6	42	5	14	12	4	0	15	20
51b25b37-f75c-4380-a0f6-5273e0b7ee33	0	65	219	146	63	30	230	13	87	40	2	63	0	65	52	0	3	24	4	21	15	10	1	1	0
51dd1a39-7349-442c-b7e1-7850fb800569	379	31	0	0	3	0	0	0	3	2	0	25	0	4	4	17	1	0	0	0	0	0	0	3	0
51e5a835-eb48-4640-87d0-f40f5e2bff18	409	0	7	0	0	0	9	0	10	0	0	22	0	0	2	19	0	0	3	0	0	0	0	0	0
520b8ab2-c623-11e3-bf01-24c6515278c0	83	190	143	8	4	90	19	67	3	0	29	2	91	17	0	7	20	8	11	0	11	4	0	19	7
522dc834-8367-4f49-b93b-fcba91a2de7e	90	229	0	35	31	1	131	0	25	0	0	27	0	36	3	6	5	1	4	2	3	1	0	0	0
524bbd14-1e1f-479b-9a71-d27fce32d8bc	16	169	88	252	39	260	45	135	34	138	0	32	176	87	115	107	35	9	6	0	2	0	0	263	0
5255d645-d3d2-422e-8449-046cd21f4935	0	120	306	233	84	39	2	0	91	28	93	72	0	78	91	34	20	14	18	11	18	27	0	14	37
526b3796-2cbd-4eec-8273-064b41456279	282	85	52	31	28	0	0	0	21	14	87	38	0	1	7	9	0	21	0	0	22	0	0	0	3
52910a60-bb15-4ba5-9d09-50d8ee6a445b	42	52	166	121	126	89	111	100	98	182	54	4	46	105	0	89	9	23	36	1	38	40	26	0	0
52d8ccfc-c623-11e3-bf01-24c6515278c0	125	163	92	45	46	43	53	42	37	0	59	24	39	64	54	44	11	7	4	6	0	42	0	0	0
52f2d49e-f24d-41d2-9f73-33bd1cc51bba	399	12	0	0	3	0	0	0	0	0	0	27	0	1	1	17	0	0	0	0	1	0	0	0	0
52f43b72-15ea-40a0-a3b4-4bf22bc0bf25	248	76	52	23	12	3	68	0	34	2	0	24	8	10	10	9	2	7	2	0	13	0	0	3	0
5310f698-d31a-4628-84b4-dc9ac29722a5	258	104	44	17	17	20	6	0	19	40	3	27	0	19	11	8	0	0	32	0	3	3	4	0	0
532259b8-c622-11e3-bf01-24c6515278c0	14	136	212	84	41	95	141	9	17	41	0	25	15	73	19	0	3	5	4	13	7	1	17	8	22
532bec86-b8d3-41a1-ba17-913a7d378f66	51	73	214	189	124	110	101	0	69	57	103	71	28	101	98	41	10	58	5	39	15	4	4	1	0
534d941c-ec2d-47eb-b2dc-d3f856d0b151	369	42	0	0	0	2	14	1	5	0	2	24	1	0	0	20	0	1	0	0	1	0	0	1	0
53534b3c-cd15-4d68-a9b1-6902bb234c45	5	196	165	162	119	61	28	29	81	56	12	49	19	93	58	48	21	81	0	8	0	12	0	0	3
536dedba-46c4-4a21-b112-13c030b13069	178	124	150	70	0	0	0	0	48	22	2	38	0	0	0	2	3	1	0	5	2	2	1	0	1
537cccf2-fb25-448b-813e-ca5d5642b910	411	0	0	0	0	0	0	0	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	0	0
53ac794d-1067-43e0-8dc0-43b131f43ec5	418	1	0	0	1	0	6	0	3	0	0	25	0	0	0	19	0	0	0	0	1	0	0	0	0
53bb7112-3e38-45fe-a9c4-1b0871babf4a	36	246	0	45	126	106	109	54	13	44	82	31	56	66	35	96	6	3	1	0	18	20	0	5	16
53bcbb68-addd-47fc-9910-cd1d3f38197d	0	0	402	293	212	412	8	26	19	0	7	12	0	111	126	0	38	36	25	41	43	17	33	18	37
53d32d8b-5649-42b0-8c52-2c39af2a961b	191	137	0	37	106	103	43	0	4	49	44	12	16	47	0	40	12	65	0	31	0	6	0	0	0
53dec97d-0464-4ffd-8e2e-95b2b9a03af0	71	189	183	148	33	0	0	6	33	0	5	45	0	65	0	0	3	1	5	4	16	3	2	8	4
53df19a8-c623-11e3-bf01-24c6515278c0	115	96	207	73	21	91	44	0	12	0	41	3	60	62	39	10	24	4	2	13	15	3	6	5	65
53e6a756-bdcc-4217-afe7-27d776159544	302	72	22	7	2	0	48	0	16	5	1	30	6	0	3	10	2	0	0	4	1	1	1	0	0
54195db3-94a9-4538-8bb8-9953d936acd4	0	0	275	151	299	1	182	0	169	0	0	97	0	132	195	0	17	13	10	10	4	12	2	32	4
541f91bd-7e9d-4348-9e78-45b948d8967e	249	141	41	17	13	0	0	0	10	7	0	29	25	22	2	17	1	0	1	0	0	0	3	5	0
54319e3d-c28f-4ba1-9c87-299d303e4de3	242	132	47	13	19	0	15	0	35	0	0	28	0	0	0	9	0	1	0	0	3	1	3	1	0
54354d24-c622-11e3-bf01-24c6515278c0	265	116	19	5	0	0	28	0	17	1	0	22	1	8	5	18	1	5	0	0	1	0	1	1	0
54426b1a-e0d3-4d8e-9e81-2d8e6b153b22	397	14	0	0	2	0	3	0	1	0	0	26	0	0	0	18	0	0	0	0	0	0	0	0	0
546b97b0-ab82-42a1-bbd2-241523278ec3	404	5	1	0	0	0	0	0	0	2	1	27	3	0	0	17	0	0	0	0	1	0	0	0	0
546b982f-60d9-43df-9761-09369afbee2d	274	74	37	48	27	24	0	14	30	0	165	27	28	5	73	36	12	1	0	0	0	91	0	36	0
54842328-9432-4820-8976-7964bf9bf147	389	17	0	0	0	0	5	0	4	0	0	24	0	0	0	20	0	1	0	1	0	0	0	0	0
54a77010-2f16-4da9-8ca0-746a51801a00	11	104	182	228	134	154	65	135	12	41	81	42	181	137	60	31	21	6	22	72	77	15	0	16	19
54cfd4b0-c623-11e3-bf01-24c6515278c0	199	130	20	4	1	3	108	0	18	9	0	25	0	20	13	12	1	4	0	4	8	0	0	1	0
54e78de0-d357-4125-a904-ab35e461572b	0	41	355	23	77	145	12	35	9	153	128	57	296	30	81	30	31	16	7	25	23	39	7	7	5
551d5082-ab6a-4674-af0d-ce408f589949	240	83	98	64	21	1	20	0	69	14	0	36	4	0	18	4	0	0	15	0	12	1	4	0	0
5533240d-8fed-440d-b781-6092785a77ce	54	238	37	10	13	78	77	0	0	27	70	30	154	0	37	11	1	21	26	0	1	1	4	0	58
55345803-83d4-4fdb-b0ee-328753801da1	204	155	57	57	47	0	0	0	62	5	24	27	0	17	20	21	0	6	1	1	0	4	0	11	18
554b9439-7e11-43ec-8bc3-448c59100b9e	0	120	243	207	71	217	81	55	0	12	66	23	275	26	0	14	11	15	20	33	14	2	17	12	34
558239c7-a160-4228-8fdf-a0a1d2f62133	102	199	9	9	0	59	136	49	1	19	23	15	28	36	11	22	4	4	12	0	10	6	0	5	14
559c30f2-8ae7-43c8-819c-800261065e06	338	66	7	0	18	2	0	0	2	0	0	12	10	21	0	16	0	0	0	0	2	0	1	4	1
55ada396-0878-4724-8ebe-00da367eed3d	0	69	279	274	70	10	140	16	133	11	3	65	62	46	0	41	13	6	12	26	9	7	5	11	1
55c75a2a-f3d2-4469-9d23-604cf539d548	374	37	15	0	0	18	2	0	2	0	0	0	14	15	0	18	1	1	2	1	2	1	1	2	3
55c82198-5be6-4cc5-b5b3-b707af234107	406	13	3	0	0	0	0	0	8	0	1	23	0	0	2	20	0	0	0	1	0	0	0	0	0
55e520f4-0e4b-41a2-9951-c4e9f323100b	394	17	4	3	0	1	0	3	0	0	2	28	0	0	0	15	0	0	0	0	0	0	0	0	0
55e5497a-c623-11e3-bf01-24c6515278c0	272	69	69	12	0	0	36	0	13	0	0	28	0	20	17	12	6	3	7	0	0	0	0	0	0
561fd34c-7c7d-4df0-bbfc-3d31147ca562	162	197	57	24	44	0	0	7	25	5	0	35	0	28	24	1	1	0	3	2	2	0	2	3	0
56425c2e-6bbf-4b20-ba07-79a526dd4603	400	10	0	0	1	0	6	0	3	0	0	23	0	0	0	18	0	0	1	0	0	1	0	0	0
5650dc4e-8bce-4716-9199-cd5750d7a888	273	89	9	11	19	76	53	16	0	3	26	18	56	1	7	34	2	0	0	0	0	24	12	1	5
565e656c-d5e3-4fe4-a10c-2e9ca1e498b5	386	17	11	1	0	0	0	0	0	1	2	28	4	1	0	16	0	0	0	0	0	0	0	0	0
56681386-d407-4f53-ae4f-6c04437652f7	277	97	30	8	6	0	38	0	26	0	0	23	0	1	0	22	1	0	1	0	0	0	0	1	4
569393c8-e2fe-4580-a45b-81f1b1e01135	0	0	222	985	173	412	0	227	79	76	104	61	287	247	31	171	73	23	43	75	44	73	54	97	54
569ff1b4-de87-4309-8484-80549aaf9485	227	159	0	0	32	0	24	0	26	7	0	18	0	8	0	19	1	0	1	0	0	0	8	3	0
56c846d6-c622-11e3-bf01-24c6515278c0	352	48	21	15	10	0	0	0	12	7	1	28	4	6	0	19	8	0	0	0	0	0	0	0	2
56cc8740-b132-4cbc-b513-f0b5b2305ca6	2	131	206	227	71	229	47	0	49	77	177	36	80	38	87	45	107	7	1	19	15	15	0	9	140
56d4ea48-c623-11e3-bf01-24c6515278c0	179	201	56	19	0	0	0	2	26	8	0	30	1	10	12	11	2	3	1	3	0	0	3	1	0
56ddcb96-e90b-4fce-aa4c-c677bbfee488	188	68	0	496	0	295	0	262	2	0	707	89	0	143	194	208	0	6	0	0	584	1	0	0	0
56e57223-264e-489d-bc9a-a07789065c40	329	64	23	13	0	0	0	0	9	18	2	29	0	0	0	13	0	0	1	0	1	0	1	0	0
56ffaa35-814c-4c0b-b3c6-d4514d34fec2	67	212	31	42	51	61	145	0	11	0	0	8	36	50	19	0	7	0	4	0	0	8	35	5	0
5702affd-eafe-42a4-8f56-c1f22f8f184d	414	0	0	0	0	0	0	0	10	0	0	14	0	0	0	20	0	0	1	1	0	1	0	0	1
5714b52d-7048-41b5-8141-bf42d960abe4	406	2	7	0	0	0	12	0	3	0	0	24	0	0	0	19	0	0	0	0	1	0	0	0	0
571ce258-b453-4cac-b05e-05755791be84	355	48	0	0	0	0	21	0	8	0	0	22	0	2	0	23	0	0	0	0	1	1	1	1	0
573ee34b-43a7-40d8-95ee-0ced4b46a7c8	351	56	8	6	4	0	0	0	6	1	0	26	0	6	4	14	0	0	0	1	0	0	0	5	0
5769ae11-5f1b-483f-b228-7584591c66e6	210	83	67	8	10	17	93	0	36	10	28	22	14	0	10	12	5	11	0	0	0	1	1	4	10
576a1741-8c65-40da-9f0f-b2ca805d70f3	145	170	125	57	27	0	18	0	73	14	0	18	0	9	12	6	8	0	5	9	1	1	9	1	1
577d5c9e-fbda-41d5-b0b3-cdb733453ea5	372	17	27	6	5	4	5	0	6	0	0	26	3	0	3	14	6	0	0	0	0	0	0	0	0
578ba169-1d2f-4187-b174-082bbc6a5bd2	370	30	32	6	0	0	0	0	10	0	1	25	0	0	0	16	0	0	0	0	2	0	0	0	0
57947014-053e-4c34-b6a7-9e6f36f48010	406	2	7	0	0	0	12	0	3	0	0	24	0	0	0	19	0	0	0	0	1	0	0	0	0
5808f774-c623-11e3-bf01-24c6515278c0	49	212	111	90	27	1	74	27	65	44	0	41	29	9	0	0	5	0	0	12	4	4	5	6	0
581be6cf-9778-49c3-9c77-1316eaa78929	421	0	0	0	0	0	0	0	3	0	0	23	0	0	0	21	0	0	0	0	0	0	0	0	0
589daa3f-0b76-4c9c-b494-048955e36052	379	25	5	0	0	13	0	0	0	0	48	23	0	7	15	10	3	24	1	1	0	0	0	0	0
589e0aea-9057-4b8c-8af1-74c74fe46a38	320	66	60	15	0	0	0	0	56	1	0	7	0	0	11	16	1	0	2	8	0	1	0	0	0
58c7e9c3-1345-48c0-a758-0887358b8696	415	0	0	0	0	0	0	0	16	0	0	10	0	0	0	20	1	0	1	0	0	0	0	1	0
58d3e932-b4a3-4cac-a6ac-73160e354a15	36	221	5	190	0	196	90	0	12	163	390	32	9	16	112	65	18	4	34	0	0	248	0	0	0
58e2453c-bb58-43a3-9642-705ec0e0bdbd	393	15	15	1	0	0	7	0	4	0	0	25	0	0	0	18	0	0	0	0	1	1	0	0	0
58f4ff52-c623-11e3-bf01-24c6515278c0	244	101	77	0	0	23	11	10	7	22	2	34	22	0	15	4	4	14	0	4	3	0	0	0	0
58faf969-bf37-4180-8807-2f44f2cc8eda	21	85	271	43	66	0	134	0	151	0	0	33	0	2	108	0	8	5	6	18	6	1	7	7	0
5912d4b3-2d5d-4b98-b967-1b4ff177097a	215	133	0	4	11	0	74	45	28	20	2	25	27	12	26	42	13	1	0	0	2	1	0	0	14
5935dd9d-d411-48f8-8512-aa73a63878b0	417	0	0	0	0	0	9	0	1	0	0	10	0	22	0	20	0	1	0	1	0	0	1	2	2
59632e7e-c622-11e3-bf01-24c6515278c0	42	167	176	122	41	72	63	0	22	0	0	22	121	95	41	0	21	18	66	0	3	1	3	9	0
5975deb5-00d2-4d18-b5c0-34ac9947fe11	183	159	67	13	3	0	19	0	23	19	7	23	20	17	0	8	1	3	1	0	5	0	0	1	11
597e4011-ea99-4356-b1d9-8cfe35db7c3b	210	129	66	16	35	1	41	0	53	3	1	30	10	0	6	8	0	0	0	3	1	0	1	2	1
59938f45-3e57-43d6-af3b-bb4968249e5a	133	188	120	29	0	0	10	0	57	40	2	35	19	0	23	6	0	1	1	5	6	1	4	1	0
59bfcb53-91c1-4dce-856a-f4afc8fa6224	411	0	0	0	0	0	0	0	1	0	0	24	0	0	0	19	0	0	1	0	0	0	0	0	0
59c18694-8a43-41dd-a6f6-52a20bc8dd54	132	148	154	22	0	0	0	0	36	120	9	48	37	0	18	8	5	2	3	3	2	11	1	2	0
59e2d6d1-debd-4796-ab0c-6a5673a990fc	407	6	0	0	0	0	12	0	3	0	0	6	0	30	0	20	0	1	0	0	2	0	1	2	2
5a51a6fc-c623-11e3-bf01-24c6515278c0	312	90	0	0	3	2	7	0	7	7	2	23	1	0	0	21	1	1	0	0	0	0	2	1	0
5a535c49-d42e-43c6-9d32-dc76f28d4f0f	358	47	11	7	0	0	0	0	1	2	2	28	3	1	0	15	1	0	0	0	0	0	0	0	0
5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c	165	132	110	36	0	123	47	20	0	0	37	0	0	7	0	0	2	18	4	0	9	1	43	6	1
5a7f3c88-ef02-4e97-8009-5622245b6a09	273	120	8	22	21	20	0	0	5	0	0	2	48	35	0	19	2	2	2	0	2	1	28	2	0
5ab6a1d3-76f8-45d4-a430-d9831daa9ec4	272	92	0	0	0	8	69	0	10	15	0	17	0	5	0	13	0	1	2	0	6	0	0	5	0
5b178f44-c622-11e3-bf01-24c6515278c0	206	152	38	23	0	0	44	0	42	12	0	13	0	6	0	18	3	2	0	0	2	10	0	2	0
5b180356-cf58-4fad-a3d4-00fc12b43fcc	97	216	93	86	0	46	0	0	1	52	18	19	55	63	8	22	3	7	3	0	2	4	0	49	8
5b41e033-6df8-411e-a13b-59eeb8afbf9b	152	187	66	40	10	46	0	35	0	33	54	32	69	28	1	28	5	1	5	33	0	1	23	5	0
5b4b2312-acb5-4329-8d46-7f93213e3daf	374	31	24	13	0	0	0	0	12	0	1	26	0	0	1	15	0	0	0	0	0	0	0	2	0
5b560f4c-d2a3-43fa-b394-abef78bdefc1	21	186	151	88	43	10	103	0	74	24	34	32	0	21	19	20	5	14	3	1	6	10	2	0	28
5b7d5767-2037-4175-aec9-886776343181	136	137	5	233	149	282	51	61	0	12	267	47	92	0	10	49	10	34	3	0	0	37	0	97	67
5bb37ffc-c623-11e3-bf01-24c6515278c0	177	210	33	6	0	68	0	40	1	18	0	3	0	23	0	3	1	7	1	2	3	5	10	1	15
5bcf473f-417d-47a5-9745-ac7faf830b1f	189	177	25	19	58	36	0	0	6	27	0	13	14	59	12	20	0	1	0	6	2	1	0	21	16
5bdca282-c671-48ff-b32b-2380996016c0	392	20	0	0	2	0	0	0	2	0	0	26	0	0	3	18	0	0	0	0	0	0	1	0	0
5beafbbb-4613-4bab-977a-11c865e13a84	299	81	22	26	12	0	0	0	12	6	45	30	0	18	9	16	1	29	1	0	1	0	0	2	0
5bebc389-de0d-45b8-9d2f-6476988c358a	424	0	0	0	0	0	0	0	16	0	0	10	0	0	0	22	1	1	1	0	0	0	0	1	0
5c02d399-07af-4573-a568-bc1b256bc8f8	421	0	0	0	0	0	0	0	3	0	0	23	0	0	0	21	0	0	0	0	0	0	0	0	0
5c156f63-6537-4d93-a6c2-4155618cf638	398	8	7	0	0	0	9	0	7	0	0	22	0	0	0	21	0	1	0	1	0	0	0	0	0
