Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S	SBS80T	SBS80U	SBS80V	SBS80W	SBS80X	SBS80Y
03b5268e-881e-49e7-824f-170c3fc8b11b	203	161	35	0	0	50	37	0	0	0	39	3	21	7	17	11	7	5	1	0	1	1	5	20	7
03c3c692-8a86-4843-85ae-e045f0fa6f88	0	3	213	88	73	137	247	89	47	81	84	39	170	99	83	59	27	15	10	0	14	77	10	6	34
03c88506-d72e-4a44-a34e-a7f0564f1799	192	158	73	58	0	1	27	0	51	2	0	22	0	17	18	11	6	6	5	17	1	1	0	0	0
03ced0ce-186a-4349-8d98-572c2bc90382	0	112	156	166	127	248	137	122	0	85	41	32	129	109	19	56	20	10	29	84	4	4	18	3	0
03cff38d-7e29-4409-a508-749bddb1b3df	0	53	343	90	143	58	47	0	44	62	0	38	167	142	89	12	6	9	11	13	26	22	29	5	10
041e3b42-c623-11e3-bf01-24c6515278c0	138	195	59	69	16	43	16	33	37	24	0	28	14	11	1	19	33	3	18	0	0	0	2	8	0
04339769-517c-448d-a7ca-951f83608c60	290	51	22	46	24	0	59	0	39	0	51	33	0	0	28	14	0	4	0	0	0	4	32	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	55	0	0	744	725	270	0	112	216	181	70	175	217	254	123	226	66	24	95	43	11	165	19	5	0
046d7386-95c8-4501-9e55-c85bec272a7a	83	65	183	209	149	5	118	0	217	25	0	45	8	0	9	0	13	5	13	19	1	1	1	18	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	139	136	104	87	12	15	24	21	45	62	89	26	8	53	14	44	10	3	0	15	11	17	10	0	40
04aa6b77-8074-480c-872e-a1a47afa5314	45	189	191	56	0	50	48	21	24	0	6	15	40	79	41	0	22	4	18	2	7	5	10	4	6
04b570c2-3224-4e9b-81cc-089b4a7ff07a	384	33	9	0	1	0	0	0	10	3	0	24	0	0	4	18	0	0	0	0	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	203	164	0	0	0	19	81	0	11	0	0	0	40	18	0	13	2	1	2	2	5	1	1	5	0
04c09376-8756-41d9-bbca-f464170a8cfb	166	125	138	111	79	6	0	12	33	3	15	40	35	111	54	18	10	6	8	1	11	0	1	1	2
04db8bef-8777-48ac-bc2e-3c9acb103f48	335	67	0	3	0	4	13	0	0	0	1	16	2	20	0	18	0	1	0	0	5	1	3	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	232	106	48	3	120	13	17	11	79	10	3	24	0	0	17	15	1	0	30	0	0	12	0	2	5
051cb117-16fd-459e-81e5-002eca2b7eea	395	17	0	0	0	0	0	0	3	0	1	5	0	33	0	19	0	2	1	0	1	1	1	1	1
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	185	122	45	35	63	0	72	0	70	15	0	39	0	0	13	12	0	1	2	12	1	0	13	2	0
052665d1-ab75-4f40-be5a-b88154c8beed	0	108	254	337	68	203	22	24	39	0	195	22	46	83	35	100	30	28	5	6	41	0	24	0	190
05486349-24a4-4931-bf5f-c9fefe369af2	298	95	20	29	47	0	14	1	44	0	0	18	0	15	1	21	0	3	0	0	1	0	1	2	1
0554ffe5-31f7-43f5-8372-2b73c9cf3527	332	67	10	0	0	1	21	0	4	0	0	12	27	20	0	18	2	3	1	0	1	1	1	2	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	209	160	36	37	33	2	14	0	15	3	0	33	4	25	4	5	0	3	0	25	0	1	0	1	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	411	0	0	0	0	0	0	0	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	248	113	56	23	31	0	0	2	25	14	0	34	5	10	10	12	1	5	0	4	0	0	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	400	12	0	0	2	0	1	0	6	0	0	22	0	1	0	18	0	0	1	0	0	1	0	0	0
05da3161-1444-4188-914d-19762de3a443	420	0	0	0	0	0	0	0	6	0	1	23	0	0	0	21	0	0	0	0	0	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	399	12	0	0	3	0	0	0	0	0	0	27	0	1	1	17	0	0	0	0	1	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	336	70	0	2	6	0	9	0	10	1	7	22	0	6	0	13	0	1	0	0	1	0	1	5	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	346	54	7	0	0	0	8	0	5	0	0	23	0	4	1	20	0	0	0	0	1	0	0	3	0
062e96d4-c623-11e3-bf01-24c6515278c0	198	138	54	36	35	2	32	18	53	28	1	26	13	23	8	41	13	9	2	0	2	2	1	3	0
063cfacf-9933-4a2d-8921-0aeb76e12779	381	21	10	5	16	0	0	0	10	0	0	26	0	1	0	14	0	0	0	5	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	56	0	340	333	201	0	27	0	34	18	0	114	0	170	0	0	20	8	0	29	7	0	6	10	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	296	112	9	21	13	0	0	0	18	10	0	28	0	3	4	16	5	1	1	0	3	1	0	3	0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	81	223	81	55	93	52	5	18	48	40	24	42	12	42	33	46	5	4	4	0	31	22	0	6	0
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	244	101	47	27	54	20	25	0	38	41	1	27	5	18	4	8	11	3	3	0	3	0	0	5	0
