MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
BoChr[4]	2.17E-09	9.48E-04	8.19E-04	2.64E-04	3.84E-04	2.73E-04	5.72E-04	2.76E-04	9.45E-04	4.74E-04	3.39E-03	1.79E-03	3.90E-03
BoChr[5]	2.24E-06	6.79E-04	7.32E-04	2.57E-04	1.43E-03	4.22E-04	4.63E-04	7.33E-04	6.70E-04	6.34E-04	4.74E-03	3.87E-03	2.85E-03
BoChr[6]	5.88E-06	1.33E-03	1.22E-03	5.64E-04	1.21E-03	1.69E-03	6.43E-04	3.60E-04	8.65E-04	2.58E-03	6.24E-03	2.95E-03	6.04E-03
BoChr[7]	1.22E-05	9.68E-04	7.76E-04	2.27E-03	1.33E-03	5.07E-04	2.82E-04	1.90E-04	1.71E-03	8.22E-04	5.23E-03	3.94E-03	4.44E-03
BoChr[8]	2.92E-07	1.14E-03	2.06E-03	2.11E-04	8.76E-04	2.74E-04	5.13E-04	6.49E-04	7.12E-04	1.55E-03	1.68E-03	3.11E-04	1.36E-02
BoChr[9]	4.10E-07	5.53E-04	5.09E-04	1.22E-03	8.46E-04	6.65E-04	4.34E-04	8.33E-05	5.06E-04	4.32E-04	1.87E-03	2.70E-03	2.71E-04
BoChr[10]	3.62E-06	5.14E-04	6.72E-04	3.23E-04	3.62E-04	1.35E-04	3.05E-04	0.00E+00	4.43E-04	4.85E-04	6.11E-04	7.16E-04	2.12E-03
BoChr[11]	4.29E-07	4.82E-04	8.62E-04	5.08E-04	1.66E-03	2.84E-04	2.63E-04	1.62E-03	2.46E-03	2.92E-03	5.66E-03	1.05E-02	8.12E-03
BoChr[12]	5.72E-09	3.74E-04	5.72E-04	2.07E-04	8.66E-04	3.12E-04	3.03E-04	2.05E-03	3.90E-04	1.98E-03	7.56E-03	2.65E-03	3.65E-03
BoChr[13]	2.63E-06	3.68E-04	4.32E-04	3.30E-04	3.28E-04	6.42E-04	3.03E-04	1.24E-05	4.32E-04	1.89E-04	7.75E-04	9.34E-04	3.68E-04
BoChr[14]	1.29E-05	3.13E-04	3.99E-04	2.07E-04	3.62E-04	2.31E-04	1.31E-04	1.13E-04	3.85E-04	1.82E-04	1.42E-04	1.62E-03	2.65E-04
BoChr[15]	7.88E-09	2.04E-04	2.74E-04	1.36E-04	2.70E-04	1.61E-04	1.03E-04	8.71E-05	4.30E-04	1.69E-04	1.48E-04	1.19E-03	1.73E-04
BoChr[16]	2.59E-07	1.57E-04	2.09E-04	2.36E-04	3.41E-04	2.71E-04	3.94E-05	9.86E-05	3.23E-04	3.08E-04	3.49E-04	7.72E-04	2.10E-04
BoChr[17]	6.02E-06	5.50E-04	1.28E-04	2.08E-04	6.51E-04	4.69E-04	2.14E-04	9.57E-04	6.58E-04	1.11E-03	2.02E-03	1.17E-02	6.37E-03
BoChr[18]	7.15E-07	6.45E-04	6.96E-04	1.12E-04	9.43E-04	9.10E-04	3.46E-04	1.30E-04	3.12E-04	2.28E-04	1.36E-03	2.37E-03	3.51E-04
BoChr[19]	3.14E-09	8.15E-04	2.75E-04	1.40E-03	1.26E-03	1.38E-03	8.26E-05	2.23E-04	1.29E-03	2.06E-05	1.85E-03	5.21E-03	1.13E-03
BoChr[20]	3.06E-09	4.15E-04	2.74E-04	3.63E-04	9.45E-04	6.21E-04	1.38E-05	4.02E-04	8.43E-04	4.72E-05	8.69E-04	3.24E-03	1.17E-03
BoChr[21]	7.38E-06	2.57E-04	2.15E-04	7.58E-05	1.63E-04	3.09E-04	2.56E-04	1.07E-04	2.18E-04	3.64E-05	6.33E-04	8.01E-04	5.58E-04
BoChr[22]	8.77E-06	3.12E-04	8.85E-05	8.48E-05	4.77E-04	3.18E-04	1.56E-04	4.16E-05	1.84E-04	9.92E-05	3.25E-04	1.80E-03	1.22E-04
BoChr[23]	1.45E-05	3.58E-04	4.30E-04	2.32E-04	2.47E-04	3.63E-05	3.33E-04	2.27E-04	7.80E-04	2.47E-04	1.22E-03	6.73E-04	9.99E-04
