MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M
BP10MB[0]	0.7111887502670288	0.0032658568952370326	0.03262534936684602	0.4350431770020805	0.004060555036600164	0.5143547559529543	0.014241576222910834	0.02343429723288864	0.05897572397687584	0.058882022069108295	0.010541000074022162	0.05525598484091466	0.05442249540949042
BP10MB[1]	3.6858167693765156e-05	0.0013851197390596086	0.054299003072083	0.003668043708439595	0.0010416557907592505	0.09422144082607702	0.009813692046927827	0.00104422159922251	0.0020646625135850626	0.001565611438779797	0.0007331017651449656	0.002938646644615801	0.0038969578968182828
BP10MB[2]	0.0	0.0036139950402206077	0.042842424167320134	0.095118891117163	0.009897840730845929	0.003947486470054003	0.0018184927753645752	3.573818389640771e-05	0.04406184565275908	0.030581296579912307	0.003526921690272502	0.004534067368585966	0.0013477056430929225
BP10MB[3]	1.2383234676564278e-09	0.004404811574426048	0.026017541252076625	0.0008156255746215057	0.0030865428961988086	0.0019740680325412542	0.006349796465365216	0.0007144275219252449	0.0029117386305006223	0.002414408041787652	0.0005193924201012123	0.002171117454603062	0.0015321201000293172
BP10MB[4]	2.613424854303048e-10	0.002501067435950972	0.012468321648193524	0.003113015765848104	0.011172252998221666	0.0	0.003842213808941608	4.1915961264749055e-06	0.011802713385550305	0.009432243290357292	0.0018093220844569479	0.0010573790742296296	0.0006947187214146719
BP10MB[5]	1.5541962987697388e-08	0.002660439319733996	0.005821615532040596	2.9524685232900082e-05	0.0036274854914518074	0.0	0.0021095581800909713	0.0012245967981289142	0.001247416661040006	0.0005390819416194859	0.0002079579906330764	0.0014833853422607035	0.001738197745526122
BP10MB[>5]	3.036417732804608e-09	0.006502493219450116	0.0003341516945511103	0.0	0.01962896887853276	0.0	0.003483960183631325	0.013203863548114895	0.0008736150467302651	0.001531239753604492	0.009144567491421184	0.006002620310880005	0.01045875070201646
BPArm[0]	0.10193954870104789	0.0003023776867976165	0.0015240522321983009	0.017443305714987218	0.0003816795561579056	0.024381168524269015	0.0010317120230223958	0.0011335081448487472	0.002888192305026335	0.0028437627920288294	0.0006040490609928639	0.0006252883090792238	0.002867183058850795
BPArm[1]	0.0011356759886029977	3.5569224564824254e-07	9.989478013253006e-05	0.0003074945707811061	2.9454663241779142e-09	0.02394415993941948	2.8478300773775444e-05	5.5950340149815146e-05	4.6849483624100685e-05	8.051089395166855e-10	3.743375513945324e-05	2.2215698820176046e-05	1.4236712660939482e-05
BPArm[2]	0.0020395621424540876	6.195778556872256e-11	0.0	0.02352520881453529	1.6784527545610218e-10	0.017928783543175085	0.00011604389358657485	2.630404226621863e-05	6.95851184938867e-05	0.0005230945927871523	7.230218823650603e-10	4.5262824167231485e-05	0.00017168203794057035
BPArm[3]	1.3290233069618296e-08	1.595365917182456e-27	0.001707398720235389	0.0021175645395123868	4.6192264699129736e-06	0.011668958389091131	3.0120245872919948e-05	2.840325659718701e-06	0.0004074543269794617	0.0003985091757239534	4.271558462003888e-05	0.00017567440436820901	0.00014985825923758967
BPArm[4]	4.431589323838914e-09	3.858184986711421e-05	0.0003941262024864045	0.014680217292625457	2.174160383219714e-05	0.0040427033373498485	0.00014733659666063214	0.00022197984336344234	0.0017170926675316878	0.002037417453222261	0.00012425648572389036	0.00022573771338102233	0.00014151973591424393
BPArm[5]	1.9303005641957416e-08	1.7527455056551844e-05	0.0035959253742475993	0.002201136845481724	5.664920442420396e-05	0.0038293708604760467	0.00011466364091856256	1.7460786672893747e-05	0.00047614096259778924	0.0004824220355775755	4.933595653710654e-05	0.000497243992821284	0.00019866476665782783
BPArm[6]	4.182493141824395e-09	0.00016064833181765468	0.0015468265289382544	0.007022736748913303	0.0001539561679293492	0.0005540343984824858	0.0003428266773488531	6.9726216570416e-05	0.002929443937682663	0.002115986387130739	0.00023396799225928078	0.00047469059871573904	0.00016704024823411602
BPArm[7]	2.567285755095128e-08	0.00013746545379994757	0.0036619848654663657	0.0012683621807082091	0.00013840411335735298	0.001345067645306699	0.0001323543477088407	5.338175590393845e-05	0.0006734451459851698	0.00037096775615431455	6.801853774533128e-05	0.0007635799256240717	0.00021717507625498733
BPArm[8]	1.4435781687804905e-08	0.00019690054354256858	0.002147883551660925	0.0032776849259971643	0.0002348045644839658	3.849137152428739e-05	0.0005699691436150545	4.152972396695987e-06	0.002056774088705424	0.0015108994208894444	0.00013702261374945124	0.00020166425510332431	0.00016317984946255138
BPArm[9]	1.9177245498269714e-08	0.00022685301800493107	0.0025379999540746214	0.0004908728058217093	0.00032600348457890505	0.0002775697880360894	0.00026937247847568456	9.48149174291757e-06	0.0009793369988983613	0.0005751832738033613	0.00015638715407877867	0.0004259866898442066	0.00012111523503335786
BPArm[10]	2.0485009564197298e-08	6.553393772776417e-05	0.0018889136085635983	0.0012561292348254938	0.0004788116493318899	1.6958313594841456e-05	0.0004310120805758455	3.334113381133237e-07	0.002059704176830337	0.0010424386758320914	8.658758627426266e-05	0.00022411994375360678	7.548719340041643e-05
BPArm[>10 & <=20]	2.7471357151587216e-09	0.0013992945491190767	0.010335491877049208	0.00017826470546424388	0.004341711471319058	0.0	0.001741225735095213	0.00015853733944823034	0.005795503433328122	0.003265384365687556	0.0006546646048286675	0.00100932396902765	0.0007349730081668326
BPArm[>20 & <=30]	3.136218218457998e-08	0.0012049561869935132	0.00133378398953937	1.0638079838827253e-05	0.002611759719438851	0.0	0.0001477748983971594	0.0006977033624934847	0.00042791441280588317	0.0002800424514938982	0.0003012266947803255	0.00044522805889913995	0.0006936960801192526
BPArm[>30]	6.083934303902083e-08	0.0004417969656304077	3.657585475593805e-06	0.0	0.0027155929733999073	0.0	1.740485783443102e-05	0.002672718345420435	1.8114492413587867e-05	5.391272045356388e-05	0.001188855847997523	0.0003223710012889569	0.00046966628070777006
CN[0]	4.9671038513565695e-06	0.0	0.00011143250698961716	0.0019404658063358227	0.0	3.3594971159633943e-05	0.004943558767210731	1.035125300461459e-06	0.01720688652175401	0.04886980892415778	0.0019706836342811584	0.004143023584318462	1.9429641767487737e-06
CN[1]	0.0030173800139004924	3.926769664985841e-10	0.001248855288431514	0.00091188886115562	0.00019076599241088946	0.0007208271357464008	0.21865762025117874	0.0	0.029469694367144257	0.019791133450344205	0.0037899768696674145	0.0015534441826972056	0.0021156440147734657
CN[2]	0.033464242378715474	2.4649356876693674e-05	0.017190474676797192	0.04773213216232028	0.06829825333548285	0.0006917599476904001	0.18443474903702736	0.0027391596473171375	0.01966827777557156	0.2850383037701249	0.01615915861853864	0.0036944095967580788	0.0033365913620218633
CN[3]	1.1152213720047044e-05	0.0005426740134134889	0.07811690118163823	0.0064495410688687116	0.12160591032588855	0.04561427104358927	0.0	0.0015511109899671283	0.03314665056532249	0.0009109341100429447	0.053332369234577334	0.056338764254469424	0.04983306100475602
