Signatures	Stability	Total Mutations
SBS80A	0.953	688815
SBS80B	0.454	313406
SBS80C	0.619	311134
SBS80D	0.674	281778
SBS80E	0.259	272738
SBS80F	0.742	253893
SBS80G	0.928	165973
SBS80H	0.819	163175
SBS80I	0.556	143332
SBS80J	0.783	143229
SBS80K	0.349	129279
SBS80L	0.4	122501
SBS80M	0.534	122415
SBS80N	-0.001	56054
SBS80O	0.152	46523
SBS80P	0.07	45611
SBS80Q	0.641	45062
SBS80R	0.873	41863
SBS80S	-0.107	40112
SBS80T	0.366	39378
SBS80U	0.34	38539
