Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.996	351.924	13.166%	55.766	9.314%	0.05501	0.994
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	22.967	4.918%	4.432	1.389%	0.02459	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	78.455	11.905%	14.132	4.702%	0.04713	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	34.608	7.02%	5.787	1.836%	0.05111	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.996	152.639	17.79%	29.764	9.136%	0.09637	0.996
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	41.666	8.573%	9.468	2.953%	0.05502	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	41.12	7.877%	7.697	2.467%	0.05002	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	25.851	5.608%	6.213	1.941%	0.03357	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.997	140.064	16.977%	25.973	7.793%	0.08694	0.997
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	76.522	10.584%	14.115	4.619%	0.06526	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	38.637	8.203%	8.383	2.639%	0.04132	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	27.143	5.585%	5.169	1.594%	0.02825	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	46.715	8.864%	7.843	2.442%	0.06381	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	76.392	12.503%	16.156	5.161%	0.08265	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.99	192.27	25.133%	43.541	14.278%	0.13766	0.989
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.996	289.378	14.6%	46.497	9.938%	0.04673	0.995
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.989	343.332	14.176%	75.373	14.599%	0.06823	0.985
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	44.605	8.628%	7.664	2.393%	0.05264	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.994	184.972	18.971%	35.271	10.919%	0.10518	0.994
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.999	92.87	12.618%	16.94	5.411%	0.06792	0.998
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.992	286.152	14.222%	56.114	12.762%	0.05667	0.989
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	32.992	6.332%	5.331	1.669%	0.04189	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.998	95.068	14.147%	17.414	5.611%	0.0765	0.998
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.998	184.193	10.835%	28.179	6.916%	0.03244	0.997
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	22.223	4.821%	4.941	1.543%	0.02693	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.995	230.543	13.419%	42.557	10.705%	0.04906	0.993
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.988	261.825	18.809%	53.904	15.391%	0.063	0.985
02706819-bcab-4c49-a569-a4a8c60db1c0	474	1.0	23.864	5.035%	4.812	1.474%	0.02797	1.0
02917220-6a7a-46a1-8656-907e96bef88e	533	1.0	45.665	8.568%	7.512	2.45%	0.04103	1.0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	1.0	24.064	5.186%	4.867	1.526%	0.02818	1.0
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.999	88.487	14.674%	14.929	4.774%	0.07337	0.999
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.998	126.171	17.427%	19.812	6.736%	0.0757	0.998
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.997	138.564	17.879%	24.163	7.923%	0.0946	0.997
030695f6-c623-11e3-bf01-24c6515278c0	883	0.998	126.144	14.286%	21.116	6.865%	0.07566	0.997
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	1.0	31.97	6.565%	6.029	1.853%	0.03631	1.0
