Signatures	Stability	Total Mutations
SBS80A	0.926	661722
SBS80B	0.616	298367
SBS80C	0.302	284540
SBS80D	0.7	275939
SBS80E	0.703	264645
SBS80F	0.699	224144
SBS80G	0.928	167752
SBS80H	0.802	157582
SBS80I	0.721	146223
SBS80J	-0.173	144853
SBS80K	0.545	132026
SBS80L	0.56	123777
SBS80M	0.423	120314
SBS80N	0.159	120108
SBS80O	0.144	43497
SBS80P	0.344	41956
SBS80Q	0.714	41304
SBS80R	0.87	38753
SBS80S	0.404	38609
SBS80T	0.231	37007
SBS80U	0.141	35453
SBS80V	0.428	33624
SBS80W	0.109	32615
