NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	177.001	15.735	36.323	9.465	0.061	0.993	130000.0
2	170.779	15.19	35.263	9.238	0.06	0.993	50000.0
3	181.782	16.292	37.216	9.758	0.059	0.993	90000.0
4	178.135	15.901	36.174	9.464	0.059	0.993	80000.0
5	175.653	15.825	35.635	9.353	0.059	0.993	110000.0
6	175.36	15.565	35.881	9.356	0.059	0.993	70000.0
7	185.835	16.498	37.729	9.826	0.06	0.992	100000.0
8	172.202	15.242	34.922	9.124	0.06	0.994	90000.0
9	180.33	16.27	37.172	9.773	0.059	0.993	140000.0
10	180.544	15.9	37.19	9.667	0.06	0.993	70000.0
11	185.803	16.798	38.581	10.118	0.06	0.992	70000.0
12	169.962	15.167	34.56	9.054	0.06	0.994	80000.0
13	169.652	15.002	34.739	9.074	0.06	0.994	80000.0
14	175.925	15.506	35.747	9.268	0.059	0.993	100000.0
15	183.788	16.591	38.252	10.025	0.059	0.993	130000.0
16	184.196	16.442	37.829	9.859	0.059	0.993	80000.0
17	173.705	15.454	35.298	9.228	0.059	0.993	130000.0
18	174.763	15.615	35.504	9.291	0.06	0.993	120000.0
19	176.603	15.709	35.924	9.387	0.06	0.993	90000.0
20	180.706	16.034	37.271	9.701	0.06	0.993	110000.0
21	173.837	15.599	36.114	9.449	0.06	0.993	130000.0
22	175.236	15.585	35.876	9.354	0.059	0.993	190000.0
23	172.202	15.232	35.145	9.139	0.059	0.993	80000.0
24	178.984	16.053	35.996	9.453	0.06	0.993	60000.0
25	168.753	14.962	34.474	9.022	0.059	0.994	120000.0
26	172.956	15.446	35.577	9.313	0.061	0.993	120000.0
27	168.143	14.93	34.581	9.05	0.059	0.994	100000.0
28	171.105	15.178	35.139	9.137	0.06	0.993	170000.0
29	168.916	14.996	34.889	9.09	0.06	0.994	80000.0
30	176.533	15.739	36.254	9.469	0.06	0.993	110000.0
31	172.755	15.398	35.479	9.283	0.06	0.993	100000.0
32	175.293	15.808	35.535	9.35	0.059	0.993	60000.0
33	179.997	16.104	37.123	9.69	0.06	0.993	90000.0
34	175.355	15.721	36.524	9.563	0.06	0.993	80000.0
35	181.394	16.127	37.125	9.693	0.059	0.993	60000.0
36	182.576	16.365	37.69	9.843	0.059	0.993	130000.0
37	171.664	15.421	35.569	9.343	0.059	0.993	110000.0
38	181.436	16.114	37.049	9.646	0.059	0.993	90000.0
39	177.438	15.89	36.778	9.601	0.06	0.993	120000.0
40	178.582	15.843	36.81	9.6	0.06	0.993	120000.0
41	174.528	15.646	35.882	9.419	0.059	0.993	100000.0
42	165.549	14.81	33.884	8.921	0.059	0.994	110000.0
43	175.671	15.724	35.924	9.443	0.059	0.993	100000.0
44	179.663	16.176	37.244	9.767	0.059	0.993	130000.0
45	171.983	15.164	35.064	9.147	0.06	0.993	110000.0
46	171.992	15.304	35.407	9.276	0.06	0.993	110000.0
47	169.441	15.08	34.723	9.094	0.059	0.994	100000.0
48	175.774	15.688	35.933	9.399	0.059	0.993	100000.0
49	177.579	15.79	36.454	9.52	0.059	0.993	80000.0
50	176.481	15.696	35.805	9.345	0.059	0.993	90000.0
51	174.504	15.574	35.626	9.314	0.059	0.993	90000.0
52	174.125	15.6	35.791	9.377	0.059	0.993	110000.0
53	182.287	16.105	37.244	9.711	0.06	0.993	130000.0
54	172.709	15.438	35.479	9.301	0.059	0.993	80000.0
55	174.538	15.493	35.498	9.282	0.06	0.993	170000.0
56	175.165	15.562	35.559	9.284	0.059	0.993	140000.0
57	169.937	15.078	34.878	9.135	0.059	0.994	70000.0
58	175.079	15.627	36.131	9.465	0.059	0.993	150000.0
59	174.802	15.739	35.912	9.439	0.06	0.993	80000.0
60	178.324	15.847	36.289	9.49	0.059	0.993	110000.0
61	174.064	15.429	36.167	9.418	0.059	0.993	70000.0
62	177.639	15.798	35.926	9.376	0.059	0.993	70000.0
63	169.938	15.125	34.197	8.96	0.06	0.994	90000.0
64	183.405	16.453	37.806	9.874	0.059	0.993	70000.0
65	176.116	15.819	35.854	9.438	0.06	0.993	100000.0
66	168.925	15.236	34.287	9.056	0.06	0.994	120000.0
67	179.248	16.239	36.911	9.699	0.059	0.993	70000.0
68	177.223	15.951	36.205	9.515	0.06	0.993	100000.0
69	172.329	15.553	35.41	9.318	0.059	0.993	100000.0
70	177.486	15.884	36.676	9.585	0.059	0.993	100000.0
71	171.104	15.181	35.166	9.175	0.059	0.993	90000.0
72	178.043	15.961	36.385	9.53	0.06	0.993	80000.0
73	172.599	15.402	35.483	9.276	0.059	0.993	140000.0
74	172.459	15.478	35.262	9.236	0.059	0.993	70000.0
75	176.605	15.795	35.889	9.372	0.06	0.993	160000.0
76	173.575	15.541	35.861	9.401	0.06	0.993	150000.0
77	169.501	15.135	35.01	9.154	0.06	0.994	70000.0
78	173.947	15.3	35.251	9.169	0.06	0.993	80000.0
79	175.816	15.801	36.226	9.55	0.059	0.993	90000.0
80	179.81	15.901	36.616	9.525	0.06	0.993	110000.0
81	174.423	15.519	35.481	9.278	0.061	0.993	100000.0
82	176.515	15.763	36.282	9.504	0.06	0.993	80000.0
83	179.297	16.177	37.126	9.716	0.059	0.993	50000.0
84	170.108	15.131	34.363	9.009	0.06	0.994	90000.0
85	175.767	15.589	35.561	9.303	0.061	0.993	60000.0
86	178.988	15.905	36.572	9.534	0.06	0.993	50000.0
87	178.692	15.94	36.919	9.649	0.059	0.993	80000.0
88	183.019	16.463	37.667	9.888	0.059	0.993	60000.0
89	179.686	16.223	36.803	9.67	0.06	0.993	110000.0
90	177.347	15.85	36.01	9.453	0.059	0.993	100000.0
91	177.014	15.674	36.004	9.386	0.059	0.993	110000.0
92	181.358	16.414	37.215	9.787	0.059	0.993	100000.0
93	176.447	15.761	36.138	9.446	0.06	0.993	60000.0
94	178.631	16.052	36.188	9.486	0.06	0.993	80000.0
95	172.702	15.352	35.377	9.217	0.059	0.993	90000.0
96	182.228	16.21	37.19	9.687	0.06	0.993	150000.0
97	175.725	15.501	35.508	9.255	0.061	0.993	100000.0
98	175.661	15.737	35.581	9.342	0.06	0.993	110000.0
99	172.831	15.193	35.124	9.146	0.06	0.993	60000.0
100	170.959	15.337	35.059	9.189	0.059	0.994	90000.0
