Signatures	Stability	Total Mutations
SBS80A	0.853	648108
SBS80B	0.422	276426
SBS80C	0.403	268961
SBS80D	0.452	253706
SBS80E	0.682	244276
SBS80F	0.705	183863
SBS80G	-0.258	175743
SBS80H	0.489	156872
SBS80I	0.334	145739
SBS80J	0.814	143115
SBS80K	0.934	128317
SBS80L	0.651	118475
SBS80M	-0.079	112269
SBS80N	0.498	105978
SBS80O	0.392	104741
SBS80P	0.18	99792
SBS80Q	0.358	40093
SBS80R	0.783	38512
SBS80S	0.922	36740
SBS80T	0.39	32631
SBS80U	0.634	31303
SBS80V	0.709	29654
SBS80W	0.567	27819
SBS80X	0.572	24504
SBS80Y	0.245	22556
SBS80Z	0.099	14617
