NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	162.171	14.62	34.052	8.928	0.053	0.994	110000.0
2	158.382	14.232	33.091	8.71	0.054	0.994	60000.0
3	163.263	14.533	34.332	8.954	0.053	0.994	80000.0
4	163.004	14.749	33.882	8.931	0.053	0.994	80000.0
5	163.642	14.555	34.109	8.944	0.055	0.994	100000.0
6	156.828	14.078	32.367	8.513	0.053	0.995	80000.0
7	168.461	15.16	34.811	9.135	0.054	0.994	100000.0
8	165.201	14.516	33.276	8.653	0.056	0.994	90000.0
9	166.512	14.956	34.418	9.053	0.054	0.994	80000.0
10	162.295	14.582	33.791	8.855	0.054	0.994	100000.0
11	166.774	14.897	33.907	8.903	0.055	0.994	160000.0
12	166.989	14.96	35.197	9.22	0.054	0.994	80000.0
13	162.685	14.612	33.765	8.87	0.053	0.994	80000.0
14	166.273	14.865	34.862	9.07	0.054	0.994	80000.0
15	165.646	14.97	34.258	9.04	0.053	0.994	140000.0
16	154.562	13.786	31.938	8.401	0.053	0.995	80000.0
17	156.857	14.118	32.488	8.581	0.053	0.994	80000.0
18	169.045	15.356	34.977	9.23	0.053	0.994	80000.0
19	161.77	14.507	33.947	8.892	0.054	0.994	80000.0
20	162.158	14.562	34.077	8.935	0.053	0.994	140000.0
21	161.886	14.707	33.527	8.844	0.054	0.994	130000.0
22	165.355	15.098	33.905	8.958	0.054	0.994	90000.0
23	162.661	14.728	33.73	8.879	0.054	0.994	60000.0
24	159.312	14.478	32.795	8.673	0.054	0.994	80000.0
25	159.045	14.346	32.862	8.652	0.053	0.994	140000.0
26	154.143	13.744	32.195	8.464	0.053	0.995	110000.0
27	164.426	14.618	34.523	8.986	0.053	0.994	110000.0
28	153.314	13.817	31.37	8.277	0.054	0.995	140000.0
29	159.301	14.285	33.219	8.725	0.052	0.994	90000.0
30	159.043	14.218	33.096	8.711	0.054	0.994	110000.0
31	162.481	14.656	33.582	8.81	0.054	0.994	70000.0
32	164.411	14.694	33.942	8.88	0.055	0.994	90000.0
33	159.492	14.504	33.377	8.811	0.054	0.994	110000.0
34	166.537	14.73	34.157	8.872	0.054	0.994	80000.0
35	156.438	14.142	32.4	8.577	0.053	0.994	100000.0
36	155.42	13.938	31.985	8.437	0.053	0.995	80000.0
37	156.638	14.072	32.622	8.582	0.053	0.994	90000.0
38	157.494	14.092	32.847	8.636	0.054	0.994	110000.0
39	159.317	14.257	32.913	8.659	0.054	0.994	100000.0
40	157.62	14.383	32.704	8.7	0.054	0.994	100000.0
