Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q	SBS80R	SBS80S
046d7386-95c8-4501-9e55-c85bec272a7a	31	209	162	170	174	9	304	0	0	26	0	35	24	0	13	4	0	26	0
047f9e4d-86b5-4943-aef5-68199bf29e8c	194	111	0	80	97	11	55	111	40	59	26	9	18	110	13	4	26	0	21
04aa6b77-8074-480c-872e-a1a47afa5314	52	206	0	202	90	43	27	0	54	3	108	37	0	7	30	5	7	9	3
04b570c2-3224-4e9b-81cc-089b4a7ff07a	415	14	0	13	0	0	12	2	0	3	0	2	25	0	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	205	2	5	229	0	32	10	0	0	9	51	0	0	11	2	1	2	8	1
04c09376-8756-41d9-bbca-f464170a8cfb	221	155	67	56	175	0	35	14	33	14	109	47	32	5	12	10	0	0	1
04db8bef-8777-48ac-bc2e-3c9acb103f48	364	0	0	60	9	0	0	5	0	0	22	0	13	6	0	2	2	0	6
05070acd-3ec1-44bb-9c32-26d3a483a72a	272	62	124	70	0	10	106	0	15	7	0	14	16	17	2	0	20	13	0
051cb117-16fd-459e-81e5-002eca2b7eea	415	0	0	1	7	0	0	0	0	0	22	0	0	24	1	3	2	1	5
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	197	61	75	157	24	0	97	1	0	14	0	21	49	0	0	0	0	1	5
052665d1-ab75-4f40-be5a-b88154c8beed	30	288	14	38	351	269	51	259	0	0	85	72	0	268	35	36	0	0	64
05486349-24a4-4931-bf5f-c9fefe369af2	340	29	48	63	34	0	57	3	6	0	6	0	10	9	0	4	0	2	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	360	13	0	60	2	3	5	3	0	8	41	0	4	14	3	4	2	1	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	249	57	22	132	55	0	18	0	6	3	20	2	40	2	0	3	1	0	0
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	423	0	0	0	0	0	0	3	0	0	0	0	29	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	297	82	24	53	30	0	33	0	6	16	4	7	34	0	0	7	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	427	0	1	0	0	0	6	1	0	0	0	0	22	5	0	0	2	0	0
05da3161-1444-4188-914d-19762de3a443	437	0	0	0	0	0	5	5	0	0	0	0	24	0	0	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	423	0	3	2	1	0	0	1	0	0	0	0	31	0	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	366	0	3	62	5	0	13	5	2	1	1	0	23	0	0	2	0	7	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	376	10	0	44	0	0	6	4	0	0	0	0	26	1	0	0	0	5	0
062e96d4-c623-11e3-bf01-24c6515278c0	249	69	43	96	31	12	69	18	19	29	12	6	20	30	17	12	3	3	0
063cfacf-9933-4a2d-8921-0aeb76e12779	406	15	15	6	6	0	13	0	0	0	0	0	28	0	0	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	0	343	164	60	476	0	35	0	0	11	83	0	145	9	24	12	0	5	6
068f4f69-d2fe-4f25-912e-ca7d4623efb6	348	26	5	62	23	0	24	1	0	9	0	3	28	0	7	2	2	4	0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	159	97	93	140	73	75	62	32	32	26	12	28	46	6	5	6	37	10	28
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	268	69	54	92	30	20	53	0	1	37	12	6	18	0	14	5	0	6	0
072f4146-c623-11e3-bf01-24c6515278c0	393	2	0	40	0	5	8	1	5	2	0	0	31	0	0	0	0	2	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	316	16	18	91	13	0	29	0	3	5	0	1	35	0	0	4	0	0	0
07531318-87e8-4db8-aa61-9b93597d063b	309	52	0	84	15	1	38	5	0	23	0	5	30	0	1	0	4	0	7
075fc96d-6742-4ef3-9369-482592ad3a2f	198	0	0	0	112	326	333	1314	0	144	95	517	66	209	1	45	13	41	344
07835447-5d7e-4828-80fd-89b063989c9a	307	64	9	45	34	26	60	12	10	23	0	4	14	58	2	1	0	2	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	183	97	37	121	90	91	19	17	32	0	20	14	6	110	5	2	0	0	4
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	397	17	0	10	29	0	45	1	0	0	0	25	33	0	0	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	187	99	225	39	0	129	0	0	11	20	67	20	69	13	15	0	17	0
07d20658-3db4-47e7-877b-66536266edfc	177	121	43	144	43	0	105	0	8	28	0	10	2	0	2	5	26	0	12
07e0e938-f61f-477a-92a2-5b7e74b78943	136	192	1	139	78	0	35	0	5	36	53	40	20	0	14	9	0	1	23
07f16397-71bb-4594-ad4d-caa7d2baeabd	250	100	60	66	36	0	124	0	0	0	0	62	42	0	0	0	0	0	12
080ecc31-756a-4a1b-a51e-d632ac8219f7	165	99	118	110	130	401	29	38	93	0	0	73	0	0	36	8	6	0	178
08227616-02a5-46e8-9db1-f2d1d691ab23	0	119	136	240	3	205	6	90	52	36	78	63	25	100	9	10	24	4	17
0831e45e-c623-11e3-bf01-24c6515278c0	138	137	29	162	73	0	40	0	7	27	26	0	26	28	2	18	0	5	12
089be98d-c3c9-4fb4-aef2-7a8578a91d51	185	93	98	147	33	7	108	0	0	0	0	18	48	0	0	0	0	0	4
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	196	122	90	126	115	0	133	6	0	9	0	0	32	0	0	0	1	0	6
08b5d0e4-4661-460e-a9f7-f2e687414711	299	21	0	82	1	53	0	0	0	133	75	0	23	0	1	13	0	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	435	0	0	0	0	3	6	3	0	4	0	0	26	0	0	0	0	0	0
08e1d976-6c39-428e-a4c2-f655b675683e	388	38	0	16	0	0	8	0	7	17	0	1	30	0	0	0	3	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	418	14	0	9	0	0	9	2	0	0	0	0	27	1	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	9	28	197	0	401	1666	0	1147	193	371	0	300	0	220	175	59	80	130	147
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0	0	706	0	440	2770	0	308	0	1198	0	0	0	0	188	66	114	99	316
09537dce-c797-4b60-962a-d4c3cd6ab00a	420	0	0	11	0	0	21	3	2	4	0	0	5	0	2	0	1	6	0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	156	66	95	145	219	235	42	76	0	55	18	24	6	20	0	16	40	6	202
097a7d36-905b-72be-e050-11ac0d482c9a	255	6	60	153	11	1	77	0	0	0	0	2	29	0	1	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	333	39	0	72	6	0	18	0	0	0	4	14	26	6	2	2	0	1	0
