Signatures	Stability	Total Mutations
SBS80A	0.981	752789
SBS80B	0.438	320749
SBS80C	0.704	320730
SBS80D	0.686	313364
SBS80E	0.779	307934
SBS80F	0.69	269261
SBS80G	0.923	227094
SBS80H	0.947	180111
SBS80I	0.648	168968
SBS80J	0.575	163512
SBS80K	-0.311	124046
SBS80L	0.116	115243
SBS80M	0.178	70450
SBS80N	-0.029	68316
SBS80O	0.589	62243
