MutationType	SBS80A	SBS80B
BP10MB[0]	0.03906745471060276	0.6750774884223938
BP10MB[1]	0.017043104227632284	0.009540001284331084
BP10MB[2]	0.027997649218887092	0.003947421265766024
BP10MB[3]	0.006587588051334023	1.548780961798002e-05
BP10MB[4]	0.006593779511749744	8.008560726580072e-08
BP10MB[5]	0.00242048833752051	6.878352198924631e-08
BP10MB[>5]	0.006676480695605278	4.291857607086058e-08
BPArm[0]	0.0006611562485340982	0.07696618303656579
BPArm[1]	0.0005744298989884555	0.005567882219329476
BPArm[2]	0.0019548702135216444	0.009092209273949265
BPArm[3]	0.0014208045299164951	0.0013054757297504694
BPArm[4]	0.0024643622408621014	0.0014303979417309165
BPArm[5]	0.001355970201548189	0.00016314190419507212
BPArm[6]	0.0018896159005817026	2.4393227100745207e-05
BPArm[7]	0.001055359017336741	1.2542094675893623e-06
BPArm[8]	0.0012538990599568933	1.6364216563147237e-07
BPArm[9]	0.0007298203394748271	7.826703292579395e-08
BPArm[10]	0.000861602111835964	7.939317452354544e-08
BPArm[>10 & <=20]	0.003440036007668823	4.2553201957673534e-08
BPArm[>20 & <=30]	0.0009559192642336711	3.669151638518997e-08
BPArm[>30]	0.0007801943796221167	3.294904288964062e-08
CN[0]	0.006180519466288388	0.0005802844814024866
CN[1]	0.02291901797056198	0.01589701198041439
CN[2]	0.04624139413237572	0.05177896190434694
CN[3]	0.04378449253737927	0.002399431352969259
CN[4]	0.03433810546994209	4.321726569855855e-07
CN[>4 & <=8]	0.038574496693909166	2.768438056577338e-08
CN[>8]	0.013135169129818679	3.01424049986565e-08
CNCP[0]	2.6866353620962773e-10	0.02823828725144267
CNCP[1]	0.11931213840842247	0.010103520657867193
CNCP[2]	0.0458704000338912	1.6909281974051283e-05
CNCP[3]	0.014185698805376887	4.369883672694641e-08
CNCP[4]	0.007392440950497985	5.177743936712886e-08
CNCP[>4 & <=8]	0.009819085923954845	3.334382061126462e-08
CNCP[>8]	0.005880274279043078	4.758984449182435e-08
OsCN[0]	0.04191246367990971	0.03333205658942461
OsCN[1]	0.033500009402632716	0.002441598346922547
OsCN[2]	0.005940136243589222	1.2060715511665877e-05
OsCN[3]	0.005550773218274117	6.171480576426802e-05
OsCN[4]	0.0016048931400291621	8.45717690324932e-06
OsCN[>4 & <=10]	0.0034705373155884444	2.557287206172987e-07
OsCN[>10]	0.0006119369273073971	6.247385471169764e-07
SS[<=2]	0.0006931818689918146	5.5145453323746095e-08
SS[>2 & <=3]	0.0034254746348597108	4.622889484551251e-08
SS[>3 & <=4]	0.01429845491424203	4.304908173935473e-08
SS[>4 & <=5]	0.03136611057445407	4.292738703810528e-06
SS[>5 & <=6]	0.05552084051072598	0.0011599665135145188
SS[>6 & <=7]	0.06231353286653757	0.0007504260481800884
SS[>7 & <=8]	0.0423512527346611	0.034720575138926506
SS[>8]	7.90809637104182e-11	0.024858010597527028
NC50[<=2]	3.2820139783673596e-09	0.0008016277995193377
NC50[3]	3.825065562788055e-06	0.00044479997537564484
NC50[4]	4.163076586337411e-05	0.0003742157848319039
NC50[5]	7.395931024802848e-05	0.0002554868455627002
NC50[6]	0.00016729028546251358	7.70491611547186e-05
NC50[7]	0.00011176834894286003	1.99230732050637e-05
NC50[>7]	2.087852146360092e-05	2.4931147963798138e-05
BoChr[1]	0.014294344000518322	0.0003530931839486584
BoChr[2]	0.010318345883861183	0.00028562253108248113
BoChr[3]	0.010130665218457579	0.0004526820659521036
BoChr[4]	0.00741753289476037	7.596728743465064e-05
BoChr[5]	0.008318795170634986	0.00033280416289926506
BoChr[6]	0.010198883097618818	0.0003314574218529742
BoChr[7]	0.00883063512854278	0.0005339736546739005
BoChr[8]	0.012020195620134472	0.0003128643381933216
BoChr[9]	0.006272529633715749	0.0005482668487820774
BoChr[10]	0.006669869050383568	0.0002761919470503926
BoChr[11]	0.009548916053026914	0.00016068796881882008
BoChr[12]	0.009449403127655387	8.130084591812192e-05
BoChr[13]	0.0041360786976292726	0.0005182173743378371
BoChr[14]	0.0045013674488291145	0.000582118274178356
BoChr[15]	0.003780620424076915	8.883498780051014e-05
BoChr[16]	0.004822907634079456	0.00045114636624930425
BoChr[17]	0.007556292586959898	0.0006004426989238709
BoChr[18]	0.004486654568463564	0.0003304907333222218
BoChr[19]	0.005618473831564188	0.00011012761475285515
BoChr[20]	0.005037544406950474	6.910298665388837e-05
BoChr[21]	0.0025563862267881632	0.00041818927362328393
BoChr[22]	0.0025606584060005842	0.0005319801974110305
BoChr[23]	0.005076130526140333	0.00105911661288701
