Signatures	Stability	Total Mutations
SBS80A	0.787	639282
SBS80B	0.412	267573
SBS80C	0.657	256502
SBS80D	0.367	249044
SBS80E	0.7	236137
SBS80F	-0.308	182551
SBS80G	0.731	174147
SBS80H	0.643	155196
SBS80I	0.356	155070
SBS80J	0.809	132328
SBS80K	0.921	123348
SBS80L	0.681	119375
SBS80M	0.594	115936
SBS80N	0.094	115822
SBS80O	0.343	110902
SBS80P	0.451	96084
SBS80Q	0.278	38416
SBS80R	0.829	37670
SBS80S	0.931	35776
SBS80T	0.604	31891
SBS80U	0.147	29351
SBS80V	0.553	29190
SBS80W	0.627	29018
SBS80X	0.484	28362
SBS80Y	0.107	26664
SBS80Z	0.278	25674
SBS80AA	0.482	23501
