Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.994	404.15	15.12%	63.911	10.675%	0.05752	0.992
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	26.992	5.78%	5.717	1.792%	0.0326	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	83.717	12.704%	13.978	4.651%	0.04746	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	35.67	7.235%	5.601	1.777%	0.05163	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.996	188.438	21.962%	33.864	10.395%	0.11415	0.995
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	37.669	7.751%	7.714	2.406%	0.06151	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	49.536	9.49%	9.254	2.966%	0.05243	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	26.819	5.818%	5.802	1.813%	0.03392	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.997	151.942	18.417%	26.306	7.893%	0.09449	0.997
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	86.698	11.991%	14.937	4.888%	0.06755	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	38.291	8.13%	8.367	2.634%	0.03828	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	24.216	4.983%	4.175	1.288%	0.0276	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	45.502	8.634%	8.222	2.56%	0.07383	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	73.883	12.092%	16.07	5.134%	0.0816	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.988	232.484	30.39%	49.228	16.143%	0.1441	0.987
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.994	337.261	17.016%	54.985	11.752%	0.05455	0.993
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.988	377.921	15.604%	78.848	15.272%	0.07298	0.984
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	41.462	8.02%	7.023	2.193%	0.04836	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.994	190.54	19.543%	35.898	11.113%	0.10429	0.993
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.998	101.831	13.836%	17.347	5.541%	0.07446	0.998
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.991	307.308	15.274%	58.18	13.232%	0.0576	0.988
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	35.233	6.763%	5.577	1.746%	0.04609	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.998	112.27	16.707%	20.212	6.513%	0.08616	0.998
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.996	219.329	12.902%	34.531	8.476%	0.04679	0.995
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	25.317	5.492%	5.666	1.77%	0.03368	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.99	327.402	19.057%	57.944	14.576%	0.06402	0.988
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.967	342.687	24.618%	88.865	25.373%	0.11952	0.959
02706819-bcab-4c49-a569-a4a8c60db1c0	474	1.0	22.762	4.802%	4.639	1.421%	0.03099	1.0
02917220-6a7a-46a1-8656-907e96bef88e	533	1.0	50.124	9.404%	8.712	2.841%	0.04271	1.0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	1.0	24.552	5.291%	4.928	1.545%	0.03162	1.0
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.999	80.222	13.304%	14.365	4.593%	0.0796	0.999
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.998	132.365	18.282%	21.135	7.186%	0.07775	0.998
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.997	141.62	18.274%	24.049	7.885%	0.09839	0.997
030695f6-c623-11e3-bf01-24c6515278c0	883	0.997	163.843	18.555%	26.288	8.546%	0.08718	0.996
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	1.0	35.01	7.189%	6.499	1.998%	0.04191	1.0
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	605	0.998	107.756	17.811%	22.05	7.047%	0.08538	0.997
0363fe2c-d765-450e-8b1a-d13a23d9af2a	476	1.0	32.113	6.746%	5.84	1.785%	0.04823	1.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	479	1.0	35.062	7.32%	7.794	2.452%	0.03383	1.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	518	1.0	36.676	7.08%	6.374	2.028%	0.04748	1.0
03b5268e-881e-49e7-824f-170c3fc8b11b	631	0.998	110.307	17.481%	19.294	6.348%	0.05918	0.998
03c3c692-8a86-4843-85ae-e045f0fa6f88	1705	0.992	266.663	15.64%	46.288	12.97%	0.04081	0.988
03c88506-d72e-4a44-a34e-a7f0564f1799	666	0.999	67.195	10.089%	11.68	3.753%	0.05658	0.999
03ced0ce-186a-4349-8d98-572c2bc90382	1711	0.993	236.582	13.827%	44.191	11.815%	0.04434	0.991
03cff38d-7e29-4409-a508-749bddb1b3df	1419	0.996	193.92	13.666%	30.015	8.718%	0.03902	0.996
041e3b42-c623-11e3-bf01-24c6515278c0	767	0.998	121.389	15.826%	22.14	7.291%	0.06053	0.998
04339769-517c-448d-a7ca-951f83608c60	697	0.997	129.858	18.631%	24.479	7.868%	0.11588	0.997
0448206f-3ade-4087-b1a9-4fb2d14e1367	3796	0.996	563.646	14.848%	89.071	9.941%	0.0374	0.995
046d7386-95c8-4501-9e55-c85bec272a7a	1187	0.993	197.829	16.666%	42.529	11.771%	0.07349	0.992
047f9e4d-86b5-4943-aef5-68199bf29e8c	985	0.996	175.257	17.793%	28.874	9.345%	0.08	0.995
04aa6b77-8074-480c-872e-a1a47afa5314	883	0.998	109.747	12.429%	16.958	5.75%	0.08469	0.998
04b570c2-3224-4e9b-81cc-089b4a7ff07a	486	1.0	26.629	5.479%	4.495	1.387%	0.03486	1.0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	568	0.999	67.391	11.865%	12.492	4.071%	0.0377	0.999
04c09376-8756-41d9-bbca-f464170a8cfb	986	0.994	187.357	19.002%	36.967	11.333%	0.08959	0.993
04db8bef-8777-48ac-bc2e-3c9acb103f48	489	1.0	43.884	8.974%	8.138	2.59%	0.05218	1.0
05070acd-3ec1-44bb-9c32-26d3a483a72a	748	0.997	113.197	15.133%	22.442	7.342%	0.09441	0.997
051cb117-16fd-459e-81e5-002eca2b7eea	481	0.999	48.087	9.997%	12.036	3.767%	0.05083	0.999
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	702	0.999	97.379	13.872%	15.61	5.216%	0.07278	0.999
052665d1-ab75-4f40-be5a-b88154c8beed	1860	0.973	421.047	22.637%	97.991	22.897%	0.1155	0.965
05486349-24a4-4931-bf5f-c9fefe369af2	611	0.999	61.645	10.089%	13.888	4.409%	0.06858	0.999
0554ffe5-31f7-43f5-8372-2b73c9cf3527	523	1.0	48.163	9.209%	9.006	2.825%	0.04245	1.0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	610	0.999	79.747	13.073%	16.181	5.234%	0.07027	0.999
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	455	1.0	30.482	6.699%	8.332	2.585%	0.03302	1.0
05780d48-80e7-4d70-b00c-081f8a9519f2	593	0.999	70.045	11.812%	11.337	3.738%	0.05537	0.999
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	464	1.0	19.28	4.155%	3.791	1.185%	0.02664	1.0
05da3161-1444-4188-914d-19762de3a443	471	1.0	26.504	5.627%	5.667	1.731%	0.03238	1.0
06018aae-1107-4899-bd24-14e6b1f94709	461	1.0	25.317	5.492%	5.666	1.77%	0.03368	1.0
0609b182-0396-4755-b463-10f949c5b8bb	490	1.0	39.858	8.134%	6.179	1.972%	0.04757	1.0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	472	1.0	38.839	8.229%	7.97	2.509%	0.04178	1.0
062e96d4-c623-11e3-bf01-24c6515278c0	738	0.997	134.953	18.286%	24.284	7.906%	0.09161	0.997
063cfacf-9933-4a2d-8921-0aeb76e12779	489	1.0	31.201	6.381%	5.602	1.766%	0.04727	1.0
0664753b-7566-41e0-8006-7009c6735406	1373	0.995	236.024	17.19%	41.737	10.437%	0.06049	0.994
068f4f69-d2fe-4f25-912e-ca7d4623efb6	544	1.0	53.149	9.77%	10.524	3.314%	0.04468	1.0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	967	0.996	169.804	17.56%	28.836	9.476%	0.07914	0.995
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	685	0.998	109.427	15.975%	21.245	7.066%	0.11146	0.997
072f4146-c623-11e3-bf01-24c6515278c0	489	1.0	35.668	7.294%	6.097	1.892%	0.0401	1.0
074fd614-5d9c-4bcc-96ad-351aa14387e3	531	1.0	55.267	10.408%	9.183	2.982%	0.05397	1.0
07531318-87e8-4db8-aa61-9b93597d063b	574	0.999	73.407	12.789%	13.111	4.147%	0.08024	0.999
075fc96d-6742-4ef3-9369-482592ad3a2f	3758	0.963	1120.231	29.809%	224.397	27.104%	0.12575	0.949
07835447-5d7e-4828-80fd-89b063989c9a	671	0.997	95.149	14.18%	23.512	7.677%	0.11031	0.997
079bcb09-a075-4313-9a3e-dd67734a8c5d	848	0.996	158.903	18.739%	28.215	9.495%	0.0864	0.995
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	557	0.999	73.17	13.136%	16.318	5.106%	0.11265	0.999
07b5141f-ac79-439b-883b-b0183bbe7ff5	911	0.998	113.741	12.485%	18.282	6.174%	0.03915	0.998
07d20658-3db4-47e7-877b-66536266edfc	726	0.999	91.548	12.61%	15.055	4.963%	0.04503	0.999
07e0e938-f61f-477a-92a2-5b7e74b78943	782	0.999	96.414	12.329%	16.992	5.581%	0.04761	0.999
07f16397-71bb-4594-ad4d-caa7d2baeabd	752	0.998	132.096	17.566%	24.966	7.879%	0.08434	0.998
080ecc31-756a-4a1b-a51e-d632ac8219f7	1484	0.973	375.042	25.272%	85.665	23.19%	0.12343	0.966
08227616-02a5-46e8-9db1-f2d1d691ab23	1217	0.992	216.324	17.775%	39.314	12.845%	0.05365	0.99
0831e45e-c623-11e3-bf01-24c6515278c0	730	0.999	100.183	13.724%	14.911	4.988%	0.06213	0.999
089be98d-c3c9-4fb4-aef2-7a8578a91d51	741	0.998	114.631	15.47%	18.759	6.156%	0.08283	0.998
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	836	0.997	129.649	15.508%	23.548	7.476%	0.07954	0.997
08b5d0e4-4661-460e-a9f7-f2e687414711	701	0.996	158.513	22.612%	29.248	9.433%	0.09728	0.996
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	477	1.0	23.883	5.007%	4.183	1.282%	0.03206	1.0
08e1d976-6c39-428e-a4c2-f655b675683e	508	1.0	36.265	7.139%	6.654	2.071%	0.03792	1.0
08f7812b-0d74-42ba-985b-d0a027e8a80c	480	1.0	27.69	5.769%	4.984	1.532%	0.03255	1.0
09497b9b-6fca-48cb-af97-161a3e434a51	5123	0.989	784.993	15.323%	164.64	15.019%	0.03981	0.984
09508a0d-ebe0-4fa1-b7b2-1710814181cd	6205	0.978	1699.063	27.382%	315.688	20.936%	0.08877	0.972
09537dce-c797-4b60-962a-d4c3cd6ab00a	475	1.0	35.787	7.534%	6.838	2.146%	0.04817	1.0
