Signatures	Stability	Total Mutations
SBS80A	0.978	727497
SBS80B	0.574	331000
SBS80C	0.691	302747
SBS80D	0.742	298512
SBS80E	0.76	278255
SBS80F	0.274	254024
SBS80G	0.875	204105
SBS80H	0.94	169139
SBS80I	0.711	154038
SBS80J	0.458	151862
SBS80K	0.279	138584
SBS80L	0.17	127681
SBS80M	-0.094	120264
SBS80N	0.023	58350
SBS80O	0.609	53930
SBS80P	0.221	47414
SBS80Q	0.183	47408
