NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	190.775	16.802	38.296	9.952	0.067	0.992	90000.0
2	192.63	17.154	38.887	10.14	0.066	0.992	80000.0
3	190.604	16.916	38.83	10.129	0.065	0.992	70000.0
4	181.11	16.182	36.825	9.644	0.067	0.993	160000.0
5	188.277	16.717	38.236	9.974	0.066	0.992	90000.0
6	192.771	17.052	38.624	10.058	0.066	0.992	130000.0
7	191.476	17.027	38.2	9.985	0.065	0.992	70000.0
8	191.246	16.865	38.845	10.084	0.066	0.992	100000.0
9	189.72	16.727	37.919	9.857	0.066	0.992	90000.0
10	189.695	16.861	38.259	10.0	0.066	0.992	90000.0
11	188.485	16.838	37.727	9.868	0.066	0.992	140000.0
12	187.448	16.731	37.97	9.943	0.066	0.992	80000.0
13	189.647	16.785	38.435	10.002	0.066	0.992	90000.0
14	197.352	17.652	40.003	10.478	0.065	0.992	70000.0
15	191.457	17.053	38.147	9.939	0.066	0.992	140000.0
16	184.388	16.215	37.179	9.689	0.066	0.993	90000.0
17	186.31	16.595	37.826	9.885	0.066	0.993	120000.0
18	195.043	17.456	39.446	10.313	0.066	0.992	50000.0
19	196.778	17.563	39.731	10.371	0.066	0.992	90000.0
20	188.495	16.577	37.875	9.858	0.065	0.992	60000.0
21	187.827	16.714	38.072	9.938	0.066	0.992	70000.0
22	195.148	17.39	39.478	10.302	0.066	0.992	70000.0
23	185.018	16.46	37.364	9.759	0.065	0.993	70000.0
24	186.342	16.558	37.693	9.846	0.065	0.993	110000.0
25	195.926	17.557	40.141	10.485	0.066	0.992	80000.0
26	194.45	17.37	39.325	10.289	0.065	0.992	90000.0
27	195.597	17.441	39.514	10.327	0.065	0.992	100000.0
28	194.835	17.348	39.567	10.322	0.065	0.992	90000.0
29	184.642	16.395	37.05	9.675	0.066	0.993	80000.0
30	193.132	17.295	39.01	10.207	0.065	0.992	70000.0
31	189.368	16.886	37.718	9.811	0.066	0.993	80000.0
32	193.026	17.044	39.073	10.151	0.066	0.992	80000.0
33	194.555	17.319	39.492	10.283	0.065	0.992	90000.0
34	190.418	16.932	38.237	10.006	0.066	0.992	130000.0
35	194.268	17.394	38.711	10.139	0.066	0.992	90000.0
36	180.234	15.962	36.174	9.462	0.067	0.993	70000.0
37	190.883	16.88	38.305	9.983	0.067	0.992	140000.0
38	193.111	17.255	39.446	10.293	0.065	0.992	80000.0
39	193.883	17.149	38.559	10.014	0.067	0.992	100000.0
40	195.281	17.437	39.757	10.404	0.065	0.992	70000.0
41	192.525	17.063	38.748	10.11	0.066	0.992	110000.0
42	190.96	16.843	38.573	10.007	0.065	0.992	70000.0
43	189.569	16.803	38.248	9.967	0.066	0.992	100000.0
44	192.754	17.035	39.246	10.209	0.066	0.992	90000.0
45	193.742	17.33	39.294	10.268	0.066	0.992	100000.0
46	194.093	17.327	39.313	10.257	0.066	0.992	70000.0
47	192.631	17.025	39.44	10.212	0.066	0.992	60000.0
48	189.599	16.891	38.145	9.956	0.066	0.992	100000.0
49	190.822	16.936	38.451	10.039	0.066	0.992	70000.0
50	191.37	16.888	38.77	10.072	0.066	0.992	70000.0
51	189.683	16.831	38.564	10.071	0.066	0.992	120000.0
52	187.875	16.637	37.779	9.845	0.066	0.992	140000.0
53	186.989	16.888	37.966	10.015	0.065	0.992	60000.0
54	182.559	16.26	37.088	9.68	0.066	0.993	80000.0
55	194.642	17.506	39.318	10.303	0.066	0.992	80000.0
56	190.71	17.107	38.351	10.056	0.067	0.992	70000.0
57	187.285	16.597	37.866	9.867	0.065	0.992	50000.0
58	194.419	17.123	39.316	10.196	0.067	0.992	150000.0
59	188.873	16.744	38.463	10.011	0.066	0.992	70000.0
60	188.097	16.676	37.699	9.842	0.066	0.992	90000.0
61	194.61	17.434	39.182	10.281	0.066	0.992	90000.0
62	187.696	16.578	38.146	9.925	0.066	0.992	220000.0
63	193.071	17.326	39.127	10.258	0.065	0.992	100000.0
64	192.959	17.131	38.718	10.095	0.066	0.992	110000.0
65	187.289	16.498	37.893	9.84	0.066	0.992	70000.0
66	198.378	17.627	39.904	10.415	0.066	0.992	90000.0
67	187.031	16.675	37.444	9.799	0.066	0.993	70000.0
68	198.712	17.633	40.136	10.449	0.066	0.992	130000.0
69	197.743	17.672	40.011	10.421	0.067	0.992	100000.0
70	187.518	16.655	37.775	9.889	0.066	0.992	190000.0
71	189.157	16.768	38.129	9.966	0.066	0.992	100000.0
72	189.403	16.806	38.114	9.942	0.065	0.992	180000.0
73	188.082	16.684	37.961	9.899	0.065	0.992	70000.0
74	189.759	16.824	38.07	9.946	0.066	0.992	90000.0
75	191.077	16.87	38.726	10.049	0.065	0.992	100000.0
76	187.231	16.539	37.86	9.85	0.066	0.992	90000.0
