Signatures	Stability	Total Mutations
SBS80A	0.969	702985
SBS80B	0.551	306734
SBS80C	0.722	304005
SBS80D	0.778	280550
SBS80E	0.31	271439
SBS80F	0.768	270896
SBS80G	0.833	169887
SBS80H	0.951	166709
SBS80I	0.625	146393
SBS80J	0.801	141305
SBS80K	0.466	132458
SBS80L	0.557	124804
SBS80M	0.173	124445
SBS80N	-0.038	60891
SBS80O	0.009	50140
SBS80P	0.439	47132
SBS80Q	0.131	43426
SBS80R	0.878	43354
SBS80S	0.332	38785
SBS80T	0.478	38472
