Samples	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N
052665d1-ab75-4f40-be5a-b88154c8beed	0	107	319	135	272	370	35	182	290	0	0	64	38	48
05486349-24a4-4931-bf5f-c9fefe369af2	362	51	0	22	59	23	74	0	3	0	9	0	2	6
0554ffe5-31f7-43f5-8372-2b73c9cf3527	371	3	9	4	73	0	0	0	0	5	0	49	2	7
05616329-e7ba-4efd-87b1-d79cd0f7af3d	286	13	2	80	102	77	28	0	0	10	4	5	0	3
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	435	0	0	0	0	7	2	0	3	8	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	320	16	0	102	26	41	47	2	0	22	7	0	0	10
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	439	0	0	2	0	3	10	0	2	6	0	0	2	0
05da3161-1444-4188-914d-19762de3a443	448	0	0	0	0	1	11	0	5	6	0	0	0	0
06018aae-1107-4899-bd24-14e6b1f94709	433	0	0	4	0	13	2	0	0	9	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	394	0	0	9	43	7	17	0	4	8	0	0	6	2
0624eb1d-3aff-4037-a3c5-fc363a9edd02	397	0	0	24	23	2	9	0	3	7	0	0	7	0
062e96d4-c623-11e3-bf01-24c6515278c0	269	51	5	59	100	14	90	1	21	33	30	31	13	21
063cfacf-9933-4a2d-8921-0aeb76e12779	416	7	0	26	0	13	22	0	0	5	0	0	0	0
0664753b-7566-41e0-8006-7009c6735406	4	187	3	349	86	653	42	0	0	19	0	22	0	8
068f4f69-d2fe-4f25-912e-ca7d4623efb6	376	0	0	42	36	28	35	0	0	14	0	5	6	2
06dad93a-4b67-49b3-8fa5-f2546e22bae7	198	98	82	120	103	72	83	44	35	36	37	4	47	8
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	294	55	22	63	80	19	69	10	0	42	5	21	0	5
072f4146-c623-11e3-bf01-24c6515278c0	418	0	0	22	15	0	15	0	4	15	0	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	347	4	0	40	58	14	47	0	0	14	0	0	0	7
07531318-87e8-4db8-aa61-9b93597d063b	342	0	0	66	56	6	55	9	6	34	0	0	0	0
075fc96d-6742-4ef3-9369-482592ad3a2f	217	0	342	0	39	89	404	782	1504	197	0	79	10	95
07835447-5d7e-4828-80fd-89b063989c9a	316	11	35	61	67	29	79	3	17	22	12	0	19	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	193	69	120	74	180	108	19	28	24	0	28	0	5	0
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	407	0	0	27	0	25	68	24	1	5	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	0	102	1	188	282	5	180	78	0	11	8	7	28	21
