MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O
NC50[7]	8.47E-07	1.20E-05	1.48E-05	8.57E-06	5.39E-06	8.41E-06	1.01E-06	0.00E+00	1.74E-05	1.93E-05	1.84E-05	1.47E-05	2.00E-05	3.02E-05	8.19E-06
NC50[>7]	1.57E-06	1.63E-06	4.24E-06	1.02E-06	7.29E-11	4.02E-06	1.31E-06	0.00E+00	7.68E-06	6.51E-06	1.34E-05	2.46E-06	7.87E-06	6.88E-06	4.79E-07
BoChr[1]	1.85E-06	6.21E-04	1.85E-03	2.71E-03	2.04E-03	4.91E-04	6.33E-04	6.72E-04	4.59E-04	1.91E-03	8.57E-03	7.31E-03	6.11E-03	1.88E-02	4.68E-03
BoChr[2]	7.52E-06	1.02E-03	1.35E-03	1.95E-03	1.64E-03	1.17E-05	5.90E-04	0.00E+00	5.70E-04	5.30E-04	2.19E-03	3.40E-03	1.14E-03	2.78E-03	1.58E-03
BoChr[3]	1.18E-05	7.11E-04	1.09E-03	2.35E-03	1.89E-03	1.64E-04	8.84E-04	5.99E-05	1.47E-03	4.81E-04	9.80E-03	4.99E-03	1.02E-03	2.12E-03	1.90E-03
BoChr[4]	2.96E-09	3.54E-04	7.86E-04	2.59E-04	1.20E-03	2.18E-04	6.85E-04	3.21E-04	7.89E-04	5.22E-04	3.56E-03	2.67E-03	1.36E-03	2.90E-03	5.69E-03
BoChr[5]	9.06E-07	3.95E-04	7.35E-04	1.64E-03	5.09E-04	3.06E-04	4.49E-04	7.55E-04	1.28E-03	2.53E-04	6.48E-03	5.87E-03	7.45E-04	4.26E-03	1.23E-03
BoChr[6]	4.42E-06	5.60E-04	1.25E-03	1.64E-03	1.19E-03	2.91E-04	7.34E-04	3.41E-04	1.27E-03	7.39E-04	8.88E-03	1.19E-03	8.16E-03	1.12E-02	3.89E-03
BoChr[7]	1.18E-05	3.25E-04	7.92E-04	1.20E-03	1.67E-03	3.87E-04	2.89E-04	1.38E-04	1.34E-03	4.67E-04	8.84E-03	5.75E-03	1.16E-03	7.68E-03	4.94E-03
BoChr[8]	1.63E-06	5.23E-05	8.60E-04	5.85E-04	5.90E-04	2.32E-04	3.36E-04	2.29E-04	1.48E-03	6.50E-04	8.78E-04	1.79E-04	8.39E-05	1.69E-06	1.31E-02
BoChr[9]	1.14E-06	2.23E-04	3.31E-04	5.63E-04	6.64E-04	5.57E-04	5.57E-04	9.16E-05	4.36E-04	7.62E-04	5.99E-03	2.76E-03	4.32E-03	1.55E-03	2.34E-04
BoChr[10]	3.01E-06	5.19E-04	7.81E-04	3.66E-04	7.18E-04	1.61E-04	4.37E-04	2.12E-10	6.24E-04	5.29E-04	1.31E-03	8.77E-04	1.31E-03	1.62E-03	3.04E-03
BoChr[11]	1.57E-06	4.16E-04	6.68E-04	1.10E-03	7.41E-04	1.90E-04	2.77E-04	1.12E-03	1.23E-03	8.84E-04	5.16E-04	1.87E-03	1.09E-02	2.10E-02	6.40E-03
BoChr[12]	1.45E-08	3.04E-04	6.01E-04	8.55E-04	2.27E-04	2.61E-04	3.44E-04	2.74E-03	1.54E-03	8.26E-05	1.04E-02	1.13E-02	4.13E-03	4.66E-03	4.24E-03
BoChr[13]	1.97E-06	3.61E-04	3.37E-04	4.35E-04	5.20E-04	3.34E-04	4.23E-04	1.27E-05	2.64E-04	5.27E-04	1.76E-03	4.69E-04	2.48E-03	2.12E-03	4.46E-04
BoChr[14]	1.38E-05	1.97E-04	4.37E-04	3.88E-04	3.88E-04	2.47E-04	2.12E-04	1.33E-04	3.61E-04	4.56E-04	1.21E-03	2.79E-04	1.85E-03	7.38E-04	1.60E-04
BoChr[15]	6.32E-09	9.66E-05	2.91E-04	2.94E-04	3.62E-04	1.74E-04	1.71E-04	8.83E-05	2.42E-04	4.40E-04	1.98E-03	6.70E-04	1.38E-03	1.46E-03	9.09E-05
BoChr[16]	4.74E-07	2.29E-04	2.54E-04	3.30E-04	2.26E-04	2.37E-04	3.80E-05	1.02E-04	3.05E-04	4.10E-04	5.02E-04	2.27E-04	8.63E-04	8.92E-04	2.35E-04
BoChr[17]	3.70E-06	1.26E-04	1.23E-04	8.29E-04	5.52E-05	3.94E-04	1.79E-05	7.06E-04	6.93E-05	9.00E-04	9.57E-05	2.38E-05	1.23E-02	4.47E-05	7.18E-03
BoChr[18]	1.23E-08	2.86E-05	5.14E-04	5.29E-04	7.89E-04	4.25E-04	3.85E-04	1.19E-04	2.74E-04	3.09E-04	5.40E-03	1.57E-03	3.23E-03	1.83E-03	2.03E-04
BoChr[19]	8.36E-09	2.06E-04	1.40E-04	7.62E-04	1.10E-03	3.60E-04	1.02E-04	2.18E-04	3.40E-05	3.09E-04	5.09E-03	1.75E-03	6.30E-03	4.74E-03	2.05E-04
BoChr[20]	4.25E-09	2.56E-04	2.63E-04	5.27E-04	4.70E-04	2.47E-04	5.31E-05	3.83E-04	1.40E-04	2.27E-04	2.56E-03	1.67E-04	4.01E-03	3.76E-03	7.87E-04
BoChr[21]	6.87E-06	1.06E-04	1.85E-04	1.09E-04	2.87E-04	1.93E-04	3.21E-04	1.07E-04	8.07E-05	2.95E-04	7.12E-04	6.67E-04	7.26E-04	8.57E-04	5.09E-04
BoChr[22]	9.36E-06	8.92E-05	1.03E-04	3.39E-04	2.95E-04	1.91E-04	1.84E-04	4.78E-05	2.03E-04	2.90E-04	2.02E-03	9.92E-04	2.14E-03	5.90E-04	1.19E-04
BoChr[23]	2.10E-05	1.84E-04	4.69E-04	2.78E-04	4.00E-04	5.60E-05	5.09E-04	2.23E-04	1.87E-04	6.32E-04	8.12E-04	1.42E-03	7.41E-04	1.24E-03	8.81E-04
