NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	303.719	26.05	60.7	15.573	0.124	0.98	40000.0
2	303.077	25.962	60.605	15.54	0.123	0.98	30000.0
3	303.162	25.974	60.53	15.518	0.123	0.98	20000.0
4	302.834	25.981	60.562	15.516	0.124	0.98	20000.0
5	302.956	25.951	60.597	15.529	0.123	0.98	50000.0
6	302.612	25.903	60.404	15.458	0.123	0.98	40000.0
7	302.838	25.906	60.493	15.486	0.123	0.98	40000.0
8	303.424	25.954	60.619	15.527	0.123	0.98	60000.0
9	303.085	25.936	60.466	15.484	0.124	0.98	30000.0
10	303.238	25.944	60.494	15.51	0.123	0.98	30000.0
11	303.116	25.968	60.626	15.535	0.123	0.98	40000.0
12	302.971	25.956	60.376	15.476	0.123	0.98	20000.0
13	302.544	25.916	60.364	15.46	0.123	0.98	30000.0
14	302.981	25.951	60.491	15.497	0.123	0.98	60000.0
15	315.663	26.787	64.261	16.377	0.124	0.977	50000.0
16	302.658	25.923	60.454	15.492	0.123	0.98	30000.0
17	302.625	25.92	60.484	15.51	0.123	0.98	30000.0
18	315.911	26.823	64.358	16.422	0.124	0.977	30000.0
19	303.377	25.98	60.547	15.503	0.123	0.98	20000.0
20	302.758	25.927	60.454	15.488	0.123	0.98	40000.0
21	316.094	26.851	64.354	16.435	0.124	0.977	30000.0
22	302.464	25.903	60.371	15.455	0.123	0.98	40000.0
23	302.392	25.906	60.5	15.485	0.123	0.98	20000.0
24	302.719	25.936	60.409	15.488	0.123	0.98	30000.0
25	302.927	25.924	60.41	15.485	0.123	0.98	60000.0
26	302.869	25.948	60.528	15.522	0.123	0.98	50000.0
27	302.629	25.92	60.373	15.464	0.123	0.98	40000.0
28	302.996	25.922	60.426	15.467	0.123	0.98	50000.0
29	316.167	26.844	64.495	16.449	0.124	0.977	30000.0
30	302.709	25.942	60.47	15.501	0.123	0.98	50000.0
31	302.628	25.928	60.36	15.444	0.123	0.98	40000.0
32	303.188	25.92	60.546	15.513	0.123	0.98	50000.0
33	302.942	25.949	60.528	15.511	0.123	0.98	30000.0
34	303.301	25.942	60.528	15.493	0.123	0.98	30000.0
35	303.182	25.972	60.488	15.531	0.123	0.98	40000.0
36	303.113	25.954	60.597	15.517	0.123	0.98	40000.0
37	303.321	25.996	60.558	15.521	0.123	0.98	40000.0
38	302.746	25.952	60.6	15.524	0.123	0.98	50000.0
39	303.172	25.967	60.498	15.498	0.123	0.98	30000.0
40	302.805	25.927	60.528	15.507	0.123	0.98	40000.0
41	303.069	25.965	60.505	15.537	0.123	0.98	20000.0
42	302.704	25.946	60.542	15.501	0.123	0.98	30000.0
43	302.583	25.949	60.531	15.514	0.123	0.98	30000.0
44	303.42	25.991	60.661	15.537	0.124	0.98	20000.0
45	303.176	25.974	60.614	15.541	0.123	0.98	40000.0
46	303.546	26.014	60.561	15.534	0.124	0.98	50000.0
47	302.914	25.942	60.428	15.47	0.123	0.98	60000.0
48	303.146	25.915	60.44	15.475	0.123	0.98	40000.0
49	302.422	25.915	60.463	15.51	0.123	0.98	20000.0
50	303.584	26.03	60.687	15.581	0.123	0.98	30000.0
51	303.122	25.962	60.603	15.537	0.123	0.98	20000.0
52	303.37	26.017	60.651	15.537	0.124	0.98	20000.0
53	316.28	26.819	64.402	16.44	0.124	0.977	20000.0
54	303.137	25.951	60.582	15.542	0.123	0.98	30000.0
55	303.454	25.987	60.569	15.537	0.123	0.98	30000.0
56	302.276	25.91	60.306	15.452	0.123	0.98	40000.0
57	302.043	25.919	60.346	15.475	0.123	0.98	60000.0
58	303.272	25.994	60.618	15.524	0.124	0.98	30000.0
59	302.814	25.905	60.548	15.493	0.123	0.98	20000.0
60	303.099	25.953	60.472	15.497	0.123	0.98	20000.0
61	302.681	25.916	60.436	15.503	0.123	0.98	40000.0
62	302.93	25.957	60.497	15.504	0.123	0.98	20000.0
63	302.095	25.878	60.348	15.452	0.123	0.98	40000.0
64	302.451	25.898	60.433	15.484	0.123	0.98	30000.0
65	303.104	25.958	60.562	15.522	0.123	0.98	70000.0
66	303.2	25.971	60.529	15.529	0.123	0.98	50000.0
67	302.783	25.902	60.422	15.466	0.123	0.98	20000.0
68	303.432	25.959	60.63	15.524	0.123	0.98	30000.0
69	302.838	25.983	60.472	15.49	0.123	0.98	50000.0
70	302.892	25.935	60.505	15.506	0.123	0.98	50000.0
71	302.742	25.93	60.547	15.515	0.123	0.98	20000.0
72	302.781	25.928	60.413	15.478	0.123	0.98	40000.0
73	302.955	25.954	60.529	15.504	0.123	0.98	30000.0
74	302.717	25.948	60.534	15.509	0.123	0.98	50000.0
75	315.462	26.773	64.29	16.39	0.124	0.977	20000.0
76	315.699	26.825	64.268	16.418	0.124	0.977	50000.0
77	302.83	25.945	60.537	15.498	0.123	0.98	50000.0
78	302.326	25.924	60.418	15.488	0.123	0.98	20000.0
79	316.15	26.828	64.525	16.464	0.124	0.977	30000.0
80	302.789	25.949	60.531	15.522	0.123	0.98	50000.0
81	303.212	25.978	60.495	15.504	0.123	0.98	30000.0
82	302.767	25.912	60.434	15.494	0.123	0.98	80000.0
83	302.504	25.893	60.421	15.465	0.123	0.98	50000.0
84	303.14	25.984	60.528	15.517	0.123	0.98	30000.0
85	303.573	26.005	60.559	15.538	0.123	0.98	30000.0
86	303.07	25.958	60.456	15.502	0.123	0.98	40000.0
87	303.074	25.95	60.478	15.488	0.123	0.98	40000.0
88	302.93	25.92	60.459	15.463	0.123	0.98	30000.0
89	303.196	26.009	60.513	15.514	0.123	0.98	30000.0
90	303.318	25.983	60.505	15.507	0.123	0.98	50000.0
91	302.557	25.912	60.41	15.462	0.123	0.98	30000.0
92	303.115	25.972	60.541	15.504	0.123	0.98	40000.0
93	303.586	26.022	60.679	15.558	0.124	0.98	30000.0
94	303.83	25.993	60.739	15.55	0.123	0.98	50000.0
95	302.806	25.983	60.561	15.543	0.123	0.98	40000.0
96	315.693	26.836	64.471	16.451	0.124	0.977	20000.0
97	302.905	25.919	60.497	15.51	0.123	0.98	30000.0
98	316.282	26.867	64.487	16.442	0.124	0.977	20000.0
99	303.296	25.955	60.594	15.523	0.123	0.98	30000.0
100	302.447	25.899	60.403	15.47	0.123	0.98	40000.0
