Signatures	Stability	Total Mutations
SBS80A	0.964	692653
SBS80B	0.382	315920
SBS80C	0.685	297673
SBS80D	0.297	288809
SBS80E	0.808	286478
SBS80F	0.775	273944
SBS80G	0.849	180032
SBS80H	0.943	160222
SBS80I	0.606	147350
SBS80J	0.78	142435
SBS80K	0.281	127437
SBS80L	0.524	124636
SBS80M	-0.095	120139
SBS80N	-0.266	93690
SBS80O	0.429	47052
SBS80P	0.793	46071
SBS80Q	0.344	42165
SBS80R	0.267	39334
SBS80S	0.046	38770
