NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	194.669	17.257	39.339	10.256	0.068	0.992	80000.0
2	197.664	17.626	39.921	10.427	0.068	0.992	160000.0
3	197.115	17.352	39.736	10.292	0.068	0.992	80000.0
4	199.506	17.827	40.17	10.513	0.068	0.992	70000.0
5	197.345	17.469	39.053	10.182	0.069	0.992	60000.0
6	197.848	17.652	39.579	10.351	0.068	0.992	120000.0
7	196.109	17.338	39.222	10.218	0.068	0.992	80000.0
8	197.984	17.706	39.939	10.467	0.069	0.992	160000.0
9	196.136	17.259	39.922	10.377	0.069	0.991	80000.0
10	201.659	17.924	40.505	10.548	0.068	0.991	70000.0
11	197.342	17.713	39.237	10.322	0.069	0.992	60000.0
12	198.707	17.629	39.825	10.371	0.069	0.992	60000.0
13	198.994	17.513	40.132	10.385	0.068	0.992	110000.0
14	183.918	16.278	37.057	9.682	0.069	0.993	80000.0
15	199.583	17.721	40.034	10.427	0.068	0.992	70000.0
16	197.77	17.589	39.522	10.328	0.068	0.992	90000.0
17	201.955	17.957	40.596	10.579	0.068	0.991	100000.0
18	196.645	17.56	39.473	10.306	0.068	0.992	80000.0
19	199.058	17.769	40.501	10.574	0.068	0.991	80000.0
20	190.93	16.853	38.559	10.034	0.067	0.992	100000.0
21	202.928	17.944	41.257	10.698	0.068	0.991	90000.0
22	199.805	17.714	40.006	10.408	0.068	0.992	70000.0
23	191.596	16.906	38.728	10.075	0.067	0.992	100000.0
24	198.695	17.731	39.468	10.321	0.068	0.992	70000.0
25	200.64	17.872	40.475	10.58	0.068	0.991	90000.0
26	193.884	17.229	39.29	10.272	0.068	0.992	70000.0
27	194.931	17.211	39.23	10.192	0.068	0.992	120000.0
28	199.841	17.748	40.403	10.511	0.068	0.991	110000.0
29	192.853	17.135	38.082	9.945	0.068	0.992	80000.0
30	197.295	17.41	39.348	10.193	0.068	0.992	100000.0
31	196.07	17.342	39.589	10.283	0.069	0.992	80000.0
32	195.098	17.234	39.301	10.236	0.068	0.992	140000.0
33	197.776	17.697	40.042	10.476	0.069	0.992	50000.0
34	193.78	17.023	38.93	10.097	0.068	0.992	70000.0
35	195.653	17.497	39.39	10.326	0.068	0.992	100000.0
36	198.691	17.673	39.712	10.379	0.067	0.992	70000.0
37	186.43	16.535	37.476	9.813	0.069	0.992	110000.0
