Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.995	378.585	14.163%	63.05	10.531%	0.04827	0.993
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	32.85	7.034%	7.576	2.375%	0.03982	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.999	88.765	13.47%	15.215	5.062%	0.051	0.999
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	42.379	8.596%	7.058	2.239%	0.05506	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.996	170.822	19.909%	31.889	9.788%	0.10282	0.996
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	39.357	8.098%	8.807	2.747%	0.05623	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	50.1	9.598%	9.832	3.152%	0.05305	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	33.176	7.197%	8.558	2.674%	0.04256	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.997	146.437	17.75%	25.802	7.742%	0.09084	0.997
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.999	81.686	11.298%	14.433	4.723%	0.06879	0.999
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	41.199	8.747%	10.015	3.152%	0.04109	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	29.372	6.044%	5.807	1.791%	0.0311	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	1.0	48.397	9.183%	8.391	2.613%	0.0659	1.0
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	82.36	13.48%	16.146	5.158%	0.08066	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.989	206.819	27.035%	46.585	15.276%	0.12839	0.988
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.995	321.459	16.219%	51.412	10.988%	0.05029	0.993
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.989	340.552	14.061%	75.532	14.63%	0.06923	0.985
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	46.363	8.968%	8.248	2.576%	0.05199	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.994	195.92	20.094%	36.168	11.196%	0.10522	0.994
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.998	100.34	13.633%	17.241	5.507%	0.07265	0.998
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.991	326.857	16.245%	60.701	13.806%	0.06202	0.987
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	34.552	6.632%	5.651	1.77%	0.04391	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.998	101.876	15.16%	18.327	5.906%	0.08188	0.998
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.997	211.007	12.412%	32.823	8.056%	0.03997	0.996
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	31.098	6.746%	7.427	2.32%	0.04137	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.992	287.019	16.707%	52.742	13.267%	0.0599	0.989
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.982	315.441	22.661%	66.992	19.127%	0.08028	0.977
02706819-bcab-4c49-a569-a4a8c60db1c0	474	1.0	27.452	5.792%	5.533	1.695%	0.03813	1.0
02917220-6a7a-46a1-8656-907e96bef88e	533	1.0	47.548	8.921%	7.94	2.59%	0.04269	1.0
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	1.0	32.598	7.025%	7.577	2.375%	0.04074	1.0
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.999	85.325	14.15%	14.66	4.688%	0.07908	0.999
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.998	137.065	18.932%	21.562	7.331%	0.08334	0.997
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.997	149.221	19.254%	25.297	8.294%	0.09236	0.997
030695f6-c623-11e3-bf01-24c6515278c0	883	0.997	143.661	16.27%	23.571	7.663%	0.0829	0.997
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	1.0	33.584	6.896%	6.183	1.9%	0.04204	1.0
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	605	0.998	112.222	18.549%	21.497	6.871%	0.07406	0.998
0363fe2c-d765-450e-8b1a-d13a23d9af2a	476	1.0	31.859	6.693%	5.672	1.734%	0.04649	1.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	479	1.0	37.742	7.879%	9.161	2.882%	0.03727	1.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	518	1.0	37.015	7.146%	6.738	2.143%	0.04794	1.0
03b5268e-881e-49e7-824f-170c3fc8b11b	631	0.998	97.158	15.397%	17.608	5.793%	0.05333	0.998
03c3c692-8a86-4843-85ae-e045f0fa6f88	1705	0.992	264.786	15.53%	45.603	12.778%	0.04422	0.989
03c88506-d72e-4a44-a34e-a7f0564f1799	666	0.999	64.455	9.678%	11.059	3.554%	0.05495	0.999
03ced0ce-186a-4349-8d98-572c2bc90382	1711	0.992	259.564	15.17%	47.324	12.653%	0.04973	0.989
03cff38d-7e29-4409-a508-749bddb1b3df	1419	0.997	168.449	11.871%	25.513	7.41%	0.03332	0.997
041e3b42-c623-11e3-bf01-24c6515278c0	767	0.999	92.093	12.007%	15.683	5.165%	0.04725	0.999
04339769-517c-448d-a7ca-951f83608c60	697	0.998	124.75	17.898%	23.503	7.554%	0.10632	0.997
0448206f-3ade-4087-b1a9-4fb2d14e1367	3796	0.996	534.439	14.079%	86.169	9.617%	0.03737	0.995
046d7386-95c8-4501-9e55-c85bec272a7a	1187	0.994	186.083	15.677%	40.968	11.339%	0.0671	0.993
047f9e4d-86b5-4943-aef5-68199bf29e8c	985	0.997	169.591	17.217%	27.498	8.9%	0.07288	0.996
04aa6b77-8074-480c-872e-a1a47afa5314	883	0.999	98.191	11.12%	15.278	5.18%	0.07559	0.998
04b570c2-3224-4e9b-81cc-089b4a7ff07a	486	1.0	28.677	5.901%	5.204	1.606%	0.03861	1.0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	568	0.999	68.908	12.132%	12.029	3.92%	0.03825	0.999
04c09376-8756-41d9-bbca-f464170a8cfb	986	0.993	184.756	18.738%	37.734	11.568%	0.09043	0.992
04db8bef-8777-48ac-bc2e-3c9acb103f48	489	1.0	44.956	9.193%	8.811	2.804%	0.04731	1.0
05070acd-3ec1-44bb-9c32-26d3a483a72a	748	0.998	119.806	16.017%	22.23	7.272%	0.09023	0.997
051cb117-16fd-459e-81e5-002eca2b7eea	481	0.999	55.243	11.485%	14.329	4.484%	0.05159	0.999
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	702	0.999	100.418	14.305%	15.503	5.181%	0.06766	0.999
052665d1-ab75-4f40-be5a-b88154c8beed	1860	0.976	438.075	23.552%	92.868	21.7%	0.10721	0.969
05486349-24a4-4931-bf5f-c9fefe369af2	611	0.999	61.206	10.017%	13.83	4.39%	0.06677	0.999
0554ffe5-31f7-43f5-8372-2b73c9cf3527	523	1.0	47.694	9.119%	8.675	2.722%	0.04129	1.0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	610	0.999	78.116	12.806%	15.732	5.089%	0.06696	0.999
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	455	1.0	36.239	7.965%	10.626	3.297%	0.03956	1.0
05780d48-80e7-4d70-b00c-081f8a9519f2	593	0.999	71.097	11.989%	11.814	3.895%	0.05609	0.999
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	464	1.0	26.442	5.699%	5.616	1.755%	0.03331	1.0
05da3161-1444-4188-914d-19762de3a443	471	1.0	29.456	6.254%	6.458	1.973%	0.03877	1.0
06018aae-1107-4899-bd24-14e6b1f94709	461	1.0	31.098	6.746%	7.427	2.32%	0.04137	1.0
0609b182-0396-4755-b463-10f949c5b8bb	490	1.0	38.733	7.905%	6.422	2.049%	0.04688	1.0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	472	1.0	40.843	8.653%	8.981	2.828%	0.04472	1.0
062e96d4-c623-11e3-bf01-24c6515278c0	738	0.997	130.098	17.628%	23.692	7.713%	0.09231	0.997
063cfacf-9933-4a2d-8921-0aeb76e12779	489	1.0	33.499	6.851%	7.057	2.225%	0.04522	1.0
0664753b-7566-41e0-8006-7009c6735406	1373	0.994	240.869	17.543%	44.276	11.072%	0.05717	0.994
068f4f69-d2fe-4f25-912e-ca7d4623efb6	544	1.0	52.837	9.713%	9.776	3.079%	0.04494	1.0
06dad93a-4b67-49b3-8fa5-f2546e22bae7	967	0.996	173.738	17.967%	29.606	9.729%	0.08028	0.995
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	685	0.998	101.342	14.794%	20.651	6.868%	0.10605	0.997
072f4146-c623-11e3-bf01-24c6515278c0	489	1.0	39.718	8.122%	7.253	2.251%	0.04486	1.0
074fd614-5d9c-4bcc-96ad-351aa14387e3	531	1.0	56.558	10.651%	9.851	3.199%	0.0601	1.0
07531318-87e8-4db8-aa61-9b93597d063b	574	0.999	77.54	13.509%	13.984	4.423%	0.08087	0.999
075fc96d-6742-4ef3-9369-482592ad3a2f	3758	0.969	1054.079	28.049%	207.379	25.048%	0.10804	0.958
07835447-5d7e-4828-80fd-89b063989c9a	671	0.997	105.463	15.717%	22.853	7.462%	0.09142	0.997
079bcb09-a075-4313-9a3e-dd67734a8c5d	848	0.996	154.033	18.164%	26.305	8.853%	0.07346	0.996
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	557	0.999	70.875	12.724%	16.207	5.071%	0.10896	0.999
07b5141f-ac79-439b-883b-b0183bbe7ff5	911	0.997	136.27	14.958%	22.789	7.696%	0.04667	0.997
07d20658-3db4-47e7-877b-66536266edfc	726	0.999	84.632	11.657%	14.192	4.679%	0.04018	0.999
07e0e938-f61f-477a-92a2-5b7e74b78943	782	0.999	97.268	12.438%	16.853	5.535%	0.04918	0.999
07f16397-71bb-4594-ad4d-caa7d2baeabd	752	0.998	126.255	16.789%	24.52	7.738%	0.07572	0.998
080ecc31-756a-4a1b-a51e-d632ac8219f7	1484	0.979	381.691	25.72%	76.621	20.742%	0.10014	0.973
08227616-02a5-46e8-9db1-f2d1d691ab23	1217	0.99	246.08	20.22%	43.277	14.14%	0.06996	0.988
0831e45e-c623-11e3-bf01-24c6515278c0	730	0.999	109.494	14.999%	17.649	5.904%	0.06833	0.999
089be98d-c3c9-4fb4-aef2-7a8578a91d51	741	0.998	109.907	14.832%	18.163	5.96%	0.07773	0.998
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	836	0.998	124.175	14.853%	22.324	7.087%	0.07656	0.997
08b5d0e4-4661-460e-a9f7-f2e687414711	701	0.996	152.326	21.73%	27.555	8.887%	0.09597	0.996
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	477	1.0	28.142	5.9%	6.037	1.851%	0.03674	1.0
08e1d976-6c39-428e-a4c2-f655b675683e	508	1.0	39.17	7.711%	7.607	2.367%	0.04118	1.0
08f7812b-0d74-42ba-985b-d0a027e8a80c	480	1.0	32.188	6.706%	6.359	1.955%	0.03668	1.0
09497b9b-6fca-48cb-af97-161a3e434a51	5123	0.99	766.425	14.96%	155.449	14.181%	0.03893	0.986
09508a0d-ebe0-4fa1-b7b2-1710814181cd	6205	0.98	1560.159	25.144%	298.598	19.803%	0.08552	0.975
09537dce-c797-4b60-962a-d4c3cd6ab00a	475	1.0	35.294	7.43%	6.363	1.997%	0.04505	1.0
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	1421	0.992	257.136	18.095%	48.657	13.49%	0.05985	0.99
097a7d36-905b-72be-e050-11ac0d482c9a	595	0.999	78.489	13.191%	14.345	4.743%	0.08684	0.999
0980e7fd-051d-45e9-9ca6-2baf073da4e8	523	1.0	50.488	9.654%	9.706	3.051%	0.04777	1.0
09bc8542-4ea1-4599-91b3-d606425b37e2	1840	0.991	317.809	17.272%	55.096	13.391%	0.06694	0.989
09cb8bc5-13ac-44ac-9b7d-6de143373570	933	0.993	178.667	19.15%	35.933	11.675%	0.07574	0.992
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	933	0.993	169.509	18.168%	39.014	11.786%	0.09002	0.993
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	583	0.999	71.374	12.243%	13.658	4.506%	0.05503	0.999
0a9c9db0-c623-11e3-bf01-24c6515278c0	642	0.999	65.699	10.233%	10.28	3.436%	0.0406	0.999
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	619	0.999	67.683	10.934%	13.555	4.347%	0.07093	0.999
0ae2193f-0d68-485a-b8c2-7568cbcce33e	546	1.0	67.503	12.363%	13.972	4.497%	0.05842	1.0
0b19bee7-5281-4915-9d98-c20eb3e84ecf	987	0.997	148.644	15.06%	23.892	7.603%	0.05916	0.997
0b29c893-03bf-4131-b192-c14a2788d411	579	0.999	87.947	15.189%	15.517	4.917%	0.05797	0.999
0b6cd7df-6970-4d60-b7b5-85002a7d8781	486	1.0	29.091	5.986%	5.042	1.552%	0.03594	1.0
0b811c6a-8f05-44bd-ac33-fb720d189e71	473	1.0	30.533	6.455%	6.055	1.85%	0.03944	1.0
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	475	1.0	43.963	9.255%	10.197	3.219%	0.05019	1.0
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	576	0.999	67.79	11.769%	13.869	4.339%	0.08099	0.999
0bbc7ede-5022-4084-925c-d65baaf7abc2	1283	0.994	174.855	13.629%	34.242	10.634%	0.05338	0.993
0bd3a230-531e-44aa-9999-b8ed8da0176b	624	0.999	95.418	15.291%	17.969	5.851%	0.06283	0.999
0be08326-c623-11e3-bf01-24c6515278c0	641	0.999	78.234	12.205%	11.785	3.915%	0.04203	0.999
0bfd1043-5142-3662-e050-11ac0c486501	1246	0.997	173.284	13.907%	27.832	8.3%	0.03731	0.997
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	1124	0.997	177.231	15.768%	28.312	8.806%	0.04689	0.996
0bfd1043-7343-fdd0-e050-11ac0c484cab	2040	0.993	306.695	15.034%	51.768	12.229%	0.03098	0.99
0bfd1043-7344-fdd0-e050-11ac0c484cab	4052	0.995	596.614	14.724%	115.435	10.122%	0.03655	0.995
0bfd1043-7346-fdd0-e050-11ac0c484cab	908	0.995	143.27	15.779%	29.06	9.526%	0.06912	0.995
0bfd1043-7ebf-aaec-e050-11ac0c482f39	2094	0.991	372.774	17.802%	67.029	13.199%	0.0624	0.989
0bfd1043-7ec1-aaec-e050-11ac0c482f39	1727	0.991	267.442	15.486%	60.636	13.755%	0.06631	0.988
0bfd1043-7ed6-9ccc-e050-11ac0c481957	887	0.994	174.576	19.682%	33.253	10.724%	0.08803	0.994
0bfd1043-816e-e3e4-e050-11ac0c4860c5	3624	0.996	505.18	13.94%	94.219	9.306%	0.03029	0.995
0bfd1043-8170-e3e4-e050-11ac0c4860c5	1530	0.995	223.859	14.631%	36.047	10.078%	0.03174	0.994
0bfd1043-8172-e3e4-e050-11ac0c4860c5	1339	0.995	187.229	13.983%	30.731	9.525%	0.03338	0.994
0bfd1043-8173-e3e4-e050-11ac0c4860c5	1389	0.996	189.775	13.663%	29.304	8.944%	0.03256	0.995
0bfd1043-8175-e3e4-e050-11ac0c4860c5	1340	0.995	192.064	14.333%	30.817	9.58%	0.04435	0.994
0bfd1043-8177-e3e4-e050-11ac0c4860c5	704	0.998	117.862	16.742%	21.251	7.117%	0.09544	0.998
